0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
29,19,13,11,24,22,9,12,14,6,25,3,2,21,16,5,18,7,17,20,28,26,15,4,23,27,1,8,10,29,19,13,11,24,22,9,12,14,6,25,3,2,21,16,5,18,7,17,20,28,26,15,4,23,27,1,8,10
28,18,12,10,23,21,8,11,13,5,24,2,29,20,15,4,17,6,16,19,27,25,14,3,22,26,0,7,9,28,18,12,10,23,21,8,11,13,5,24,2,29,20,15,4,17,6,16,19,27,25,14,3,22,26,0,7,9
27,17,11,9,22,20,7,10,12,4,23,1,0,19,14,3,16,5,15,18,26,24,13,29,21,25,28,6,8,27,17,11,9,22,20,7,10,12,4,23,1,0,19,14,3,16,5,15,18,26,24,13,29,21,25,28,6,8
26,16,10,8,21,19,6,9,11,29,22,0,28,18,13,2,15,4,14,17,25,23,12,1,20,24,27,5,7,26,16,10,8,21,19,6,9,11,29,22,0,28,18,13,2,15,4,14,17,25,23,12,1,20,24,27,5,7
25,15,9,7,20,18,5,8,10,2,21,28,27,17,12,1,14,3,13,16,24,22,11,0,19,23,26,29,6,25,15,9,7,20,18,5,8,10,2,21,28,27,17,12,1,14,3,13,16,24,22,11,0,19,23,26,29,6
24,14,8,6,19,17,4,7,9,1,20,27,26,16,11,0,13,2,12,15,23,21,10,28,18,22,25,3,29,24,14,8,6,19,17,4,7,9,1,20,27,26,16,11,0,13,2,12,15,23,21,10,28,18,22,25,3,29
23,13,7,5,18,16,3,29,8,0,19,26,25,15,10,28,12,1,11,14,22,20,9,27,17,21,24,2,4,23,13,7,5,18,16,3,29,8,0,19,26,25,15,10,28,12,1,11,14,22,20,9,27,17,21,24,2,4
22,12,6,4,17,15,2,5,29,28,18,25,24,14,9,27,11,0,10,13,21,19,8,26,16,20,23,1,3,22,12,6,4,17,15,2,5,29,28,18,25,24,14,9,27,11,0,10,13,21,19,8,26,16,20,23,1,3
21,11,5,3,16,14,1,4,6,27,17,24,23,13,29,26,10,28,9,12,20,18,7,25,15,19,22,0,2,21,11,5,3,16,14,1,4,6,27,17,24,23,13,29,26,10,28,9,12,20,18,7,25,15,19,22,0,2
20,10,4,2,15,13,0,3,5,26,16,23,22,12,7,25,29,27,8,11,19,17,6,24,14,18,21,28,1,20,10,4,2,15,13,0,3,5,26,16,23,22,12,7,25,29,27,8,11,19,17,6,24,14,18,21,28,1
19,9,3,1,14,12,28,2,4,25,15,22,21,11,6,24,8,26,7,29,18,16,5,23,13,17,20,27,0,19,9,3,1,14,12,28,2,4,25,15,22,21,11,6,24,8,26,7,29,18,16,5,23,13,17,20,27,0
18,8,2,0,13,29,27,1,3,24,14,21,20,10,5,23,7,25,6,9,17,15,4,22,12,16,19,26,28,18,8,2,0,13,29,27,1,3,24,14,21,20,10,5,23,7,25,6,9,17,15,4,22,12,16,19,26,28
17,7,1,28,29,10,26,0,2,23,13,20,19,9,4,22,6,24,5,8,16,14,3,21,11,15,18,25,27,17,7,1,28,29,10,26,0,2,23,13,20,19,9,4,22,6,24,5,8,16,14,3,21,11,15,18,25,27
