0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
9,1,11,6,13,5,12,2,3,7,15,14,10,8,4,9,1,11,6,13,5,12,2,3,7,15,14,10,8,4
8,0,10,5,12,4,11,15,2,6,14,13,9,7,3,8,0,10,5,12,4,11,15,2,6,14,13,9,7,3
7,14,9,4,11,3,10,0,1,5,13,12,8,6,15,7,14,9,4,11,3,10,0,1,5,13,12,8,6,15
6,13,8,15,10,2,9,14,0,4,12,11,7,5,1,6,13,8,15,10,2,9,14,0,4,12,11,7,5,1
5,12,7,2,9,1,8,13,14,3,11,10,6,15,0,5,12,7,2,9,1,8,13,14,3,11,10,6,15,0
4,11,6,1,8,0,7,12,13,2,10,9,15,3,14,4,11,6,1,8,0,7,12,13,2,10,9,15,3,14
3,10,5,0,7,14,15,11,12,1,9,8,4,2,13,3,10,5,0,7,14,15,11,12,1,9,8,4,2,13
2,9,4,14,6,13,5,10,11,0,8,15,3,1,12,2,9,4,14,6,13,5,10,11,0,8,15,3,1,12
1,15,3,13,5,12,4,9,10,14,7,6,2,0,11,1,15,3,13,5,12,4,9,10,14,7,6,2,0,11
0,7,2,12,4,11,3,8,15,13,6,5,1,14,10,0,7,2,12,4,11,3,8,15,13,6,5,1,14,10
14,6,1,11,3,15,2,7,8,12,5,4,0,13,9,14,6,1,11,3,15,2,7,8,12,5,4,0,13,9
13,5,0,10,2,9,1,6,7,15,4,3,14,12,8,13,5,0,10,2,9,1,6,7,15,4,3,14,12,8
15,4,14,9,1,8,0,5,6,10,3,2,13,11,7,15,4,14,9,1,8,0,5,6,10,3,2,13,11,7
11,3,15,8,0,7,14,4,5,9,2,1,12,10,6,11,3,15,8,0,7,14,4,5,9,2,1,12,10,6
10,2,12,7,15,6,13,3,4,8,1,0,11,9,5,10,2,12,7,15,6,13,3,4,8,1,0,11,9,5
12,8,13,3,14,10,6,1,9,11,0,7,5,4,2,12,8,13,3,14,10,6,1,9,11,0,7,5,4,2
