0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
3,8,5,4,7,2,10,11,6,9,1,3,8,5,4,7,2,10,11,6,9,1
2,7,4,3,6,11,9,10,5,8,0,2,7,4,3,6,11,9,10,5,8,0
1,6,3,11,5,0,8,9,4,7,10,1,6,3,11,5,0,8,9,4,7,10
0,5,2,1,4,10,7,8,11,6,9,0,5,2,1,4,10,7,8,11,6,9
10,11,1,0,3,9,6,7,2,5,8,10,11,1,0,3,9,6,7,2,5,8
9,3,0,10,2,8,11,6,1,4,7,9,3,0,10,2,8,11,6,1,4,7
8,2,10,9,1,7,4,5,0,3,11,8,2,10,9,1,7,4,5,0,3,11
11,1,9,8,0,6,3,4,10,2,5,11,1,9,8,0,6,3,4,10,2,5
6,0,11,7,10,5,2,3,9,1,4,6,0,11,7,10,5,2,3,9,1,4
5,10,7,6,11,4,1,2,8,0,3,5,10,7,6,11,4,1,2,8,0,3
4,9,6,5,8,3,0,1,7,11,2,4,9,6,5,8,3,0,1,7,11,2
7,4,8,2,9,1,5,0,3,10,6,7,4,8,2,9,1,5,0,3,10,6
