0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,12,10,7,6,9,5,2,3,4,8,11,13,1,12,10,7,6,9,5,2,3,4,8,11,13
0,11,9,6,5,8,4,13,2,3,7,10,12,0,11,9,6,5,8,4,13,2,3,7,10,12
12,10,8,5,4,7,3,0,1,13,6,9,11,12,10,8,5,4,7,3,0,1,13,6,9,11
11,9,7,4,13,6,2,12,0,1,5,8,10,11,9,7,4,13,6,2,12,0,1,5,8,10
10,8,6,3,2,5,1,11,12,0,13,7,9,10,8,6,3,2,5,1,11,12,0,13,7,9
9,7,13,2,1,4,0,10,11,12,3,6,8,9,7,13,2,1,4,0,10,11,12,3,6,8
8,13,4,1,0,3,12,9,10,11,2,5,7,8,13,4,1,0,3,12,9,10,11,2,5,7
13,5,3,0,12,2,11,8,9,10,1,4,6,13,5,3,0,12,2,11,8,9,10,1,4,6
6,4,2,12,11,1,10,7,13,9,0,3,5,6,4,2,12,11,1,10,7,13,9,0,3,5
5,3,1,11,10,0,13,6,7,8,12,2,4,5,3,1,11,10,0,13,6,7,8,12,2,4
4,2,0,13,9,12,8,5,6,7,11,1,3,4,2,0,13,9,12,8,5,6,7,11,1,3
3,1,12,9,8,13,7,4,5,6,10,0,2,3,1,12,9,8,13,7,4,5,6,10,0,2
2,0,11,8,7,10,6,3,4,5,9,13,1,2,0,11,8,7,10,6,3,4,5,9,13,1
7,6,5,10,3,11,9,1,8,2,4,12,0,7,6,5,10,3,11,9,1,8,2,4,12,0
