0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
16,19,11,2,21,28,7,5,3,12,35,20,34,1,17,6,30,33,18,14,32,31,22,10,24,4,13,23,8,15,25,26,29,9,27,16,19,11,2,21,28,7,5,3,12,35,20,34,1,17,6,30,33,18,14,32,31,22,10,24,4,13,23,8,15,25,26,29,9,27
15,18,10,35,20,27,6,4,2,11,34,19,33,0,16,5,29,32,17,13,31,30,21,9,23,3,12,22,7,14,24,25,28,8,26,15,18,10,35,20,27,6,4,2,11,34,19,33,0,16,5,29,32,17,13,31,30,21,9,23,3,12,22,7,14,24,25,28,8,26
14,17,9,0,19,26,5,3,1,10,33,18,32,34,15,4,28,31,16,12,30,29,20,8,22,35,11,21,6,13,23,24,27,7,25,14,17,9,0,19,26,5,3,1,10,33,18,32,34,15,4,28,31,16,12,30,29,20,8,22,35,11,21,6,13,23,24,27,7,25
13,16,8,34,18,25,4,2,0,9,32,17,31,33,14,35,27,30,15,11,29,28,19,7,21,1,10,20,5,12,22,23,26,6,24,13,16,8,34,18,25,4,2,0,9,32,17,31,33,14,35,27,30,15,11,29,28,19,7,21,1,10,20,5,12,22,23,26,6,24
12,15,7,33,17,24,3,1,34,8,31,16,30,32,13,2,26,29,14,10,28,27,18,6,20,0,9,19,35,11,21,22,25,5,23,12,15,7,33,17,24,3,1,34,8,31,16,30,32,13,2,26,29,14,10,28,27,18,6,20,0,9,19,35,11,21,22,25,5,23
11,14,6,32,16,23,2,0,33,7,30,15,29,31,12,1,25,28,13,9,27,26,17,35,19,34,8,18,3,10,20,21,24,4,22,11,14,6,32,16,23,2,0,33,7,30,15,29,31,12,1,25,28,13,9,27,26,17,35,19,34,8,18,3,10,20,21,24,4,22
10,13,5,31,15,22,1,34,32,35,29,14,28,30,11,0,24,27,12,8,26,25,16,4,18,33,7,17,2,9,19,20,23,3,21,10,13,5,31,15,22,1,34,32,35,29,14,28,30,11,0,24,27,12,8,26,25,16,4,18,33,7,17,2,9,19,20,23,3,21
9,12,4,30,14,21,0,33,31,5,28,13,27,29,10,34,23,26,11,35,25,24,15,3,17,32,6,16,1,8,18,19,22,2,20,9,12,4,30,14,21,0,33,31,5,28,13,27,29,10,34,23,26,11,35,25,24,15,3,17,32,6,16,1,8,18,19,22,2,20
35,11,3,29,13,20,34,32,30,4,27,12,26,28,9,33,22,25,10,6,24,23,14,2,16,31,5,15,0,7,17,18,21,1,19,35,11,3,29,13,20,34,32,30,4,27,12,26,28,9,33,22,25,10,6,24,23,14,2,16,31,5,15,0,7,17,18,21,1,19
7,10,2,28,12,19,33,31,29,3,26,11,25,27,8,32,21,24,35,5,23,22,13,1,15,30,4,14,34,6,16,17,20,0,18,7,10,2,28,12,19,33,31,29,3,26,11,25,27,8,32,21,24,35,5,23,22,13,1,15,30,4,14,34,6,16,17,20,0,18
6,9,1,27,11,18,32,30,28,2,25,35,24,26,7,31,20,23,8,4,22,21,12,0,14,29,3,13,33,5,15,16,19,34,17,6,9,1,27,11,18,32,30,28,2,25,35,24,26,7,31,20,23,8,4,22,21,12,0,14,29,3,13,33,5,15,16,19,34,17
5,8,0,26,10,17,31,29,27,1,24,9,23,25,6,30,19,22,7,3,21,20,35,34,13,28,2,12,32,4,14,15,18,33,16,5,8,0,26,10,17,31,29,27,1,24,9,23,25,6,30,19,22,7,3,21,20,35,34,13,28,2,12,32,4,14,15,18,33,16
4,7,34,25,9,16,30,28,26,0,23,8,22,24,5,29,18,21,6,2,20,19,10,33,35,27,1,11,31,3,13,14,17,32,15,4,7,34,25,9,16,30,28,26,0,23,8,22,24,5,29,18,21,6,2,20,19,10,33,35,27,1,11,31,3,13,14,17,32,15
3,6,33,24,8,15,29,27,25,34,22,7,21,23,4,28,17,20,5,1,19,18,9,32,11,26,0,10,30,2,12,35,16,31,14,3,6,33,24,8,15,29,27,25,34,22,7,21,23,4,28,17,20,5,1,19,18,9,32,11,26,0,10,30,2,12,35,16,31,14
2,5,32,23,7,35,28,26,24,33,21,6,20,22,3,27,16,19,4,0,18,17,8,31,10,25,34,9,29,1,11,12,15,30,13,2,5,32,23,7,35,28,26,24,33,21,6,20,22,3,27,16,19,4,0,18,17,8,31,10,25,34,9,29,1,11,12,15,30,13
1,4,31,22,6,13,27,25,23,32,20,5,19,21,2,26,35,18,3,34,17,16,7,30,9,24,33,8,28,0,10,11,14,29,12,1,4,31,22,6,13,27,25,23,32,20,5,19,21,2,26,35,18,3,34,17,16,7,30,9,24,33,8,28,0,10,11,14,29,12
0,3,30,21,5,12,26,24,22,31,19,4,18,20,1,25,14,17,2,33,35,15,6,29,8,23,32,7,27,34,9,10,13,28,11,0,3,30,21,5,12,26,24,22,31,19,4,18,20,1,25,14,17,2,33,35,15,6,29,8,23,32,7,27,34,9,10,13,28,11
34,2,29,20,4,11,25,23,21,30,18,3,35,19,0,24,13,16,1,32,15,14,5,28,7,22,31,6,26,33,8,9,12,27,10,34,2,29,20,4,11,25,23,21,30,18,3,35,19,0,24,13,16,1,32,15,14,5,28,7,22,31,6,26,33,8,9,12,27,10
33,1,28,19,3,10,24,22,20,29,17,2,16,35,34,23,12,15,0,31,14,13,4,27,6,21,30,5,25,32,7,8,11,26,9,33,1,28,19,3,10,24,22,20,29,17,2,16,35,34,23,12,15,0,31,14,13,4,27,6,21,30,5,25,32,7,8,11,26,9
32,0,27,18,2,9,23,21,35,28,16,1,15,17,33,22,11,14,34,30,13,12,3,26,5,20,29,4,24,31,6,7,10,25,8,32,0,27,18,2,9,23,21,35,28,16,1,15,17,33,22,11,14,34,30,13,12,3,26,5,20,29,4,24,31,6,7,10,25,8
31,34,26,17,1,8,22,35,18,27,15,0,14,16,32,21,10,13,33,29,12,11,2,25,4,19,28,3,23,30,5,6,9,24,7,31,34,26,17,1,8,22,35,18,27,15,0,14,16,32,21,10,13,33,29,12,11,2,25,4,19,28,3,23,30,5,6,9,24,7
30,33,25,16,0,7,35,19,17,26,14,34,13,15,31,20,9,12,32,28,11,10,1,24,3,18,27,2,22,29,4,5,8,23,6,30,33,25,16,0,7,35,19,17,26,14,34,13,15,31,20,9,12,32,28,11,10,1,24,3,18,27,2,22,29,4,5,8,23,6
29,32,24,15,34,6,20,18,16,25,13,33,12,14,30,19,8,11,31,27,10,9,0,23,2,17,26,1,21,28,3,4,7,35,5,29,32,24,15,34,6,20,18,16,25,13,33,12,14,30,19,8,11,31,27,10,9,0,23,2,17,26,1,21,28,3,4,7,35,5
28,31,35,14,33,5,19,17,15,24,12,32,11,13,29,18,7,10,30,26,9,8,34,22,1,16,25,0,20,27,2,3,6,21,4,28,31,35,14,33,5,19,17,15,24,12,32,11,13,29,18,7,10,30,26,9,8,34,22,1,16,25,0,20,27,2,3,6,21,4
27,30,22,13,32,4,18,16,14,23,11,31,10,12,28,17,6,9,29,25,8,7,33,21,0,15,35,34,19,26,1,2,5,20,3,27,30,22,13,32,4,18,16,14,23,11,31,10,12,28,17,6,9,29,25,8,7,33,21,0,15,35,34,19,26,1,2,5,20,3
26,29,21,12,31,3,17,15,13,22,10,30,9,11,27,16,5,8,28,24,7,6,32,20,34,14,23,33,18,35,0,1,4,19,2,26,29,21,12,31,3,17,15,13,22,10,30,9,11,27,16,5,8,28,24,7,6,32,20,34,14,23,33,18,35,0,1,4,19,2
25,28,20,11,30,2,16,14,12,21,9,29,8,10,35,15,4,7,27,23,6,5,31,19,33,13,22,32,17,24,34,0,3,18,1,25,28,20,11,30,2,16,14,12,21,9,29,8,10,35,15,4,7,27,23,6,5,31,19,33,13,22,32,17,24,34,0,3,18,1
24,35,19,10,29,1,15,13,11,20,8,28,7,9,25,14,3,6,26,22,5,4,30,18,32,12,21,31,16,23,33,34,2,17,0,24,35,19,10,29,1,15,13,11,20,8,28,7,9,25,14,3,6,26,22,5,4,30,18,32,12,21,31,16,23,33,34,2,17,0
23,26,18,9,35,0,14,12,10,19,7,27,6,8,24,13,2,5,25,21,4,3,29,17,31,11,20,30,15,22,32,33,1,16,34,23,26,18,9,35,0,14,12,10,19,7,27,6,8,24,13,2,5,25,21,4,3,29,17,31,11,20,30,15,22,32,33,1,16,34
