0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
14,11,1,16,15,5,7,20,9,10,19,13,12,2,6,21,3,17,4,8,18,14,11,1,16,15,5,7,20,9,10,19,13,12,2,6,21,3,17,4,8,18
13,10,0,15,14,4,6,19,8,9,18,12,11,21,5,20,2,16,3,7,17,13,10,0,15,14,4,6,19,8,9,18,12,11,21,5,20,2,16,3,7,17
12,9,20,14,13,3,5,18,7,8,17,11,10,0,4,19,1,15,21,6,16,12,9,20,14,13,3,5,18,7,8,17,11,10,0,4,19,1,15,21,6,16
11,8,19,13,12,2,4,17,6,7,16,10,9,20,21,18,0,14,1,5,15,11,8,19,13,12,2,4,17,6,7,16,10,9,20,21,18,0,14,1,5,15
10,7,18,12,11,1,3,16,5,6,15,9,8,19,2,17,20,13,0,21,14,10,7,18,12,11,1,3,16,5,6,15,9,8,19,2,17,20,13,0,21,14
9,6,17,11,10,0,2,15,4,21,14,8,7,18,1,16,19,12,20,3,13,9,6,17,11,10,0,2,15,4,21,14,8,7,18,1,16,19,12,20,3,13
8,5,16,10,9,20,1,14,3,4,13,7,21,17,0,15,18,11,19,2,12,8,5,16,10,9,20,1,14,3,4,13,7,21,17,0,15,18,11,19,2,12
21,4,15,9,8,19,0,13,2,3,12,6,5,16,20,14,17,10,18,1,11,21,4,15,9,8,19,0,13,2,3,12,6,5,16,20,14,17,10,18,1,11
6,3,14,21,7,18,20,12,1,2,11,5,4,15,19,13,16,9,17,0,10,6,3,14,21,7,18,20,12,1,2,11,5,4,15,19,13,16,9,17,0,10
5,2,13,7,6,17,19,11,0,1,10,4,3,14,18,12,15,8,16,20,21,5,2,13,7,6,17,19,11,0,1,10,4,3,14,18,12,15,8,16,20,21
4,1,12,6,5,16,18,21,20,0,9,3,2,13,17,11,14,7,15,19,8,4,1,12,6,5,16,18,21,20,0,9,3,2,13,17,11,14,7,15,19,8
3,0,21,5,4,15,17,9,19,20,8,2,1,12,16,10,13,6,14,18,7,3,0,21,5,4,15,17,9,19,20,8,2,1,12,16,10,13,6,14,18,7
2,20,10,4,3,14,16,8,18,19,7,1,0,11,15,9,21,5,13,17,6,2,20,10,4,3,14,16,8,18,19,7,1,0,11,15,9,21,5,13,17,6
1,19,9,3,2,21,15,7,17,18,6,0,20,10,14,8,11,4,12,16,5,1,19,9,3,2,21,15,7,17,18,6,0,20,10,14,8,11,4,12,16,5
0,18,8,2,1,12,21,6,16,17,5,20,19,9,13,7,10,3,11,15,4,0,18,8,2,1,12,21,6,16,17,5,20,19,9,13,7,10,3,11,15,4
20,17,7,1,0,11,13,5,21,16,4,19,18,8,12,6,9,2,10,14,3,20,17,7,1,0,11,13,5,21,16,4,19,18,8,12,6,9,2,10,14,3
19,21,6,0,20,10,12,4,14,15,3,18,17,7,11,5,8,1,9,13,2,19,21,6,0,20,10,12,4,14,15,3,18,17,7,11,5,8,1,9,13,2
18,15,5,20,19,9,11,3,13,14,2,21,16,6,10,4,7,0,8,12,1,18,15,5,20,19,9,11,3,13,14,2,21,16,6,10,4,7,0,8,12,1
17,14,4,19,21,8,10,2,12,13,1,16,15,5,9,3,6,20,7,11,0,17,14,4,19,21,8,10,2,12,13,1,16,15,5,9,3,6,20,7,11,0
16,13,3,18,17,7,9,1,11,12,0,15,14,4,8,2,5,21,6,10,20,16,13,3,18,17,7,9,1,11,12,0,15,14,4,8,2,5,21,6,10,20
15,12,2,17,16,6,8,0,10,11,21,14,13,3,7,1,4,18,5,9,19,15,12,2,17,16,6,8,0,10,11,21,14,13,3,7,1,4,18,5,9,19
7,16,11,8,18,13,14,10,15,5,20,17,6,1,3,0,12,19,2,4,9,7,16,11,8,18,13,14,10,15,5,20,17,6,1,3,0,12,19,2,4,9
