0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
32,38,8,39,29,13,5,23,21,16,7,9,12,22,24,14,31,19,11,27,15,20,1,37,18,3,34,36,30,28,26,25,17,10,6,33,2,4,35,32,38,8,39,29,13,5,23,21,16,7,9,12,22,24,14,31,19,11,27,15,20,1,37,18,3,34,36,30,28,26,25,17,10,6,33,2,4,35
31,37,7,38,28,12,4,22,20,15,6,8,11,21,23,13,30,18,10,26,14,19,0,36,17,2,33,35,29,27,25,24,16,9,5,32,39,3,34,31,37,7,38,28,12,4,22,20,15,6,8,11,21,23,13,30,18,10,26,14,19,0,36,17,2,33,35,29,27,25,24,16,9,5,32,39,3,34
30,36,6,37,27,11,3,21,19,14,5,7,10,20,22,12,29,17,9,25,13,18,38,35,16,1,32,34,28,26,24,23,15,8,4,31,0,39,33,30,36,6,37,27,11,3,21,19,14,5,7,10,20,22,12,29,17,9,25,13,18,38,35,16,1,32,34,28,26,24,23,15,8,4,31,0,39,33
29,35,5,36,26,10,2,20,18,13,4,6,9,19,21,11,28,16,8,24,12,17,37,34,15,0,31,33,27,25,23,22,14,7,39,30,38,1,32,29,35,5,36,26,10,2,20,18,13,4,6,9,19,21,11,28,16,8,24,12,17,37,34,15,0,31,33,27,25,23,22,14,7,39,30,38,1,32
28,34,39,35,25,9,1,19,17,12,3,5,8,18,20,10,27,15,7,23,11,16,36,33,14,38,30,32,26,24,22,21,13,6,2,29,37,0,31,28,34,39,35,25,9,1,19,17,12,3,5,8,18,20,10,27,15,7,23,11,16,36,33,14,38,30,32,26,24,22,21,13,6,2,29,37,0,31
27,33,3,34,24,8,0,18,16,11,2,4,7,17,19,9,26,14,6,22,10,15,35,32,13,37,29,31,25,23,21,20,12,39,1,28,36,38,30,27,33,3,34,24,8,0,18,16,11,2,4,7,17,19,9,26,14,6,22,10,15,35,32,13,37,29,31,25,23,21,20,12,39,1,28,36,38,30
26,32,2,33,23,7,38,17,15,10,1,3,39,16,18,8,25,13,5,21,9,14,34,31,12,36,28,30,24,22,20,19,11,4,0,27,35,37,29,26,32,2,33,23,7,38,17,15,10,1,3,39,16,18,8,25,13,5,21,9,14,34,31,12,36,28,30,24,22,20,19,11,4,0,27,35,37,29
25,31,1,32,22,6,37,16,14,9,0,2,5,15,17,39,24,12,4,20,8,13,33,30,11,35,27,29,23,21,19,18,10,3,38,26,34,36,28,25,31,1,32,22,6,37,16,14,9,0,2,5,15,17,39,24,12,4,20,8,13,33,30,11,35,27,29,23,21,19,18,10,3,38,26,34,36,28
24,30,0,31,21,5,36,15,13,39,38,1,4,14,16,6,23,11,3,19,7,12,32,29,10,34,26,28,22,20,18,17,9,2,37,25,33,35,27,24,30,0,31,21,5,36,15,13,39,38,1,4,14,16,6,23,11,3,19,7,12,32,29,10,34,26,28,22,20,18,17,9,2,37,25,33,35,27
23,29,38,30,20,4,35,14,12,7,37,0,3,13,15,5,22,10,2,18,6,11,31,28,39,33,25,27,21,19,17,16,8,1,36,24,32,34,26,23,29,38,30,20,4,35,14,12,7,37,0,3,13,15,5,22,10,2,18,6,11,31,28,39,33,25,27,21,19,17,16,8,1,36,24,32,34,26
22,28,37,29,19,3,34,13,11,6,36,38,2,12,14,4,21,9,1,17,5,39,30,27,8,32,24,26,20,18,16,15,7,0,35,23,31,33,25,22,28,37,29,19,3,34,13,11,6,36,38,2,12,14,4,21,9,1,17,5,39,30,27,8,32,24,26,20,18,16,15,7,0,35,23,31,33,25
21,27,36,28,18,2,33,12,10,5,35,37,1,39,13,3,20,8,0,16,4,9,29,26,7,31,23,25,19,17,15,14,6,38,34,22,30,32,24,21,27,36,28,18,2,33,12,10,5,35,37,1,39,13,3,20,8,0,16,4,9,29,26,7,31,23,25,19,17,15,14,6,38,34,22,30,32,24
20,26,35,27,17,1,32,11,9,4,34,36,0,10,39,2,19,7,38,15,3,8,28,25,6,30,22,24,18,16,14,13,5,37,33,21,29,31,23,20,26,35,27,17,1,32,11,9,4,34,36,0,10,39,2,19,7,38,15,3,8,28,25,6,30,22,24,18,16,14,13,5,37,33,21,29,31,23
19,25,34,26,16,0,31,10,8,3,33,35,38,9,11,1,18,6,37,14,2,7,27,24,5,29,21,23,17,15,39,12,4,36,32,20,28,30,22,19,25,34,26,16,0,31,10,8,3,33,35,38,9,11,1,18,6,37,14,2,7,27,24,5,29,21,23,17,15,39,12,4,36,32,20,28,30,22
18,24,33,25,15,38,30,9,7,2,32,34,37,8,10,0,17,5,36,13,1,6,26,23,4,28,20,22,16,39,12,11,3,35,31,19,27,29,21,18,24,33,25,15,38,30,9,7,2,32,34,37,8,10,0,17,5,36,13,1,6,26,23,4,28,20,22,16,39,12,11,3,35,31,19,27,29,21
17,23,32,24,14,37,29,8,6,1,31,33,36,7,9,38,16,4,35,12,0,5,25,22,3,27,19,21,39,13,11,10,2,34,30,18,26,28,20,17,23,32,24,14,37,29,8,6,1,31,33,36,7,9,38,16,4,35,12,0,5,25,22,3,27,19,21,39,13,11,10,2,34,30,18,26,28,20
39,22,31,23,13,36,28,7,5,0,30,32,35,6,8,37,15,3,34,11,38,4,24,21,2,26,18,20,14,12,10,9,1,33,29,17,25,27,19,39,22,31,23,13,36,28,7,5,0,30,32,35,6,8,37,15,3,34,11,38,4,24,21,2,26,18,20,14,12,10,9,1,33,29,17,25,27,19
15,21,30,22,12,35,27,6,4,38,29,31,34,5,7,36,14,2,33,10,37,3,23,20,1,25,39,19,13,11,9,8,0,32,28,16,24,26,18,15,21,30,22,12,35,27,6,4,38,29,31,34,5,7,36,14,2,33,10,37,3,23,20,1,25,39,19,13,11,9,8,0,32,28,16,24,26,18
14,20,29,21,11,34,26,5,3,37,28,30,33,4,6,35,13,1,32,9,36,2,22,19,0,24,16,39,12,10,8,7,38,31,27,15,23,25,17,14,20,29,21,11,34,26,5,3,37,28,30,33,4,6,35,13,1,32,9,36,2,22,19,0,24,16,39,12,10,8,7,38,31,27,15,23,25,17
13,39,28,20,10,33,25,4,2,36,27,29,32,3,5,34,12,0,31,8,35,1,21,18,38,23,15,17,11,9,7,6,37,30,26,14,22,24,16,13,39,28,20,10,33,25,4,2,36,27,29,32,3,5,34,12,0,31,8,35,1,21,18,38,23,15,17,11,9,7,6,37,30,26,14,22,24,16
12,18,27,19,9,32,24,3,1,35,26,28,31,2,4,33,11,38,30,7,34,0,39,17,37,22,14,16,10,8,6,5,36,29,25,13,21,23,15,12,18,27,19,9,32,24,3,1,35,26,28,31,2,4,33,11,38,30,7,34,0,39,17,37,22,14,16,10,8,6,5,36,29,25,13,21,23,15
11,17,26,18,8,31,23,2,0,34,25,27,30,1,3,32,10,37,29,6,33,38,19,16,36,39,13,15,9,7,5,4,35,28,24,12,20,22,14,11,17,26,18,8,31,23,2,0,34,25,27,30,1,3,32,10,37,29,6,33,38,19,16,36,39,13,15,9,7,5,4,35,28,24,12,20,22,14
10,16,25,17,7,30,39,1,38,33,24,26,29,0,2,31,9,36,28,5,32,37,18,15,35,20,12,14,8,6,4,3,34,27,23,11,19,21,13,10,16,25,17,7,30,39,1,38,33,24,26,29,0,2,31,9,36,28,5,32,37,18,15,35,20,12,14,8,6,4,3,34,27,23,11,19,21,13
9,15,24,16,6,29,21,0,37,32,39,25,28,38,1,30,8,35,27,4,31,36,17,14,34,19,11,13,7,5,3,2,33,26,22,10,18,20,12,9,15,24,16,6,29,21,0,37,32,39,25,28,38,1,30,8,35,27,4,31,36,17,14,34,19,11,13,7,5,3,2,33,26,22,10,18,20,12
8,14,23,15,5,28,20,38,36,31,22,39,27,37,0,29,7,34,26,3,30,35,16,13,33,18,10,12,6,4,2,1,32,25,21,9,17,19,11,8,14,23,15,5,28,20,38,36,31,22,39,27,37,0,29,7,34,26,3,30,35,16,13,33,18,10,12,6,4,2,1,32,25,21,9,17,19,11
7,13,22,14,4,27,19,37,35,30,21,23,26,36,38,28,6,33,39,2,29,34,15,12,32,17,9,11,5,3,1,0,31,24,20,8,16,18,10,7,13,22,14,4,27,19,37,35,30,21,23,26,36,38,28,6,33,39,2,29,34,15,12,32,17,9,11,5,3,1,0,31,24,20,8,16,18,10
6,12,21,13,3,39,18,36,34,29,20,22,25,35,37,27,5,32,24,1,28,33,14,11,31,16,8,10,4,2,0,38,30,23,19,7,15,17,9,6,12,21,13,3,39,18,36,34,29,20,22,25,35,37,27,5,32,24,1,28,33,14,11,31,16,8,10,4,2,0,38,30,23,19,7,15,17,9
5,11,20,12,2,25,17,35,33,28,19,21,24,34,36,26,4,31,23,0,39,32,13,10,30,15,7,9,3,1,38,37,29,22,18,6,14,16,8,5,11,20,12,2,25,17,35,33,28,19,21,24,34,36,26,4,31,23,0,39,32,13,10,30,15,7,9,3,1,38,37,29,22,18,6,14,16,8
4,10,19,11,1,24,16,34,32,27,18,20,23,33,35,25,3,30,22,38,26,31,12,9,29,14,6,8,2,0,37,36,39,21,17,5,13,15,7,4,10,19,11,1,24,16,34,32,27,18,20,23,33,35,25,3,30,22,38,26,31,12,9,29,14,6,8,2,0,37,36,39,21,17,5,13,15,7
3,9,18,10,0,23,15,33,31,26,17,19,22,32,34,24,2,39,21,37,25,30,11,8,28,13,5,7,1,38,36,35,27,20,16,4,12,14,6,3,9,18,10,0,23,15,33,31,26,17,19,22,32,34,24,2,39,21,37,25,30,11,8,28,13,5,7,1,38,36,35,27,20,16,4,12,14,6
2,8,17,9,38,22,14,32,39,25,16,18,21,31,33,23,1,28,20,36,24,29,10,7,27,12,4,6,0,37,35,34,26,19,15,3,11,13,5,2,8,17,9,38,22,14,32,39,25,16,18,21,31,33,23,1,28,20,36,24,29,10,7,27,12,4,6,0,37,35,34,26,19,15,3,11,13,5
1,7,16,8,37,21,13,39,29,24,15,17,20,30,32,22,0,27,19,35,23,28,9,6,26,11,3,5,38,36,34,33,25,18,14,2,10,12,4,1,7,16,8,37,21,13,39,29,24,15,17,20,30,32,22,0,27,19,35,23,28,9,6,26,11,3,5,38,36,34,33,25,18,14,2,10,12,4
0,6,15,7,36,20,12,30,28,23,14,16,19,29,31,21,38,26,18,34,22,27,8,5,25,10,2,4,37,35,33,39,24,17,13,1,9,11,3,0,6,15,7,36,20,12,30,28,23,14,16,19,29,31,21,38,26,18,34,22,27,8,5,25,10,2,4,37,35,33,39,24,17,13,1,9,11,3
38,5,14,6,35,19,11,29,27,22,13,15,18,28,30,20,37,25,17,39,21,26,7,4,24,9,1,3,36,34,32,31,23,16,12,0,8,10,2,38,5,14,6,35,19,11,29,27,22,13,15,18,28,30,20,37,25,17,39,21,26,7,4,24,9,1,3,36,34,32,31,23,16,12,0,8,10,2
37,4,13,5,39,18,10,28,26,21,12,14,17,27,29,19,36,24,16,32,20,25,6,3,23,8,0,2,35,33,31,30,22,15,11,38,7,9,1,37,4,13,5,39,18,10,28,26,21,12,14,17,27,29,19,36,24,16,32,20,25,6,3,23,8,0,2,35,33,31,30,22,15,11,38,7,9,1
36,3,12,4,33,17,9,27,25,20,11,13,16,26,28,18,39,23,15,31,19,24,5,2,22,7,38,1,34,32,30,29,21,14,10,37,6,8,0,36,3,12,4,33,17,9,27,25,20,11,13,16,26,28,18,39,23,15,31,19,24,5,2,22,7,38,1,34,32,30,29,21,14,10,37,6,8,0
35,2,11,3,32,16,8,26,24,19,10,12,15,25,27,17,34,22,14,30,18,23,4,1,21,6,37,0,33,31,29,28,20,13,9,39,5,7,38,35,2,11,3,32,16,8,26,24,19,10,12,15,25,27,17,34,22,14,30,18,23,4,1,21,6,37,0,33,31,29,28,20,13,9,39,5,7,38
34,1,10,2,31,15,7,25,23,18,9,11,14,24,26,16,33,21,13,29,17,22,3,0,20,5,36,38,32,30,28,27,19,12,8,35,4,6,39,34,1,10,2,31,15,7,25,23,18,9,11,14,24,26,16,33,21,13,29,17,22,3,0,20,5,36,38,32,30,28,27,19,12,8,35,4,6,39
33,0,9,1,30,14,6,24,22,17,8,10,13,23,25,15,32,20,12,28,16,21,2,39,19,4,35,37,31,29,27,26,18,11,7,34,3,5,36,33,0,9,1,30,14,6,24,22,17,8,10,13,23,25,15,32,20,12,28,16,21,2,39,19,4,35,37,31,29,27,26,18,11,7,34,3,5,36
16,19,4,0,34,26,22,31,30,8,23,24,6,11,12,7,35,29,25,33,27,10,20,38,9,21,17,18,15,14,13,32,28,5,3,36,1,2,37,16,19,4,0,34,26,22,31,30,8,23,24,6,11,12,7,35,29,25,33,27,10,20,38,9,21,17,18,15,14,13,32,28,5,3,36,1,2,37
