0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
33,2,44,38,27,31,35,18,26,43,19,32,3,8,15,6,42,12,11,1,45,40,13,16,23,24,39,30,5,14,25,36,22,10,34,7,29,21,20,9,17,4,41,37,28,33,2,44,38,27,31,35,18,26,43,19,32,3,8,15,6,42,12,11,1,45,40,13,16,23,24,39,30,5,14,25,36,22,10,34,7,29,21,20,9,17,4,41,37,28
32,45,43,37,26,30,34,17,25,42,18,31,2,7,14,5,41,11,10,0,44,39,12,15,22,23,38,29,4,13,24,35,21,9,33,6,28,20,19,8,16,3,40,36,27,32,45,43,37,26,30,34,17,25,42,18,31,2,7,14,5,41,11,10,0,44,39,12,15,22,23,38,29,4,13,24,35,21,9,33,6,28,20,19,8,16,3,40,36,27
31,0,42,36,25,29,33,16,24,41,17,30,1,6,13,4,40,10,9,44,43,38,11,14,21,22,37,28,3,12,23,34,20,8,32,5,27,19,18,7,15,45,39,35,26,31,0,42,36,25,29,33,16,24,41,17,30,1,6,13,4,40,10,9,44,43,38,11,14,21,22,37,28,3,12,23,34,20,8,32,5,27,19,18,7,15,45,39,35,26
30,44,41,35,24,28,32,15,23,40,16,29,0,5,12,45,39,9,8,43,42,37,10,13,20,21,36,27,2,11,22,33,19,7,31,4,26,18,17,6,14,1,38,34,25,30,44,41,35,24,28,32,15,23,40,16,29,0,5,12,45,39,9,8,43,42,37,10,13,20,21,36,27,2,11,22,33,19,7,31,4,26,18,17,6,14,1,38,34,25
29,43,40,34,23,27,31,14,22,39,15,28,44,45,11,2,38,8,7,42,41,36,9,12,19,20,35,26,1,10,21,32,18,6,30,3,25,17,16,5,13,0,37,33,24,29,43,40,34,23,27,31,14,22,39,15,28,44,45,11,2,38,8,7,42,41,36,9,12,19,20,35,26,1,10,21,32,18,6,30,3,25,17,16,5,13,0,37,33,24
28,42,39,33,22,26,30,13,21,38,14,27,43,3,10,1,37,7,6,41,40,35,8,11,18,19,34,25,0,9,20,31,17,45,29,2,24,16,15,4,12,44,36,32,23,28,42,39,33,22,26,30,13,21,38,14,27,43,3,10,1,37,7,6,41,40,35,8,11,18,19,34,25,0,9,20,31,17,45,29,2,24,16,15,4,12,44,36,32,23
27,41,38,32,21,25,29,12,20,37,13,26,42,2,9,0,36,45,5,40,39,34,7,10,17,18,33,24,44,8,19,30,16,4,28,1,23,15,14,3,11,43,35,31,22,27,41,38,32,21,25,29,12,20,37,13,26,42,2,9,0,36,45,5,40,39,34,7,10,17,18,33,24,44,8,19,30,16,4,28,1,23,15,14,3,11,43,35,31,22
26,40,37,31,20,24,28,11,19,36,12,25,41,1,8,44,35,5,4,39,38,33,6,9,16,17,32,23,43,45,18,29,15,3,27,0,22,14,13,2,10,42,34,30,21,26,40,37,31,20,24,28,11,19,36,12,25,41,1,8,44,35,5,4,39,38,33,6,9,16,17,32,23,43,45,18,29,15,3,27,0,22,14,13,2,10,42,34,30,21
25,39,36,30,19,23,27,10,18,35,11,24,40,0,7,43,34,4,3,38,37,32,5,45,15,16,31,22,42,6,17,28,14,2,26,44,21,13,12,1,9,41,33,29,20,25,39,36,30,19,23,27,10,18,35,11,24,40,0,7,43,34,4,3,38,37,32,5,45,15,16,31,22,42,6,17,28,14,2,26,44,21,13,12,1,9,41,33,29,20
24,38,35,29,18,22,26,45,17,34,10,23,39,44,6,42,33,3,2,37,36,31,4,7,14,15,30,21,41,5,16,27,13,1,25,43,20,12,11,0,8,40,32,28,19,24,38,35,29,18,22,26,45,17,34,10,23,39,44,6,42,33,3,2,37,36,31,4,7,14,15,30,21,41,5,16,27,13,1,25,43,20,12,11,0,8,40,32,28,19
23,37,34,28,17,21,25,8,16,33,9,22,38,43,5,41,32,2,1,36,35,30,3,6,13,14,29,20,40,4,15,26,12,0,24,42,19,11,45,44,7,39,31,27,18,23,37,34,28,17,21,25,8,16,33,9,22,38,43,5,41,32,2,1,36,35,30,3,6,13,14,29,20,40,4,15,26,12,0,24,42,19,11,45,44,7,39,31,27,18
22,36,33,27,16,20,24,7,15,32,8,21,37,42,4,40,31,1,0,35,34,29,2,5,12,13,28,19,39,3,14,25,45,44,23,41,18,10,9,43,6,38,30,26,17,22,36,33,27,16,20,24,7,15,32,8,21,37,42,4,40,31,1,0,35,34,29,2,5,12,13,28,19,39,3,14,25,45,44,23,41,18,10,9,43,6,38,30,26,17
