0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
13,4,7,12,9,8,5,1,11,3,10,2,6,13,4,7,12,9,8,5,1,11,3,10,2,6
12,3,6,11,8,7,4,0,10,2,9,13,5,12,3,6,11,8,7,4,0,10,2,9,13,5
11,13,5,10,7,6,3,12,9,1,8,0,4,11,13,5,10,7,6,3,12,9,1,8,0,4
10,1,4,9,6,5,2,11,8,0,7,12,13,10,1,4,9,6,5,2,11,8,0,7,12,13
9,0,3,8,5,13,1,10,7,12,6,11,2,9,0,3,8,5,13,1,10,7,12,6,11,2
8,12,2,7,4,3,0,9,6,11,13,10,1,8,12,2,7,4,3,0,9,6,11,13,10,1
7,11,1,13,3,2,12,8,5,10,4,9,0,7,11,1,13,3,2,12,8,5,10,4,9,0
6,10,0,5,2,1,11,13,4,9,3,8,12,6,10,0,5,2,1,11,13,4,9,3,8,12
5,9,12,4,1,0,10,6,3,13,2,7,11,5,9,12,4,1,0,10,6,3,13,2,7,11
4,8,11,3,0,12,13,5,2,7,1,6,10,4,8,11,3,0,12,13,5,2,7,1,6,10
3,7,13,2,12,11,8,4,1,6,0,5,9,3,7,13,2,12,11,8,4,1,6,0,5,9
2,6,9,1,13,10,7,3,0,5,12,4,8,2,6,9,1,13,10,7,3,0,5,12,4,8
1,5,8,0,10,9,6,2,13,4,11,3,7,1,5,8,0,10,9,6,2,13,4,11,3,7
0,2,10,6,11,4,9,7,12,8,5,1,3,0,2,10,6,11,4,9,7,12,8,5,1,3
