0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
22,1,13,8,16,23,25,5,17,6,19,24,2,12,21,10,7,4,20,14,18,3,15,9,11,22,1,13,8,16,23,25,5,17,6,19,24,2,12,21,10,7,4,20,14,18,3,15,9,11
21,0,12,7,15,22,24,4,16,5,18,23,25,11,20,9,6,3,19,13,17,2,14,8,10,21,0,12,7,15,22,24,4,16,5,18,23,25,11,20,9,6,3,19,13,17,2,14,8,10
20,24,11,6,14,21,23,3,15,4,17,22,0,10,19,8,5,25,18,12,16,1,13,7,9,20,24,11,6,14,21,23,3,15,4,17,22,0,10,19,8,5,25,18,12,16,1,13,7,9
19,23,10,5,13,20,22,2,14,25,16,21,24,9,18,7,4,1,17,11,15,0,12,6,8,19,23,10,5,13,20,22,2,14,25,16,21,24,9,18,7,4,1,17,11,15,0,12,6,8
18,22,9,25,12,19,21,1,13,2,15,20,23,8,17,6,3,0,16,10,14,24,11,5,7,18,22,9,25,12,19,21,1,13,2,15,20,23,8,17,6,3,0,16,10,14,24,11,5,7
17,21,8,3,11,18,20,0,12,1,14,19,22,7,16,25,2,24,15,9,13,23,10,4,6,17,21,8,3,11,18,20,0,12,1,14,19,22,7,16,25,2,24,15,9,13,23,10,4,6
16,20,7,2,10,17,19,24,11,0,13,18,21,25,15,4,1,23,14,8,12,22,9,3,5,16,20,7,2,10,17,19,24,11,0,13,18,21,25,15,4,1,23,14,8,12,22,9,3,5
15,19,6,1,9,16,18,23,10,24,12,17,20,5,14,3,0,22,13,25,11,21,8,2,4,15,19,6,1,9,16,18,23,10,24,12,17,20,5,14,3,0,22,13,25,11,21,8,2,4
14,18,5,0,25,15,17,22,9,23,11,16,19,4,13,2,24,21,12,6,10,20,7,1,3,14,18,5,0,25,15,17,22,9,23,11,16,19,4,13,2,24,21,12,6,10,20,7,1,3
13,17,4,24,7,14,16,21,8,22,10,15,18,3,12,1,23,20,11,5,25,19,6,0,2,13,17,4,24,7,14,16,21,8,22,10,15,18,3,12,1,23,20,11,5,25,19,6,0,2
12,16,3,23,6,13,15,20,7,21,9,14,17,2,11,0,22,19,25,4,8,18,5,24,1,12,16,3,23,6,13,15,20,7,21,9,14,17,2,11,0,22,19,25,4,8,18,5,24,1
25,15,2,22,5,12,14,19,6,20,8,13,16,1,10,24,21,18,9,3,7,17,4,23,0,25,15,2,22,5,12,14,19,6,20,8,13,16,1,10,24,21,18,9,3,7,17,4,23,0
10,14,1,21,4,11,13,18,5,19,7,25,15,0,9,23,20,17,8,2,6,16,3,22,24,10,14,1,21,4,11,13,18,5,19,7,25,15,0,9,23,20,17,8,2,6,16,3,22,24
9,25,0,20,3,10,12,17,4,18,6,11,14,24,8,22,19,16,7,1,5,15,2,21,23,9,25,0,20,3,10,12,17,4,18,6,11,14,24,8,22,19,16,7,1,5,15,2,21,23
8,12,24,19,2,9,11,16,3,17,5,10,13,23,7,21,18,15,6,0,4,25,1,20,22,8,12,24,19,2,9,11,16,3,17,5,10,13,23,7,21,18,15,6,0,4,25,1,20,22
7,11,23,18,1,8,10,25,2,16,4,9,12,22,6,20,17,14,5,24,3,13,0,19,21,7,11,23,18,1,8,10,25,2,16,4,9,12,22,6,20,17,14,5,24,3,13,0,19,21
6,10,22,17,0,7,9,14,1,15,3,8,11,21,5,19,25,13,4,23,2,12,24,18,20,6,10,22,17,0,7,9,14,1,15,3,8,11,21,5,19,25,13,4,23,2,12,24,18,20
5,9,21,16,24,6,8,13,0,14,2,7,10,20,4,18,15,12,3,22,1,11,23,25,19,5,9,21,16,24,6,8,13,0,14,2,7,10,20,4,18,15,12,3,22,1,11,23,25,19
4,8,20,15,23,5,7,12,24,13,1,6,9,19,3,17,14,11,2,21,0,10,22,16,25,4,8,20,15,23,5,7,12,24,13,1,6,9,19,3,17,14,11,2,21,0,10,22,16,25
3,7,25,14,22,4,6,11,23,12,0,5,8,18,2,16,13,10,1,20,24,9,21,15,17,3,7,25,14,22,4,6,11,23,12,0,5,8,18,2,16,13,10,1,20,24,9,21,15,17
2,6,18,13,21,3,5,10,22,11,24,4,7,17,1,15,12,9,0,19,23,8,25,14,16,2,6,18,13,21,3,5,10,22,11,24,4,7,17,1,15,12,9,0,19,23,8,25,14,16
1,5,17,12,20,2,4,9,25,10,23,3,6,16,0,14,11,8,24,18,22,7,19,13,15,1,5,17,12,20,2,4,9,25,10,23,3,6,16,0,14,11,8,24,18,22,7,19,13,15
0,4,16,11,19,1,3,8,20,9,25,2,5,15,24,13,10,7,23,17,21,6,18,12,14,0,4,16,11,19,1,3,8,20,9,25,2,5,15,24,13,10,7,23,17,21,6,18,12,14
24,3,15,10,18,0,2,7,19,8,21,1,4,14,25,12,9,6,22,16,20,5,17,11,13,24,3,15,10,18,0,2,7,19,8,21,1,4,14,25,12,9,6,22,16,20,5,17,11,13
23,2,14,9,17,25,1,6,18,7,20,0,3,13,22,11,8,5,21,15,19,4,16,10,12,23,2,14,9,17,25,1,6,18,7,20,0,3,13,22,11,8,5,21,15,19,4,16,10,12
11,13,19,4,8,24,0,15,21,3,22,12,1,6,23,5,16,2,10,7,9,14,20,17,18,11,13,19,4,8,24,0,15,21,3,22,12,1,6,23,5,16,2,10,7,9,14,20,17,18
