0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
17,28,35,23,16,1,3,15,19,21,31,8,4,22,7,25,14,5,30,12,24,10,27,20,6,9,13,18,2,33,26,29,32,11,34,17,28,35,23,16,1,3,15,19,21,31,8,4,22,7,25,14,5,30,12,24,10,27,20,6,9,13,18,2,33,26,29,32,11,34
16,27,34,22,15,0,2,14,18,20,30,7,3,21,6,24,13,4,29,11,23,9,26,19,5,8,12,17,35,32,25,28,31,10,33,16,27,34,22,15,0,2,14,18,20,30,7,3,21,6,24,13,4,29,11,23,9,26,19,5,8,12,17,35,32,25,28,31,10,33
15,26,33,21,14,34,1,13,17,19,29,6,35,20,5,23,12,3,28,10,22,8,25,18,4,7,11,16,0,31,24,27,30,9,32,15,26,33,21,14,34,1,13,17,19,29,6,35,20,5,23,12,3,28,10,22,8,25,18,4,7,11,16,0,31,24,27,30,9,32
14,25,32,20,13,33,0,12,16,18,28,5,1,19,4,22,11,2,27,9,21,7,24,17,35,6,10,15,34,30,23,26,29,8,31,14,25,32,20,13,33,0,12,16,18,28,5,1,19,4,22,11,2,27,9,21,7,24,17,35,6,10,15,34,30,23,26,29,8,31
13,24,31,19,12,32,34,11,15,17,27,35,0,18,3,21,10,1,26,8,20,6,23,16,2,5,9,14,33,29,22,25,28,7,30,13,24,31,19,12,32,34,11,15,17,27,35,0,18,3,21,10,1,26,8,20,6,23,16,2,5,9,14,33,29,22,25,28,7,30
12,23,30,18,11,31,33,10,14,16,26,3,34,17,2,20,9,0,25,7,19,35,22,15,1,4,8,13,32,28,21,24,27,6,29,12,23,30,18,11,31,33,10,14,16,26,3,34,17,2,20,9,0,25,7,19,35,22,15,1,4,8,13,32,28,21,24,27,6,29
11,22,29,17,10,30,32,9,13,15,25,2,33,16,1,19,8,34,24,35,18,4,21,14,0,3,7,12,31,27,20,23,26,5,28,11,22,29,17,10,30,32,9,13,15,25,2,33,16,1,19,8,34,24,35,18,4,21,14,0,3,7,12,31,27,20,23,26,5,28
10,21,28,16,9,29,31,8,12,14,24,1,32,15,0,18,35,33,23,5,17,3,20,13,34,2,6,11,30,26,19,22,25,4,27,10,21,28,16,9,29,31,8,12,14,24,1,32,15,0,18,35,33,23,5,17,3,20,13,34,2,6,11,30,26,19,22,25,4,27
9,20,27,15,35,28,30,7,11,13,23,0,31,14,34,17,6,32,22,4,16,2,19,12,33,1,5,10,29,25,18,21,24,3,26,9,20,27,15,35,28,30,7,11,13,23,0,31,14,34,17,6,32,22,4,16,2,19,12,33,1,5,10,29,25,18,21,24,3,26
8,19,26,14,7,27,29,6,10,12,22,34,30,13,33,16,5,31,21,3,15,1,18,11,32,0,4,35,28,24,17,20,23,2,25,8,19,26,14,7,27,29,6,10,12,22,34,30,13,33,16,5,31,21,3,15,1,18,11,32,0,4,35,28,24,17,20,23,2,25
7,18,25,13,6,26,28,5,9,11,21,33,29,12,32,15,4,30,20,2,14,0,17,35,31,34,3,8,27,23,16,19,22,1,24,7,18,25,13,6,26,28,5,9,11,21,33,29,12,32,15,4,30,20,2,14,0,17,35,31,34,3,8,27,23,16,19,22,1,24
6,17,24,12,5,25,27,4,8,10,20,32,28,35,31,14,3,29,19,1,13,34,16,9,30,33,2,7,26,22,15,18,21,0,23,6,17,24,12,5,25,27,4,8,10,20,32,28,35,31,14,3,29,19,1,13,34,16,9,30,33,2,7,26,22,15,18,21,0,23
5,16,23,11,4,24,26,3,7,9,19,31,27,10,30,13,2,28,18,0,35,33,15,8,29,32,1,6,25,21,14,17,20,34,22,5,16,23,11,4,24,26,3,7,9,19,31,27,10,30,13,2,28,18,0,35,33,15,8,29,32,1,6,25,21,14,17,20,34,22
4,15,22,10,3,23,25,2,6,8,18,30,26,9,29,12,1,27,17,34,11,32,14,7,28,31,0,5,24,20,35,16,19,33,21,4,15,22,10,3,23,25,2,6,8,18,30,26,9,29,12,1,27,17,34,11,32,14,7,28,31,0,5,24,20,35,16,19,33,21
3,35,21,9,2,22,24,1,5,7,17,29,25,8,28,11,0,26,16,33,10,31,13,6,27,30,34,4,23,19,12,15,18,32,20,3,35,21,9,2,22,24,1,5,7,17,29,25,8,28,11,0,26,16,33,10,31,13,6,27,30,34,4,23,19,12,15,18,32,20
2,13,20,8,1,21,23,0,4,6,16,28,24,7,27,10,34,25,35,32,9,30,12,5,26,29,33,3,22,18,11,14,17,31,19,2,13,20,8,1,21,23,0,4,6,16,28,24,7,27,10,34,25,35,32,9,30,12,5,26,29,33,3,22,18,11,14,17,31,19
1,12,19,7,0,20,22,34,3,5,15,27,23,6,26,9,33,24,14,31,8,29,11,4,25,28,32,2,21,17,10,13,35,30,18,1,12,19,7,0,20,22,34,3,5,15,27,23,6,26,9,33,24,14,31,8,29,11,4,25,28,32,2,21,17,10,13,35,30,18
0,11,18,6,34,19,21,33,2,4,14,26,22,5,25,8,32,23,13,30,7,28,10,3,24,27,31,1,20,16,9,12,15,29,35,0,11,18,6,34,19,21,33,2,4,14,26,22,5,25,8,32,23,13,30,7,28,10,3,24,27,31,1,20,16,9,12,15,29,35
34,10,17,5,33,35,20,32,1,3,13,25,21,4,24,7,31,22,12,29,6,27,9,2,23,26,30,0,19,15,8,11,14,28,16,34,10,17,5,33,35,20,32,1,3,13,25,21,4,24,7,31,22,12,29,6,27,9,2,23,26,30,0,19,15,8,11,14,28,16
33,9,16,4,32,17,35,31,0,2,12,24,20,3,23,6,30,21,11,28,5,26,8,1,22,25,29,34,18,14,7,10,13,27,15,33,9,16,4,32,17,35,31,0,2,12,24,20,3,23,6,30,21,11,28,5,26,8,1,22,25,29,34,18,14,7,10,13,27,15
32,8,15,3,31,16,18,30,34,1,11,23,19,2,22,5,29,35,10,27,4,25,7,0,21,24,28,33,17,13,6,9,12,26,14,32,8,15,3,31,16,18,30,34,1,11,23,19,2,22,5,29,35,10,27,4,25,7,0,21,24,28,33,17,13,6,9,12,26,14
31,7,14,2,30,15,17,29,33,0,10,22,18,1,35,4,28,19,9,26,3,24,6,34,20,23,27,32,16,12,5,8,11,25,13,31,7,14,2,30,15,17,29,33,0,10,22,18,1,35,4,28,19,9,26,3,24,6,34,20,23,27,32,16,12,5,8,11,25,13
30,6,13,1,29,14,16,28,32,34,9,21,17,0,20,3,27,18,8,25,2,23,5,33,19,35,26,31,15,11,4,7,10,24,12,30,6,13,1,29,14,16,28,32,34,9,21,17,0,20,3,27,18,8,25,2,23,5,33,19,35,26,31,15,11,4,7,10,24,12
29,5,12,0,28,13,15,27,31,33,8,20,16,34,19,2,26,17,7,24,1,22,4,32,18,21,25,30,14,10,3,6,9,35,11,29,5,12,0,28,13,15,27,31,33,8,20,16,34,19,2,26,17,7,24,1,22,4,32,18,21,25,30,14,10,3,6,9,35,11
28,4,11,34,27,12,14,26,30,32,7,19,15,33,18,1,25,16,6,23,0,21,3,31,17,20,35,29,13,9,2,5,8,22,10,28,4,11,34,27,12,14,26,30,32,7,19,15,33,18,1,25,16,6,23,0,21,3,31,17,20,35,29,13,9,2,5,8,22,10
27,3,10,33,26,11,13,35,29,31,6,18,14,32,17,0,24,15,5,22,34,20,2,30,16,19,23,28,12,8,1,4,7,21,9,27,3,10,33,26,11,13,35,29,31,6,18,14,32,17,0,24,15,5,22,34,20,2,30,16,19,23,28,12,8,1,4,7,21,9
35,2,9,32,25,10,12,24,28,30,5,17,13,31,16,34,23,14,4,21,33,19,1,29,15,18,22,27,11,7,0,3,6,20,8,35,2,9,32,25,10,12,24,28,30,5,17,13,31,16,34,23,14,4,21,33,19,1,29,15,18,22,27,11,7,0,3,6,20,8
