0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
9,23,7,28,5,12,18,3,38,29,25,35,13,20,6,15,45,33,37,43,14,24,19,26,34,31,21,32,36,22,2,39,41,30,40,27,42,10,16,44,8,11,17,4,1,9,23,7,28,5,12,18,3,38,29,25,35,13,20,6,15,45,33,37,43,14,24,19,26,34,31,21,32,36,22,2,39,41,30,40,27,42,10,16,44,8,11,17,4,1
8,22,6,27,4,11,17,2,37,28,24,34,12,19,5,14,44,32,36,42,13,23,18,25,33,30,20,31,35,21,45,38,40,29,39,26,41,9,15,43,7,10,16,3,0,8,22,6,27,4,11,17,2,37,28,24,34,12,19,5,14,44,32,36,42,13,23,18,25,33,30,20,31,35,21,45,38,40,29,39,26,41,9,15,43,7,10,16,3,0
7,21,5,26,3,10,16,1,36,27,23,33,11,18,4,13,43,31,35,41,12,22,17,24,32,29,19,30,34,20,0,37,39,28,38,25,40,8,14,42,6,9,15,45,44,7,21,5,26,3,10,16,1,36,27,23,33,11,18,4,13,43,31,35,41,12,22,17,24,32,29,19,30,34,20,0,37,39,28,38,25,40,8,14,42,6,9,15,45,44
6,20,4,25,2,9,15,0,35,26,22,32,10,17,45,12,42,30,34,40,11,21,16,23,31,28,18,29,33,19,44,36,38,27,37,24,39,7,13,41,5,8,14,1,43,6,20,4,25,2,9,15,0,35,26,22,32,10,17,45,12,42,30,34,40,11,21,16,23,31,28,18,29,33,19,44,36,38,27,37,24,39,7,13,41,5,8,14,1,43
5,19,3,24,1,8,14,44,34,25,21,31,9,16,2,11,41,29,33,39,10,20,15,22,30,27,17,28,32,18,43,35,37,26,36,23,38,6,12,40,45,7,13,0,42,5,19,3,24,1,8,14,44,34,25,21,31,9,16,2,11,41,29,33,39,10,20,15,22,30,27,17,28,32,18,43,35,37,26,36,23,38,6,12,40,45,7,13,0,42
4,18,2,23,0,7,13,43,33,24,20,30,8,15,1,10,40,28,32,38,9,19,14,21,29,26,16,27,31,17,42,34,36,25,35,22,37,45,11,39,3,6,12,44,41,4,18,2,23,0,7,13,43,33,24,20,30,8,15,1,10,40,28,32,38,9,19,14,21,29,26,16,27,31,17,42,34,36,25,35,22,37,45,11,39,3,6,12,44,41
3,17,1,22,44,45,12,42,32,23,19,29,7,14,0,9,39,27,31,37,8,18,13,20,28,25,15,26,30,16,41,33,35,24,34,21,36,4,10,38,2,5,11,43,40,3,17,1,22,44,45,12,42,32,23,19,29,7,14,0,9,39,27,31,37,8,18,13,20,28,25,15,26,30,16,41,33,35,24,34,21,36,4,10,38,2,5,11,43,40
2,16,0,21,43,5,11,41,31,22,18,28,6,13,44,8,38,26,30,36,45,17,12,19,27,24,14,25,29,15,40,32,34,23,33,20,35,3,9,37,1,4,10,42,39,2,16,0,21,43,5,11,41,31,22,18,28,6,13,44,8,38,26,30,36,45,17,12,19,27,24,14,25,29,15,40,32,34,23,33,20,35,3,9,37,1,4,10,42,39
1,15,44,20,42,4,10,40,30,21,17,27,5,12,43,7,37,25,29,35,6,16,11,18,26,23,13,24,28,14,39,31,33,22,32,19,34,2,45,36,0,3,9,41,38,1,15,44,20,42,4,10,40,30,21,17,27,5,12,43,7,37,25,29,35,6,16,11,18,26,23,13,24,28,14,39,31,33,22,32,19,34,2,45,36,0,3,9,41,38
0,14,43,19,41,3,45,39,29,20,16,26,4,11,42,6,36,24,28,34,5,15,10,17,25,22,12,23,27,13,38,30,32,21,31,18,33,1,7,35,44,2,8,40,37,0,14,43,19,41,3,45,39,29,20,16,26,4,11,42,6,36,24,28,34,5,15,10,17,25,22,12,23,27,13,38,30,32,21,31,18,33,1,7,35,44,2,8,40,37
