0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,10,8,4,1,2,11,6,3,7,5,9,10,8,4,1,2,11,6,3,7,5
8,9,7,3,0,11,10,5,2,6,4,8,9,7,3,0,11,10,5,2,6,4
7,8,6,11,10,0,9,4,1,5,3,7,8,6,11,10,0,9,4,1,5,3
6,7,5,1,9,10,8,11,0,4,2,6,7,5,1,9,10,8,11,0,4,2
5,6,11,0,8,9,7,2,10,3,1,5,6,11,0,8,9,7,2,10,3,1
4,11,3,10,7,8,6,1,9,2,0,4,11,3,10,7,8,6,1,9,2,0
3,4,2,9,11,7,5,0,8,1,10,3,4,2,9,11,7,5,0,8,1,10
2,3,1,8,5,6,4,10,11,0,9,2,3,1,8,5,6,4,10,11,0,9
1,2,0,7,4,5,3,9,6,10,11,1,2,0,7,4,5,3,9,6,10,11
0,1,10,6,3,4,2,8,5,11,7,0,1,10,6,3,4,2,8,5,11,7
11,0,9,5,2,3,1,7,4,8,6,11,0,9,5,2,3,1,7,4,8,6
10,5,4,2,6,1,0,3,7,9,8,10,5,4,2,6,1,0,3,7,9,8
