0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
29,18,35,11,23,15,30,20,2,32,34,3,42,25,24,33,13,26,22,36,31,8,21,43,4,40,6,9,17,27,39,14,41,37,1,7,28,16,19,5,38,10,12,29,18,35,11,23,15,30,20,2,32,34,3,42,25,24,33,13,26,22,36,31,8,21,43,4,40,6,9,17,27,39,14,41,37,1,7,28,16,19,5,38,10,12
28,17,34,10,22,14,29,19,43,31,33,2,41,24,23,32,12,25,21,35,30,7,20,42,3,39,5,8,16,26,38,13,40,36,0,6,27,15,18,4,37,9,11,28,17,34,10,22,14,29,19,43,31,33,2,41,24,23,32,12,25,21,35,30,7,20,42,3,39,5,8,16,26,38,13,40,36,0,6,27,15,18,4,37,9,11
27,16,33,9,21,13,28,18,0,30,32,1,40,23,22,31,11,24,20,34,29,6,19,41,43,38,4,7,15,25,37,12,39,35,42,5,26,14,17,3,36,8,10,27,16,33,9,21,13,28,18,0,30,32,1,40,23,22,31,11,24,20,34,29,6,19,41,43,38,4,7,15,25,37,12,39,35,42,5,26,14,17,3,36,8,10
26,15,32,8,20,12,27,17,42,29,31,0,39,22,21,30,10,23,19,33,28,5,18,40,1,37,43,6,14,24,36,11,38,34,41,4,25,13,16,2,35,7,9,26,15,32,8,20,12,27,17,42,29,31,0,39,22,21,30,10,23,19,33,28,5,18,40,1,37,43,6,14,24,36,11,38,34,41,4,25,13,16,2,35,7,9
25,14,31,7,19,11,26,16,41,28,30,42,38,21,20,29,9,22,18,32,27,43,17,39,0,36,2,5,13,23,35,10,37,33,40,3,24,12,15,1,34,6,8,25,14,31,7,19,11,26,16,41,28,30,42,38,21,20,29,9,22,18,32,27,43,17,39,0,36,2,5,13,23,35,10,37,33,40,3,24,12,15,1,34,6,8
24,13,30,6,18,10,25,15,40,27,29,41,37,20,19,28,8,21,17,31,26,3,16,38,42,35,1,4,12,22,34,9,36,32,39,2,23,11,14,0,33,43,7,24,13,30,6,18,10,25,15,40,27,29,41,37,20,19,28,8,21,17,31,26,3,16,38,42,35,1,4,12,22,34,9,36,32,39,2,23,11,14,0,33,43,7
23,12,29,5,17,9,24,14,39,26,28,40,36,19,18,27,7,20,16,30,25,2,15,37,41,34,0,3,11,21,33,8,35,31,38,1,22,10,13,42,32,4,43,23,12,29,5,17,9,24,14,39,26,28,40,36,19,18,27,7,20,16,30,25,2,15,37,41,34,0,3,11,21,33,8,35,31,38,1,22,10,13,42,32,4,43
22,11,28,4,16,8,23,13,38,25,27,39,35,18,17,26,6,19,15,29,24,1,14,36,40,33,42,2,10,20,32,43,34,30,37,0,21,9,12,41,31,3,5,22,11,28,4,16,8,23,13,38,25,27,39,35,18,17,26,6,19,15,29,24,1,14,36,40,33,42,2,10,20,32,43,34,30,37,0,21,9,12,41,31,3,5
21,10,27,3,15,7,22,12,37,24,26,38,34,17,16,25,5,18,14,28,23,0,13,35,39,32,41,1,9,19,31,6,33,29,36,42,20,43,11,40,30,2,4,21,10,27,3,15,7,22,12,37,24,26,38,34,17,16,25,5,18,14,28,23,0,13,35,39,32,41,1,9,19,31,6,33,29,36,42,20,43,11,40,30,2,4
20,43,26,2,14,6,21,11,36,23,25,37,33,16,15,24,4,17,13,27,22,42,12,34,38,31,40,0,8,18,30,5,32,28,35,41,19,7,10,39,29,1,3,20,43,26,2,14,6,21,11,36,23,25,37,33,16,15,24,4,17,13,27,22,42,12,34,38,31,40,0,8,18,30,5,32,28,35,41,19,7,10,39,29,1,3
19,8,25,1,13,5,20,43,35,22,24,36,32,15,14,23,3,16,12,26,21,41,11,33,37,30,39,42,7,17,29,4,31,27,34,40,18,6,9,38,28,0,2,19,8,25,1,13,5,20,43,35,22,24,36,32,15,14,23,3,16,12,26,21,41,11,33,37,30,39,42,7,17,29,4,31,27,34,40,18,6,9,38,28,0,2
18,7,24,0,12,4,19,9,34,21,23,35,31,14,13,22,2,15,43,25,20,40,10,32,36,29,38,41,6,16,28,3,30,26,33,39,17,5,8,37,27,42,1,18,7,24,0,12,4,19,9,34,21,23,35,31,14,13,22,2,15,43,25,20,40,10,32,36,29,38,41,6,16,28,3,30,26,33,39,17,5,8,37,27,42,1
17,6,23,42,11,3,18,8,33,20,22,34,30,13,43,21,1,14,10,24,19,39,9,31,35,28,37,40,5,15,27,2,29,25,32,38,16,4,7,36,26,41,0,17,6,23,42,11,3,18,8,33,20,22,34,30,13,43,21,1,14,10,24,19,39,9,31,35,28,37,40,5,15,27,2,29,25,32,38,16,4,7,36,26,41,0
16,5,22,41,10,2,17,7,32,19,21,33,29,12,11,20,0,43,9,23,18,38,8,30,34,27,36,39,4,14,26,1,28,24,31,37,15,3,6,35,25,40,42,16,5,22,41,10,2,17,7,32,19,21,33,29,12,11,20,0,43,9,23,18,38,8,30,34,27,36,39,4,14,26,1,28,24,31,37,15,3,6,35,25,40,42
15,4,21,40,9,1,16,6,31,18,20,32,28,11,10,19,42,12,8,22,17,37,7,29,33,26,35,38,3,13,25,0,27,23,30,36,43,2,5,34,24,39,41,15,4,21,40,9,1,16,6,31,18,20,32,28,11,10,19,42,12,8,22,17,37,7,29,33,26,35,38,3,13,25,0,27,23,30,36,43,2,5,34,24,39,41
14,3,20,39,8,0,43,5,30,17,19,31,27,10,9,18,41,11,7,21,16,36,6,28,32,25,34,37,2,12,24,42,26,22,29,35,13,1,4,33,23,38,40,14,3,20,39,8,0,43,5,30,17,19,31,27,10,9,18,41,11,7,21,16,36,6,28,32,25,34,37,2,12,24,42,26,22,29,35,13,1,4,33,23,38,40
13,2,19,38,7,42,14,4,29,43,18,30,26,9,8,17,40,10,6,20,15,35,5,27,31,24,33,36,1,11,23,41,25,21,28,34,12,0,3,32,22,37,39,13,2,19,38,7,42,14,4,29,43,18,30,26,9,8,17,40,10,6,20,15,35,5,27,31,24,33,36,1,11,23,41,25,21,28,34,12,0,3,32,22,37,39
12,1,18,37,6,41,13,3,28,15,43,29,25,8,7,16,39,9,5,19,14,34,4,26,30,23,32,35,0,10,22,40,24,20,27,33,11,42,2,31,21,36,38,12,1,18,37,6,41,13,3,28,15,43,29,25,8,7,16,39,9,5,19,14,34,4,26,30,23,32,35,0,10,22,40,24,20,27,33,11,42,2,31,21,36,38
11,0,17,36,5,40,12,2,27,14,16,28,24,7,6,15,38,8,4,43,13,33,3,25,29,22,31,34,42,9,21,39,23,19,26,32,10,41,1,30,20,35,37,11,0,17,36,5,40,12,2,27,14,16,28,24,7,6,15,38,8,4,43,13,33,3,25,29,22,31,34,42,9,21,39,23,19,26,32,10,41,1,30,20,35,37
10,42,16,35,4,39,11,1,26,13,15,27,23,6,5,14,37,7,3,17,12,32,2,24,28,21,30,33,41,8,20,38,22,18,25,31,9,40,0,29,43,34,36,10,42,16,35,4,39,11,1,26,13,15,27,23,6,5,14,37,7,3,17,12,32,2,24,28,21,30,33,41,8,20,38,22,18,25,31,9,40,0,29,43,34,36
9,41,15,34,3,38,10,0,25,12,14,26,22,5,4,13,36,6,2,16,11,31,1,23,27,43,29,32,40,7,19,37,21,17,24,30,8,39,42,28,18,33,35,9,41,15,34,3,38,10,0,25,12,14,26,22,5,4,13,36,6,2,16,11,31,1,23,27,43,29,32,40,7,19,37,21,17,24,30,8,39,42,28,18,33,35
8,40,14,33,2,37,9,42,24,11,13,25,43,4,3,12,35,5,1,15,10,30,0,22,26,19,28,31,39,6,18,36,20,16,23,29,7,38,41,27,17,32,34,8,40,14,33,2,37,9,42,24,11,13,25,43,4,3,12,35,5,1,15,10,30,0,22,26,19,28,31,39,6,18,36,20,16,23,29,7,38,41,27,17,32,34
7,39,13,32,1,36,8,41,23,10,12,24,20,3,2,11,34,4,0,14,9,29,42,21,25,18,27,30,38,5,17,35,19,15,43,28,6,37,40,26,16,31,33,7,39,13,32,1,36,8,41,23,10,12,24,20,3,2,11,34,4,0,14,9,29,42,21,25,18,27,30,38,5,17,35,19,15,43,28,6,37,40,26,16,31,33
6,38,12,31,0,35,7,40,22,9,11,43,19,2,1,10,33,3,42,13,8,28,41,20,24,17,26,29,37,4,16,34,18,14,21,27,5,36,39,25,15,30,32,6,38,12,31,0,35,7,40,22,9,11,43,19,2,1,10,33,3,42,13,8,28,41,20,24,17,26,29,37,4,16,34,18,14,21,27,5,36,39,25,15,30,32
5,37,11,30,42,34,6,39,21,8,10,22,18,1,0,9,32,2,41,12,7,27,40,19,23,16,25,28,36,3,15,33,17,13,20,26,4,35,38,43,14,29,31,5,37,11,30,42,34,6,39,21,8,10,22,18,1,0,9,32,2,41,12,7,27,40,19,23,16,25,28,36,3,15,33,17,13,20,26,4,35,38,43,14,29,31
4,36,10,29,41,33,5,38,20,7,9,21,17,0,42,8,31,1,40,11,6,26,39,18,22,15,24,27,35,2,14,32,16,12,19,43,3,34,37,23,13,28,30,4,36,10,29,41,33,5,38,20,7,9,21,17,0,42,8,31,1,40,11,6,26,39,18,22,15,24,27,35,2,14,32,16,12,19,43,3,34,37,23,13,28,30
3,35,9,28,40,32,4,37,19,6,8,20,16,42,41,7,30,0,39,10,5,25,38,17,21,14,23,43,34,1,13,31,15,11,18,24,2,33,36,22,12,27,29,3,35,9,28,40,32,4,37,19,6,8,20,16,42,41,7,30,0,39,10,5,25,38,17,21,14,23,43,34,1,13,31,15,11,18,24,2,33,36,22,12,27,29
2,34,8,43,39,31,3,36,18,5,7,19,15,41,40,6,29,42,38,9,4,24,37,16,20,13,22,25,33,0,12,30,14,10,17,23,1,32,35,21,11,26,28,2,34,8,43,39,31,3,36,18,5,7,19,15,41,40,6,29,42,38,9,4,24,37,16,20,13,22,25,33,0,12,30,14,10,17,23,1,32,35,21,11,26,28
1,33,7,26,38,30,2,35,17,4,6,18,14,40,39,5,43,41,37,8,3,23,36,15,19,12,21,24,32,42,11,29,13,9,16,22,0,31,34,20,10,25,27,1,33,7,26,38,30,2,35,17,4,6,18,14,40,39,5,43,41,37,8,3,23,36,15,19,12,21,24,32,42,11,29,13,9,16,22,0,31,34,20,10,25,27
0,32,6,25,37,43,1,34,16,3,5,17,13,39,38,4,27,40,36,7,2,22,35,14,18,11,20,23,31,41,10,28,12,8,15,21,42,30,33,19,9,24,26,0,32,6,25,37,43,1,34,16,3,5,17,13,39,38,4,27,40,36,7,2,22,35,14,18,11,20,23,31,41,10,28,12,8,15,21,42,30,33,19,9,24,26
42,31,5,24,36,28,0,33,15,2,4,16,12,38,37,3,26,39,35,6,1,21,34,13,17,10,19,22,43,40,9,27,11,7,14,20,41,29,32,18,8,23,25,42,31,5,24,36,28,0,33,15,2,4,16,12,38,37,3,26,39,35,6,1,21,34,13,17,10,19,22,43,40,9,27,11,7,14,20,41,29,32,18,8,23,25
41,30,4,23,35,27,42,32,14,1,3,15,11,37,36,2,25,38,34,5,0,20,33,12,16,9,18,21,29,39,8,26,10,6,13,19,40,28,43,17,7,22,24,41,30,4,23,35,27,42,32,14,1,3,15,11,37,36,2,25,38,34,5,0,20,33,12,16,9,18,21,29,39,8,26,10,6,13,19,40,28,43,17,7,22,24
40,29,3,22,34,26,41,31,13,0,2,14,10,36,35,1,24,37,33,4,42,19,43,11,15,8,17,20,28,38,7,25,9,5,12,18,39,27,30,16,6,21,23,40,29,3,22,34,26,41,31,13,0,2,14,10,36,35,1,24,37,33,4,42,19,43,11,15,8,17,20,28,38,7,25,9,5,12,18,39,27,30,16,6,21,23
39,28,2,21,43,25,40,30,12,42,1,13,9,35,34,0,23,36,32,3,41,18,31,10,14,7,16,19,27,37,6,24,8,4,11,17,38,26,29,15,5,20,22,39,28,2,21,43,25,40,30,12,42,1,13,9,35,34,0,23,36,32,3,41,18,31,10,14,7,16,19,27,37,6,24,8,4,11,17,38,26,29,15,5,20,22
38,27,1,20,32,24,39,29,11,41,0,12,8,43,33,42,22,35,31,2,40,17,30,9,13,6,15,18,26,36,5,23,7,3,10,16,37,25,28,14,4,19,21,38,27,1,20,32,24,39,29,11,41,0,12,8,43,33,42,22,35,31,2,40,17,30,9,13,6,15,18,26,36,5,23,7,3,10,16,37,25,28,14,4,19,21
37,26,0,19,31,23,38,28,10,40,42,11,7,33,32,41,21,34,30,1,39,16,29,8,12,5,14,17,25,43,4,22,6,2,9,15,36,24,27,13,3,18,20,37,26,0,19,31,23,38,28,10,40,42,11,7,33,32,41,21,34,30,1,39,16,29,8,12,5,14,17,25,43,4,22,6,2,9,15,36,24,27,13,3,18,20
43,25,42,18,30,22,37,27,9,39,41,10,6,32,31,40,20,33,29,0,38,15,28,7,11,4,13,16,24,34,3,21,5,1,8,14,35,23,26,12,2,17,19,43,25,42,18,30,22,37,27,9,39,41,10,6,32,31,40,20,33,29,0,38,15,28,7,11,4,13,16,24,34,3,21,5,1,8,14,35,23,26,12,2,17,19
35,24,41,17,29,21,36,26,8,38,40,9,5,31,30,39,19,32,28,42,43,14,27,6,10,3,12,15,23,33,2,20,4,0,7,13,34,22,25,11,1,16,18,35,24,41,17,29,21,36,26,8,38,40,9,5,31,30,39,19,32,28,42,43,14,27,6,10,3,12,15,23,33,2,20,4,0,7,13,34,22,25,11,1,16,18
34,23,40,16,28,20,35,25,7,37,39,8,4,30,29,43,18,31,27,41,36,13,26,5,9,2,11,14,22,32,1,19,3,42,6,12,33,21,24,10,0,15,17,34,23,40,16,28,20,35,25,7,37,39,8,4,30,29,43,18,31,27,41,36,13,26,5,9,2,11,14,22,32,1,19,3,42,6,12,33,21,24,10,0,15,17
33,22,43,15,27,19,34,24,6,36,38,7,3,29,28,37,17,30,26,40,35,12,25,4,8,1,10,13,21,31,0,18,2,41,5,11,32,20,23,9,42,14,16,33,22,43,15,27,19,34,24,6,36,38,7,3,29,28,37,17,30,26,40,35,12,25,4,8,1,10,13,21,31,0,18,2,41,5,11,32,20,23,9,42,14,16
32,21,38,14,26,18,33,23,5,35,37,6,2,28,27,36,16,29,25,39,34,11,24,3,7,0,9,12,20,30,42,17,1,43,4,10,31,19,22,8,41,13,15,32,21,38,14,26,18,33,23,5,35,37,6,2,28,27,36,16,29,25,39,34,11,24,3,7,0,9,12,20,30,42,17,1,43,4,10,31,19,22,8,41,13,15
