0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7,14,10,11,4,19,9,13,3,21,6,18,16,12,5,2,8,15,17,22,24,20,1,25,23,7,14,10,11,4,19,9,13,3,21,6,18,16,12,5,2,8,15,17,22,24,20,1,25,23
6,13,9,10,3,18,8,12,2,20,5,17,15,11,4,25,7,14,16,21,23,19,0,24,22,6,13,9,10,3,18,8,12,2,20,5,17,15,11,4,25,7,14,16,21,23,19,0,24,22
5,12,8,9,25,17,7,11,1,19,4,16,14,10,3,0,6,13,15,20,22,18,24,23,21,5,12,8,9,25,17,7,11,1,19,4,16,14,10,3,0,6,13,15,20,22,18,24,23,21
4,11,7,8,1,16,6,10,0,18,25,15,13,9,2,24,5,12,14,19,21,17,23,22,20,4,11,7,8,1,16,6,10,0,18,25,15,13,9,2,24,5,12,14,19,21,17,23,22,20
3,10,6,7,0,15,5,9,24,17,2,14,12,8,1,23,25,11,13,18,20,16,22,21,19,3,10,6,7,0,15,5,9,24,17,2,14,12,8,1,23,25,11,13,18,20,16,22,21,19
2,9,25,6,24,14,4,8,23,16,1,13,11,7,0,22,3,10,12,17,19,15,21,20,18,2,9,25,6,24,14,4,8,23,16,1,13,11,7,0,22,3,10,12,17,19,15,21,20,18
1,8,4,5,23,13,3,7,22,15,0,12,10,25,24,21,2,9,11,16,18,14,20,19,17,1,8,4,5,23,13,3,7,22,15,0,12,10,25,24,21,2,9,11,16,18,14,20,19,17
0,25,3,4,22,12,2,6,21,14,24,11,9,5,23,20,1,8,10,15,17,13,19,18,16,0,25,3,4,22,12,2,6,21,14,24,11,9,5,23,20,1,8,10,15,17,13,19,18,16
24,6,2,3,21,11,1,5,20,13,23,10,25,4,22,19,0,7,9,14,16,12,18,17,15,24,6,2,3,21,11,1,5,20,13,23,10,25,4,22,19,0,7,9,14,16,12,18,17,15
23,5,1,2,20,10,0,4,19,12,22,25,7,3,21,18,24,6,8,13,15,11,17,16,14,23,5,1,2,20,10,0,4,19,12,22,25,7,3,21,18,24,6,8,13,15,11,17,16,14
22,4,0,1,19,9,24,3,18,11,21,8,6,2,20,17,23,5,7,12,14,25,16,15,13,22,4,0,1,19,9,24,3,18,11,21,8,6,2,20,17,23,5,7,12,14,25,16,15,13
21,3,24,0,18,8,23,2,17,10,20,7,5,1,19,16,22,4,6,25,13,9,15,14,12,21,3,24,0,18,8,23,2,17,10,20,7,5,1,19,16,22,4,6,25,13,9,15,14,12
20,2,23,24,17,7,22,1,16,9,19,6,4,0,18,15,21,3,5,10,25,8,14,13,11,20,2,23,24,17,7,22,1,16,9,19,6,4,0,18,15,21,3,5,10,25,8,14,13,11
19,1,22,23,16,6,21,0,15,8,18,5,3,24,17,14,20,2,4,9,11,7,25,12,10,19,1,22,23,16,6,21,0,15,8,18,5,3,24,17,14,20,2,4,9,11,7,25,12,10
18,0,21,22,15,5,20,24,25,7,17,4,2,23,16,13,19,1,3,8,10,6,12,11,9,18,0,21,22,15,5,20,24,25,7,17,4,2,23,16,13,19,1,3,8,10,6,12,11,9
17,24,20,21,14,4,19,23,13,6,16,3,1,22,25,12,18,0,2,7,9,5,11,10,8,17,24,20,21,14,4,19,23,13,6,16,3,1,22,25,12,18,0,2,7,9,5,11,10,8
25,23,19,20,13,3,18,22,12,5,15,2,0,21,14,11,17,24,1,6,8,4,10,9,7,25,23,19,20,13,3,18,22,12,5,15,2,0,21,14,11,17,24,1,6,8,4,10,9,7
15,22,18,19,12,2,25,21,11,4,14,1,24,20,13,10,16,23,0,5,7,3,9,8,6,15,22,18,19,12,2,25,21,11,4,14,1,24,20,13,10,16,23,0,5,7,3,9,8,6
14,21,17,25,11,1,16,20,10,3,13,0,23,19,12,9,15,22,24,4,6,2,8,7,5,14,21,17,25,11,1,16,20,10,3,13,0,23,19,12,9,15,22,24,4,6,2,8,7,5
13,20,16,17,10,0,15,25,9,2,12,24,22,18,11,8,14,21,23,3,5,1,7,6,4,13,20,16,17,10,0,15,25,9,2,12,24,22,18,11,8,14,21,23,3,5,1,7,6,4
12,19,15,16,9,24,14,18,8,1,11,23,21,17,10,7,13,25,22,2,4,0,6,5,3,12,19,15,16,9,24,14,18,8,1,11,23,21,17,10,7,13,25,22,2,4,0,6,5,3
11,18,14,15,8,23,13,17,7,0,10,22,20,16,9,6,12,19,25,1,3,24,5,4,2,11,18,14,15,8,23,13,17,7,0,10,22,20,16,9,6,12,19,25,1,3,24,5,4,2
10,17,13,14,7,25,12,16,6,24,9,21,19,15,8,5,11,18,20,0,2,23,4,3,1,10,17,13,14,7,25,12,16,6,24,9,21,19,15,8,5,11,18,20,0,2,23,4,3,1
9,16,12,13,6,21,11,15,5,25,8,20,18,14,7,4,10,17,19,24,1,22,3,2,0,9,16,12,13,6,21,11,15,5,25,8,20,18,14,7,4,10,17,19,24,1,22,3,2,0
8,15,11,12,5,20,10,14,4,22,7,19,17,13,6,3,9,16,18,23,0,21,2,1,25,8,15,11,12,5,20,10,14,4,22,7,19,17,13,6,3,9,16,18,23,0,21,2,1,25
16,7,5,18,2,22,17,19,14,23,3,9,8,6,15,1,4,20,21,11,12,10,13,0,24,16,7,5,18,2,22,17,19,14,23,3,9,8,6,15,1,4,20,21,11,12,10,13,0,24
