0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
19,29,16,15,2,27,28,17,12,8,9,3,24,25,11,22,1,10,7,18,20,26,4,6,13,5,14,23,21,19,29,16,15,2,27,28,17,12,8,9,3,24,25,11,22,1,10,7,18,20,26,4,6,13,5,14,23,21
18,28,15,14,29,26,27,16,11,7,8,2,23,24,10,21,0,9,6,17,19,25,3,5,12,4,13,22,20,18,28,15,14,29,26,27,16,11,7,8,2,23,24,10,21,0,9,6,17,19,25,3,5,12,4,13,22,20
17,27,14,13,0,25,26,15,10,6,7,1,22,23,9,20,28,8,5,16,18,24,29,4,11,3,12,21,19,17,27,14,13,0,25,26,15,10,6,7,1,22,23,9,20,28,8,5,16,18,24,29,4,11,3,12,21,19
16,26,13,12,28,24,25,14,9,5,6,0,21,22,8,19,27,7,4,15,17,23,1,29,10,2,11,20,18,16,26,13,12,28,24,25,14,9,5,6,0,21,22,8,19,27,7,4,15,17,23,1,29,10,2,11,20,18
15,25,12,11,27,23,24,13,8,29,5,28,20,21,7,18,26,6,3,14,16,22,0,2,9,1,10,19,17,15,25,12,11,27,23,24,13,8,29,5,28,20,21,7,18,26,6,3,14,16,22,0,2,9,1,10,19,17
14,24,11,10,26,22,23,12,7,3,4,27,19,20,6,17,25,29,2,13,15,21,28,1,8,0,9,18,16,14,24,11,10,26,22,23,12,7,3,4,27,19,20,6,17,25,29,2,13,15,21,28,1,8,0,9,18,16
13,23,10,9,25,21,22,11,29,2,3,26,18,19,5,16,24,4,1,12,14,20,27,0,7,28,8,17,15,13,23,10,9,25,21,22,11,29,2,3,26,18,19,5,16,24,4,1,12,14,20,27,0,7,28,8,17,15
12,22,9,8,24,20,21,10,5,1,2,25,17,18,4,15,23,3,0,11,13,19,26,28,6,27,29,16,14,12,22,9,8,24,20,21,10,5,1,2,25,17,18,4,15,23,3,0,11,13,19,26,28,6,27,29,16,14
11,21,29,7,23,19,20,9,4,0,1,24,16,17,3,14,22,2,28,10,12,18,25,27,5,26,6,15,13,11,21,29,7,23,19,20,9,4,0,1,24,16,17,3,14,22,2,28,10,12,18,25,27,5,26,6,15,13
10,20,7,6,22,18,19,8,3,28,0,23,15,16,2,13,21,1,27,29,11,17,24,26,4,25,5,14,12,10,20,7,6,22,18,19,8,3,28,0,23,15,16,2,13,21,1,27,29,11,17,24,26,4,25,5,14,12
9,19,6,5,21,17,18,7,2,27,28,22,14,15,1,12,20,0,26,8,29,16,23,25,3,24,4,13,11,9,19,6,5,21,17,18,7,2,27,28,22,14,15,1,12,20,0,26,8,29,16,23,25,3,24,4,13,11
8,18,5,4,20,16,17,6,1,26,27,21,13,14,0,29,19,28,25,7,9,15,22,24,2,23,3,12,10,8,18,5,4,20,16,17,6,1,26,27,21,13,14,0,29,19,28,25,7,9,15,22,24,2,23,3,12,10
7,17,4,3,19,15,16,5,0,25,26,20,29,13,28,10,18,27,24,6,8,14,21,23,1,22,2,11,9,7,17,4,3,19,15,16,5,0,25,26,20,29,13,28,10,18,27,24,6,8,14,21,23,1,22,2,11,9
6,16,3,2,18,14,15,4,28,24,25,19,11,12,27,9,17,26,23,5,7,29,20,22,0,21,1,10,8,6,16,3,2,18,14,15,4,28,24,25,19,11,12,27,9,17,26,23,5,7,29,20,22,0,21,1,10,8
5,15,2,1,17,13,29,3,27,23,24,18,10,11,26,8,16,25,22,4,6,12,19,21,28,20,0,9,7,5,15,2,1,17,13,29,3,27,23,24,18,10,11,26,8,16,25,22,4,6,12,19,21,28,20,0,9,7
4,14,1,0,16,12,13,2,26,22,23,17,9,10,25,7,29,24,21,3,5,11,18,20,27,19,28,8,6,4,14,1,0,16,12,13,2,26,22,23,17,9,10,25,7,29,24,21,3,5,11,18,20,27,19,28,8,6
