0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,1,3,8,5,10,7,4,11,2,6,9,1,3,8,5,10,7,4,11,2,6
8,0,2,7,4,9,6,3,10,11,5,8,0,2,7,4,9,6,3,10,11,5
7,10,1,6,3,8,5,11,9,0,4,7,10,1,6,3,8,5,11,9,0,4
6,9,0,5,2,7,4,1,8,10,11,6,9,0,5,2,7,4,1,8,10,11
5,8,10,11,1,6,3,0,7,9,2,5,8,10,11,1,6,3,0,7,9,2
4,7,9,3,0,11,2,10,6,8,1,4,7,9,3,0,11,2,10,6,8,1
3,11,8,2,10,4,1,9,5,7,0,3,11,8,2,10,4,1,9,5,7,0
2,5,11,1,9,3,0,8,4,6,10,2,5,11,1,9,3,0,8,4,6,10
1,4,6,0,11,2,10,7,3,5,9,1,4,6,0,11,2,10,7,3,5,9
0,3,5,10,7,1,11,6,2,4,8,0,3,5,10,7,1,11,6,2,4,8
11,2,4,9,6,0,8,5,1,3,7,11,2,4,9,6,0,8,5,1,3,7
10,6,7,4,8,5,9,2,0,1,3,10,6,7,4,8,5,9,2,0,1,3
