0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
7,29,2,21,24,33,14,16,1,18,26,19,28,30,4,12,20,17,11,6,5,3,13,8,25,23,22,9,27,32,15,31,10,7,29,2,21,24,33,14,16,1,18,26,19,28,30,4,12,20,17,11,6,5,3,13,8,25,23,22,9,27,32,15,31,10
6,28,33,20,23,32,13,15,0,17,25,18,27,29,3,11,19,16,10,5,4,2,12,7,24,22,21,8,26,31,14,30,9,6,28,33,20,23,32,13,15,0,17,25,18,27,29,3,11,19,16,10,5,4,2,12,7,24,22,21,8,26,31,14,30,9
5,27,0,19,22,31,12,14,32,16,24,17,26,28,33,10,18,15,9,4,3,1,11,6,23,21,20,7,25,30,13,29,8,5,27,0,19,22,31,12,14,32,16,24,17,26,28,33,10,18,15,9,4,3,1,11,6,23,21,20,7,25,30,13,29,8
4,26,32,18,21,30,11,13,31,15,23,16,25,27,1,9,17,14,8,33,2,0,10,5,22,20,19,6,24,29,12,28,7,4,26,32,18,21,30,11,13,31,15,23,16,25,27,1,9,17,14,8,33,2,0,10,5,22,20,19,6,24,29,12,28,7
3,25,31,17,20,29,10,12,30,14,22,15,24,26,0,8,16,13,7,2,1,32,9,33,21,19,18,5,23,28,11,27,6,3,25,31,17,20,29,10,12,30,14,22,15,24,26,0,8,16,13,7,2,1,32,9,33,21,19,18,5,23,28,11,27,6
2,24,30,16,19,28,9,11,29,13,21,14,23,25,32,7,15,12,6,1,0,31,8,3,20,18,17,4,22,27,10,26,33,2,24,30,16,19,28,9,11,29,13,21,14,23,25,32,7,15,12,6,1,0,31,8,3,20,18,17,4,22,27,10,26,33
1,23,29,15,18,27,8,10,28,12,20,13,22,24,31,33,14,11,5,0,32,30,7,2,19,17,16,3,21,26,9,25,4,1,23,29,15,18,27,8,10,28,12,20,13,22,24,31,33,14,11,5,0,32,30,7,2,19,17,16,3,21,26,9,25,4
0,22,28,14,17,26,33,9,27,11,19,12,21,23,30,5,13,10,4,32,31,29,6,1,18,16,15,2,20,25,8,24,3,0,22,28,14,17,26,33,9,27,11,19,12,21,23,30,5,13,10,4,32,31,29,6,1,18,16,15,2,20,25,8,24,3
32,21,27,13,16,25,6,33,26,10,18,11,20,22,29,4,12,9,3,31,30,28,5,0,17,15,14,1,19,24,7,23,2,32,21,27,13,16,25,6,33,26,10,18,11,20,22,29,4,12,9,3,31,30,28,5,0,17,15,14,1,19,24,7,23,2
31,20,26,12,15,24,5,7,25,33,17,10,19,21,28,3,11,8,2,30,29,27,4,32,16,14,13,0,18,23,6,22,1,31,20,26,12,15,24,5,7,25,33,17,10,19,21,28,3,11,8,2,30,29,27,4,32,16,14,13,0,18,23,6,22,1
30,19,25,11,14,23,4,6,24,8,16,9,18,20,27,2,33,7,1,29,28,26,3,31,15,13,12,32,17,22,5,21,0,30,19,25,11,14,23,4,6,24,8,16,9,18,20,27,2,33,7,1,29,28,26,3,31,15,13,12,32,17,22,5,21,0
29,18,24,10,13,22,3,5,23,7,15,8,17,19,26,1,9,6,0,28,27,25,2,30,14,12,33,31,16,21,4,20,32,29,18,24,10,13,22,3,5,23,7,15,8,17,19,26,1,9,6,0,28,27,25,2,30,14,12,33,31,16,21,4,20,32
28,17,23,9,33,21,2,4,22,6,14,7,16,18,25,0,8,5,32,27,26,24,1,29,13,11,10,30,15,20,3,19,31,28,17,23,9,33,21,2,4,22,6,14,7,16,18,25,0,8,5,32,27,26,24,1,29,13,11,10,30,15,20,3,19,31
27,16,22,8,11,20,1,3,21,5,33,6,15,17,24,32,7,4,31,26,25,23,0,28,12,10,9,29,14,19,2,18,30,27,16,22,8,11,20,1,3,21,5,33,6,15,17,24,32,7,4,31,26,25,23,0,28,12,10,9,29,14,19,2,18,30
26,15,21,7,10,19,0,2,20,4,12,5,33,16,23,31,6,3,30,25,24,22,32,27,11,9,8,28,13,18,1,17,29,26,15,21,7,10,19,0,2,20,4,12,5,33,16,23,31,6,3,30,25,24,22,32,27,11,9,8,28,13,18,1,17,29
25,14,20,6,9,18,32,1,19,3,11,4,13,33,22,30,5,2,29,24,23,21,31,26,10,8,7,27,12,17,0,16,28,25,14,20,6,9,18,32,1,19,3,11,4,13,33,22,30,5,2,29,24,23,21,31,26,10,8,7,27,12,17,0,16,28
24,13,19,5,8,17,31,0,18,2,10,3,12,14,21,29,4,1,28,23,22,20,30,25,9,7,6,26,11,33,32,15,27,24,13,19,5,8,17,31,0,18,2,10,3,12,14,21,29,4,1,28,23,22,20,30,25,9,7,6,26,11,33,32,15,27
23,12,18,4,7,16,30,32,33,1,9,2,11,13,20,28,3,0,27,22,21,19,29,24,8,6,5,25,10,15,31,14,26,23,12,18,4,7,16,30,32,33,1,9,2,11,13,20,28,3,0,27,22,21,19,29,24,8,6,5,25,10,15,31,14,26
22,11,17,3,6,15,29,31,16,0,8,1,10,12,19,27,2,32,26,21,20,33,28,23,7,5,4,24,9,14,30,13,25,22,11,17,3,6,15,29,31,16,0,8,1,10,12,19,27,2,32,26,21,20,33,28,23,7,5,4,24,9,14,30,13,25
21,10,16,2,5,14,28,30,15,32,7,0,9,11,18,26,1,31,25,20,33,17,27,22,6,4,3,23,8,13,29,12,24,21,10,16,2,5,14,28,30,15,32,7,0,9,11,18,26,1,31,25,20,33,17,27,22,6,4,3,23,8,13,29,12,24
33,9,15,1,4,13,27,29,14,31,6,32,8,10,17,25,0,30,24,19,18,16,26,21,5,3,2,22,7,12,28,11,23,33,9,15,1,4,13,27,29,14,31,6,32,8,10,17,25,0,30,24,19,18,16,26,21,5,3,2,22,7,12,28,11,23
19,8,14,0,3,12,26,28,13,30,5,31,7,9,16,24,32,29,23,18,17,15,25,20,4,2,1,33,6,11,27,10,22,19,8,14,0,3,12,26,28,13,30,5,31,7,9,16,24,32,29,23,18,17,15,25,20,4,2,1,33,6,11,27,10,22
18,7,13,32,2,11,25,27,12,29,4,30,6,8,15,23,31,28,33,17,16,14,24,19,3,1,0,20,5,10,26,9,21,18,7,13,32,2,11,25,27,12,29,4,30,6,8,15,23,31,28,33,17,16,14,24,19,3,1,0,20,5,10,26,9,21
17,6,12,31,1,10,24,26,11,28,3,29,5,7,14,22,30,27,21,16,15,13,33,18,2,0,32,19,4,9,25,8,20,17,6,12,31,1,10,24,26,11,28,3,29,5,7,14,22,30,27,21,16,15,13,33,18,2,0,32,19,4,9,25,8,20
16,5,11,30,0,9,23,25,10,27,2,28,4,6,13,21,29,26,20,15,14,12,22,17,1,32,31,18,3,8,33,7,19,16,5,11,30,0,9,23,25,10,27,2,28,4,6,13,21,29,26,20,15,14,12,22,17,1,32,31,18,3,8,33,7,19
