0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
21,23,13,24,26,25,28,9,18,17,12,20,2,29,4,14,22,16,1,15,27,19,11,8,7,31,30,3,6,5,10,21,23,13,24,26,25,28,9,18,17,12,20,2,29,4,14,22,16,1,15,27,19,11,8,7,31,30,3,6,5,10
20,22,12,23,25,24,27,8,17,16,11,19,31,28,3,13,21,15,0,14,26,18,10,7,6,30,29,2,5,4,9,20,22,12,23,25,24,27,8,17,16,11,19,31,28,3,13,21,15,0,14,26,18,10,7,6,30,29,2,5,4,9
19,21,11,22,24,23,26,7,16,15,10,18,0,27,31,12,20,14,30,13,25,17,9,6,5,29,28,1,4,3,8,19,21,11,22,24,23,26,7,16,15,10,18,0,27,31,12,20,14,30,13,25,17,9,6,5,29,28,1,4,3,8
18,20,10,21,23,22,25,6,15,14,9,17,30,26,1,11,19,13,29,12,24,16,8,5,4,28,27,0,31,2,7,18,20,10,21,23,22,25,6,15,14,9,17,30,26,1,11,19,13,29,12,24,16,8,5,4,28,27,0,31,2,7
17,19,9,20,22,21,24,5,14,13,8,16,29,25,0,10,18,12,28,11,23,15,7,31,3,27,26,30,2,1,6,17,19,9,20,22,21,24,5,14,13,8,16,29,25,0,10,18,12,28,11,23,15,7,31,3,27,26,30,2,1,6
16,18,8,19,21,20,23,4,13,12,7,15,28,24,30,9,17,11,27,10,22,14,6,3,2,26,25,29,1,0,31,16,18,8,19,21,20,23,4,13,12,7,15,28,24,30,9,17,11,27,10,22,14,6,3,2,26,25,29,1,0,31
15,17,7,18,20,19,22,3,12,11,31,14,27,23,29,8,16,10,26,9,21,13,5,2,1,25,24,28,0,30,4,15,17,7,18,20,19,22,3,12,11,31,14,27,23,29,8,16,10,26,9,21,13,5,2,1,25,24,28,0,30,4
14,16,6,17,19,18,21,2,11,10,5,13,26,22,28,31,15,9,25,8,20,12,4,1,0,24,23,27,30,29,3,14,16,6,17,19,18,21,2,11,10,5,13,26,22,28,31,15,9,25,8,20,12,4,1,0,24,23,27,30,29,3
13,15,5,16,18,17,20,1,10,9,4,12,25,21,27,6,14,31,24,7,19,11,3,0,30,23,22,26,29,28,2,13,15,5,16,18,17,20,1,10,9,4,12,25,21,27,6,14,31,24,7,19,11,3,0,30,23,22,26,29,28,2
12,14,4,15,17,16,19,0,31,8,3,11,24,20,26,5,13,7,23,6,18,10,2,30,29,22,21,25,28,27,1,12,14,4,15,17,16,19,0,31,8,3,11,24,20,26,5,13,7,23,6,18,10,2,30,29,22,21,25,28,27,1
11,13,3,14,16,15,18,30,8,7,2,31,23,19,25,4,12,6,22,5,17,9,1,29,28,21,20,24,27,26,0,11,13,3,14,16,15,18,30,8,7,2,31,23,19,25,4,12,6,22,5,17,9,1,29,28,21,20,24,27,26,0
10,12,2,13,15,14,17,29,7,6,1,9,22,18,24,3,31,5,21,4,16,8,0,28,27,20,19,23,26,25,30,10,12,2,13,15,14,17,29,7,6,1,9,22,18,24,3,31,5,21,4,16,8,0,28,27,20,19,23,26,25,30
