0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
13,6,10,18,8,22,5,20,17,7,21,1,9,15,14,12,4,23,11,19,2,16,3,13,6,10,18,8,22,5,20,17,7,21,1,9,15,14,12,4,23,11,19,2,16,3
12,5,9,17,7,21,4,19,16,6,20,0,8,14,13,11,3,22,10,18,23,15,2,12,5,9,17,7,21,4,19,16,6,20,0,8,14,13,11,3,22,10,18,23,15,2
11,4,8,16,6,20,3,18,15,5,19,22,7,13,12,10,23,21,9,17,0,14,1,11,4,8,16,6,20,3,18,15,5,19,22,7,13,12,10,23,21,9,17,0,14,1
10,23,7,15,5,19,2,17,14,4,18,21,6,12,11,9,1,20,8,16,22,13,0,10,23,7,15,5,19,2,17,14,4,18,21,6,12,11,9,1,20,8,16,22,13,0
9,2,6,14,23,18,1,16,13,3,17,20,5,11,10,8,0,19,7,15,21,12,22,9,2,6,14,23,18,1,16,13,3,17,20,5,11,10,8,0,19,7,15,21,12,22
8,1,23,13,3,17,0,15,12,2,16,19,4,10,9,7,22,18,6,14,20,11,21,8,1,23,13,3,17,0,15,12,2,16,19,4,10,9,7,22,18,6,14,20,11,21
7,0,4,12,2,16,22,14,11,1,15,18,3,9,8,23,21,17,5,13,19,10,20,7,0,4,12,2,16,22,14,11,1,15,18,3,9,8,23,21,17,5,13,19,10,20
6,22,3,11,1,15,21,13,10,0,14,17,2,8,23,5,20,16,4,12,18,9,19,6,22,3,11,1,15,21,13,10,0,14,17,2,8,23,5,20,16,4,12,18,9,19
5,21,2,10,0,14,20,12,9,22,13,16,1,7,6,4,19,15,3,11,17,23,18,5,21,2,10,0,14,20,12,9,22,13,16,1,7,6,4,19,15,3,11,17,23,18
4,20,1,23,22,13,19,11,8,21,12,15,0,6,5,3,18,14,2,10,16,7,17,4,20,1,23,22,13,19,11,8,21,12,15,0,6,5,3,18,14,2,10,16,7,17
3,19,0,8,21,12,18,23,7,20,11,14,22,5,4,2,17,13,1,9,15,6,16,3,19,0,8,21,12,18,23,7,20,11,14,22,5,4,2,17,13,1,9,15,6,16
2,18,22,7,20,23,17,9,6,19,10,13,21,4,3,1,16,12,0,8,14,5,15,2,18,22,7,20,23,17,9,6,19,10,13,21,4,3,1,16,12,0,8,14,5,15
1,17,21,6,19,10,16,8,5,18,9,23,20,3,2,0,15,11,22,7,13,4,14,1,17,21,6,19,10,16,8,5,18,9,23,20,3,2,0,15,11,22,7,13,4,14
0,16,20,5,18,9,15,7,4,17,8,11,19,2,1,22,14,10,21,6,12,3,23,0,16,20,5,18,9,15,7,4,17,8,11,19,2,1,22,14,10,21,6,12,3,23
22,15,19,4,17,8,23,6,3,16,7,10,18,1,0,21,13,9,20,5,11,2,12,22,15,19,4,17,8,23,6,3,16,7,10,18,1,0,21,13,9,20,5,11,2,12
21,14,18,3,16,7,13,5,2,23,6,9,17,0,22,20,12,8,19,4,10,1,11,21,14,18,3,16,7,13,5,2,23,6,9,17,0,22,20,12,8,19,4,10,1,11
20,13,17,2,15,6,12,4,1,14,5,8,23,22,21,19,11,7,18,3,9,0,10,20,13,17,2,15,6,12,4,1,14,5,8,23,22,21,19,11,7,18,3,9,0,10
19,12,16,1,14,5,11,3,0,13,4,7,15,21,20,18,10,6,23,2,8,22,9,19,12,16,1,14,5,11,3,0,13,4,7,15,21,20,18,10,6,23,2,8,22,9
23,11,15,0,13,4,10,2,22,12,3,6,14,20,19,17,9,5,16,1,7,21,8,23,11,15,0,13,4,10,2,22,12,3,6,14,20,19,17,9,5,16,1,7,21,8
17,10,14,22,12,3,9,1,21,11,2,5,13,23,18,16,8,4,15,0,6,20,7,17,10,14,22,12,3,9,1,21,11,2,5,13,23,18,16,8,4,15,0,6,20,7
16,9,13,21,11,2,8,0,23,10,1,4,12,18,17,15,7,3,14,22,5,19,6,16,9,13,21,11,2,8,0,23,10,1,4,12,18,17,15,7,3,14,22,5,19,6
15,8,12,20,10,1,7,22,19,9,0,3,11,17,16,14,6,2,13,23,4,18,5,15,8,12,20,10,1,7,22,19,9,0,3,11,17,16,14,6,2,13,23,4,18,5
14,7,11,19,9,0,6,21,18,8,23,2,10,16,15,13,5,1,12,20,3,17,4,14,7,11,19,9,0,6,21,18,8,23,2,10,16,15,13,5,1,12,20,3,17,4
18,3,5,9,4,11,14,10,20,15,22,12,16,19,7,6,2,0,17,21,1,8,13,18,3,5,9,4,11,14,10,20,15,22,12,16,19,7,6,2,0,17,21,1,8,13
