0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
14,8,31,43,32,42,36,40,41,1,28,20,10,7,4,5,24,26,30,27,18,39,12,11,25,35,2,6,37,34,29,22,38,3,13,17,21,19,9,16,15,33,23,14,8,31,43,32,42,36,40,41,1,28,20,10,7,4,5,24,26,30,27,18,39,12,11,25,35,2,6,37,34,29,22,38,3,13,17,21,19,9,16,15,33,23
13,7,30,42,31,41,35,39,40,0,27,19,9,6,3,4,23,25,29,26,17,38,11,10,24,34,43,5,36,33,28,21,37,2,12,16,20,18,8,15,14,32,22,13,7,30,42,31,41,35,39,40,0,27,19,9,6,3,4,23,25,29,26,17,38,11,10,24,34,43,5,36,33,28,21,37,2,12,16,20,18,8,15,14,32,22
12,6,29,41,30,40,34,38,39,42,26,18,8,5,43,3,22,24,28,25,16,37,10,9,23,33,0,4,35,32,27,20,36,1,11,15,19,17,7,14,13,31,21,12,6,29,41,30,40,34,38,39,42,26,18,8,5,43,3,22,24,28,25,16,37,10,9,23,33,0,4,35,32,27,20,36,1,11,15,19,17,7,14,13,31,21
11,5,28,40,29,39,33,37,38,41,25,17,7,4,1,2,21,23,27,24,15,36,9,8,22,32,42,43,34,31,26,19,35,0,10,14,18,16,6,13,12,30,20,11,5,28,40,29,39,33,37,38,41,25,17,7,4,1,2,21,23,27,24,15,36,9,8,22,32,42,43,34,31,26,19,35,0,10,14,18,16,6,13,12,30,20
10,43,27,39,28,38,32,36,37,40,24,16,6,3,0,1,20,22,26,23,14,35,8,7,21,31,41,2,33,30,25,18,34,42,9,13,17,15,5,12,11,29,19,10,43,27,39,28,38,32,36,37,40,24,16,6,3,0,1,20,22,26,23,14,35,8,7,21,31,41,2,33,30,25,18,34,42,9,13,17,15,5,12,11,29,19
9,3,26,38,27,37,31,35,36,39,23,15,43,2,42,0,19,21,25,22,13,34,7,6,20,30,40,1,32,29,24,17,33,41,8,12,16,14,4,11,10,28,18,9,3,26,38,27,37,31,35,36,39,23,15,43,2,42,0,19,21,25,22,13,34,7,6,20,30,40,1,32,29,24,17,33,41,8,12,16,14,4,11,10,28,18
8,2,25,37,26,36,30,34,35,38,22,14,4,1,41,42,18,20,24,21,12,33,43,5,19,29,39,0,31,28,23,16,32,40,7,11,15,13,3,10,9,27,17,8,2,25,37,26,36,30,34,35,38,22,14,4,1,41,42,18,20,24,21,12,33,43,5,19,29,39,0,31,28,23,16,32,40,7,11,15,13,3,10,9,27,17
43,1,24,36,25,35,29,33,34,37,21,13,3,0,40,41,17,19,23,20,11,32,5,4,18,28,38,42,30,27,22,15,31,39,6,10,14,12,2,9,8,26,16,43,1,24,36,25,35,29,33,34,37,21,13,3,0,40,41,17,19,23,20,11,32,5,4,18,28,38,42,30,27,22,15,31,39,6,10,14,12,2,9,8,26,16
6,0,23,35,24,34,28,32,33,36,20,12,2,42,39,40,16,18,22,19,10,31,4,3,17,27,37,41,29,26,21,14,30,38,5,9,13,11,1,43,7,25,15,6,0,23,35,24,34,28,32,33,36,20,12,2,42,39,40,16,18,22,19,10,31,4,3,17,27,37,41,29,26,21,14,30,38,5,9,13,11,1,43,7,25,15
5,42,22,34,23,33,27,31,32,35,19,11,1,41,38,39,15,17,21,18,43,30,3,2,16,26,36,40,28,25,20,13,29,37,4,8,12,10,0,7,6,24,14,5,42,22,34,23,33,27,31,32,35,19,11,1,41,38,39,15,17,21,18,43,30,3,2,16,26,36,40,28,25,20,13,29,37,4,8,12,10,0,7,6,24,14
4,41,21,33,22,32,26,30,31,34,18,43,0,40,37,38,14,16,20,17,8,29,2,1,15,25,35,39,27,24,19,12,28,36,3,7,11,9,42,6,5,23,13,4,41,21,33,22,32,26,30,31,34,18,43,0,40,37,38,14,16,20,17,8,29,2,1,15,25,35,39,27,24,19,12,28,36,3,7,11,9,42,6,5,23,13
3,40,20,32,21,31,25,29,30,33,17,9,42,39,36,37,13,15,19,16,7,28,1,0,14,24,34,38,26,23,18,43,27,35,2,6,10,8,41,5,4,22,12,3,40,20,32,21,31,25,29,30,33,17,9,42,39,36,37,13,15,19,16,7,28,1,0,14,24,34,38,26,23,18,43,27,35,2,6,10,8,41,5,4,22,12
2,39,19,31,20,30,24,28,29,32,16,8,41,38,35,36,43,14,18,15,6,27,0,42,13,23,33,37,25,22,17,10,26,34,1,5,9,7,40,4,3,21,11,2,39,19,31,20,30,24,28,29,32,16,8,41,38,35,36,43,14,18,15,6,27,0,42,13,23,33,37,25,22,17,10,26,34,1,5,9,7,40,4,3,21,11
1,38,18,30,19,29,23,27,28,31,15,7,40,37,34,35,11,43,17,14,5,26,42,41,12,22,32,36,24,21,16,9,25,33,0,4,8,6,39,3,2,20,10,1,38,18,30,19,29,23,27,28,31,15,7,40,37,34,35,11,43,17,14,5,26,42,41,12,22,32,36,24,21,16,9,25,33,0,4,8,6,39,3,2,20,10
0,37,17,29,18,28,22,26,27,30,43,6,39,36,33,34,10,12,16,13,4,25,41,40,11,21,31,35,23,20,15,8,24,32,42,3,7,5,38,2,1,19,9,0,37,17,29,18,28,22,26,27,30,43,6,39,36,33,34,10,12,16,13,4,25,41,40,11,21,31,35,23,20,15,8,24,32,42,3,7,5,38,2,1,19,9
42,36,16,28,17,27,21,25,26,29,13,5,38,35,32,33,9,11,43,12,3,24,40,39,10,20,30,34,22,19,14,7,23,31,41,2,6,4,37,1,0,18,8,42,36,16,28,17,27,21,25,26,29,13,5,38,35,32,33,9,11,43,12,3,24,40,39,10,20,30,34,22,19,14,7,23,31,41,2,6,4,37,1,0,18,8
41,35,15,27,43,26,20,24,25,28,12,4,37,34,31,32,8,10,14,11,2,23,39,38,9,19,29,33,21,18,13,6,22,30,40,1,5,3,36,0,42,17,7,41,35,15,27,43,26,20,24,25,28,12,4,37,34,31,32,8,10,14,11,2,23,39,38,9,19,29,33,21,18,13,6,22,30,40,1,5,3,36,0,42,17,7
40,34,14,26,15,25,19,23,24,27,11,3,36,33,30,31,7,9,13,10,1,22,38,37,8,18,28,32,20,43,12,5,21,29,39,0,4,2,35,42,41,16,6,40,34,14,26,15,25,19,23,24,27,11,3,36,33,30,31,7,9,13,10,1,22,38,37,8,18,28,32,20,43,12,5,21,29,39,0,4,2,35,42,41,16,6
39,33,13,25,14,24,43,22,23,26,10,2,35,32,29,30,6,8,12,9,0,21,37,36,7,17,27,31,19,16,11,4,20,28,38,42,3,1,34,41,40,15,5,39,33,13,25,14,24,43,22,23,26,10,2,35,32,29,30,6,8,12,9,0,21,37,36,7,17,27,31,19,16,11,4,20,28,38,42,3,1,34,41,40,15,5
38,32,12,24,13,23,17,21,22,25,9,1,34,31,28,29,5,7,11,8,42,20,36,35,6,16,26,30,18,15,10,3,43,27,37,41,2,0,33,40,39,14,4,38,32,12,24,13,23,17,21,22,25,9,1,34,31,28,29,5,7,11,8,42,20,36,35,6,16,26,30,18,15,10,3,43,27,37,41,2,0,33,40,39,14,4
