0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
39,40,18,46,27,12,22,7,8,44,17,20,30,19,29,25,1,9,24,13,21,3,36,47,10,45,11,41,26,32,2,14,5,37,43,15,42,33,38,6,23,35,16,4,28,31,34,39,40,18,46,27,12,22,7,8,44,17,20,30,19,29,25,1,9,24,13,21,3,36,47,10,45,11,41,26,32,2,14,5,37,43,15,42,33,38,6,23,35,16,4,28,31,34
38,39,17,45,26,11,21,6,7,43,16,19,29,18,28,24,0,8,23,12,20,2,35,46,9,44,10,40,25,31,47,13,4,36,42,14,41,32,37,5,22,34,15,3,27,30,33,38,39,17,45,26,11,21,6,7,43,16,19,29,18,28,24,0,8,23,12,20,2,35,46,9,44,10,40,25,31,47,13,4,36,42,14,41,32,37,5,22,34,15,3,27,30,33
37,38,16,44,25,10,20,5,6,42,15,18,28,17,27,23,46,7,22,11,19,1,34,45,8,43,9,39,24,30,0,12,3,35,41,13,40,31,36,4,21,33,14,47,26,29,32,37,38,16,44,25,10,20,5,6,42,15,18,28,17,27,23,46,7,22,11,19,1,34,45,8,43,9,39,24,30,0,12,3,35,41,13,40,31,36,4,21,33,14,47,26,29,32
36,37,15,43,24,9,19,4,5,41,14,17,27,16,26,22,45,6,21,10,18,0,33,44,7,42,8,38,23,29,46,11,2,34,40,12,39,30,35,47,20,32,13,1,25,28,31,36,37,15,43,24,9,19,4,5,41,14,17,27,16,26,22,45,6,21,10,18,0,33,44,7,42,8,38,23,29,46,11,2,34,40,12,39,30,35,47,20,32,13,1,25,28,31
35,36,14,42,23,8,18,3,47,40,13,16,26,15,25,21,44,5,20,9,17,46,32,43,6,41,7,37,22,28,45,10,1,33,39,11,38,29,34,2,19,31,12,0,24,27,30,35,36,14,42,23,8,18,3,47,40,13,16,26,15,25,21,44,5,20,9,17,46,32,43,6,41,7,37,22,28,45,10,1,33,39,11,38,29,34,2,19,31,12,0,24,27,30
34,35,13,41,22,7,17,2,3,39,12,15,25,14,24,20,43,4,19,8,16,45,31,42,47,40,6,36,21,27,44,9,0,32,38,10,37,28,33,1,18,30,11,46,23,26,29,34,35,13,41,22,7,17,2,3,39,12,15,25,14,24,20,43,4,19,8,16,45,31,42,47,40,6,36,21,27,44,9,0,32,38,10,37,28,33,1,18,30,11,46,23,26,29
33,34,12,40,21,47,16,1,2,38,11,14,24,13,23,19,42,3,18,7,15,44,30,41,4,39,5,35,20,26,43,8,46,31,37,9,36,27,32,0,17,29,10,45,22,25,28,33,34,12,40,21,47,16,1,2,38,11,14,24,13,23,19,42,3,18,7,15,44,30,41,4,39,5,35,20,26,43,8,46,31,37,9,36,27,32,0,17,29,10,45,22,25,28
32,33,11,39,20,5,15,0,1,37,10,13,23,12,22,18,41,2,17,6,14,43,29,40,3,38,4,34,19,25,42,47,45,30,36,8,35,26,31,46,16,28,9,44,21,24,27,32,33,11,39,20,5,15,0,1,37,10,13,23,12,22,18,41,2,17,6,14,43,29,40,3,38,4,34,19,25,42,47,45,30,36,8,35,26,31,46,16,28,9,44,21,24,27
31,32,10,38,19,4,14,46,0,36,9,12,22,11,21,17,40,1,16,5,13,42,28,39,2,37,3,33,18,24,41,6,44,29,35,7,34,25,30,45,15,27,47,43,20,23,26,31,32,10,38,19,4,14,46,0,36,9,12,22,11,21,17,40,1,16,5,13,42,28,39,2,37,3,33,18,24,41,6,44,29,35,7,34,25,30,45,15,27,47,43,20,23,26
30,31,47,37,18,3,13,45,46,35,8,11,21,10,20,16,39,0,15,4,12,41,27,38,1,36,2,32,17,23,40,5,43,28,34,6,33,24,29,44,14,26,7,42,19,22,25,30,31,47,37,18,3,13,45,46,35,8,11,21,10,20,16,39,0,15,4,12,41,27,38,1,36,2,32,17,23,40,5,43,28,34,6,33,24,29,44,14,26,7,42,19,22,25
29,30,8,36,17,2,12,44,45,34,7,47,20,9,19,15,38,46,14,3,11,40,26,37,0,35,1,31,16,22,39,4,42,27,33,5,32,23,28,43,13,25,6,41,18,21,24,29,30,8,36,17,2,12,44,45,34,7,47,20,9,19,15,38,46,14,3,11,40,26,37,0,35,1,31,16,22,39,4,42,27,33,5,32,23,28,43,13,25,6,41,18,21,24
28,29,7,35,16,1,47,43,44,33,6,9,19,8,18,14,37,45,13,2,10,39,25,36,46,34,0,30,15,21,38,3,41,26,32,4,31,22,27,42,12,24,5,40,17,20,23,28,29,7,35,16,1,47,43,44,33,6,9,19,8,18,14,37,45,13,2,10,39,25,36,46,34,0,30,15,21,38,3,41,26,32,4,31,22,27,42,12,24,5,40,17,20,23
