0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
8,7,6,17,22,1,9,11,12,3,18,21,14,4,2,20,15,23,10,16,5,19,13,8,7,6,17,22,1,9,11,12,3,18,21,14,4,2,20,15,23,10,16,5,19,13
7,6,5,16,21,0,8,10,11,2,17,20,13,3,23,19,14,22,9,15,4,18,12,7,6,5,16,21,0,8,10,11,2,17,20,13,3,23,19,14,22,9,15,4,18,12
6,5,4,15,20,22,7,9,10,1,16,19,12,23,0,18,13,21,8,14,3,17,11,6,5,4,15,20,22,7,9,10,1,16,19,12,23,0,18,13,21,8,14,3,17,11
5,4,23,14,19,21,6,8,9,0,15,18,11,1,22,17,12,20,7,13,2,16,10,5,4,23,14,19,21,6,8,9,0,15,18,11,1,22,17,12,20,7,13,2,16,10
23,3,2,13,18,20,5,7,8,22,14,17,10,0,21,16,11,19,6,12,1,15,9,23,3,2,13,18,20,5,7,8,22,14,17,10,0,21,16,11,19,6,12,1,15,9
3,2,1,12,17,19,4,6,7,21,13,16,9,22,20,15,10,18,23,11,0,14,8,3,2,1,12,17,19,4,6,7,21,13,16,9,22,20,15,10,18,23,11,0,14,8
2,1,0,11,16,18,3,5,23,20,12,15,8,21,19,14,9,17,4,10,22,13,7,2,1,0,11,16,18,3,5,23,20,12,15,8,21,19,14,9,17,4,10,22,13,7
1,0,22,10,15,17,2,4,5,19,11,14,23,20,18,13,8,16,3,9,21,12,6,1,0,22,10,15,17,2,4,5,19,11,14,23,20,18,13,8,16,3,9,21,12,6
0,22,21,9,14,16,1,3,4,18,10,13,6,19,17,12,7,15,2,23,20,11,5,0,22,21,9,14,16,1,3,4,18,10,13,6,19,17,12,7,15,2,23,20,11,5
22,21,20,8,13,15,0,2,3,17,23,12,5,18,16,11,6,14,1,7,19,10,4,22,21,20,8,13,15,0,2,3,17,23,12,5,18,16,11,6,14,1,7,19,10,4
21,20,19,7,12,14,22,1,2,16,8,11,4,17,15,23,5,13,0,6,18,9,3,21,20,19,7,12,14,22,1,2,16,8,11,4,17,15,23,5,13,0,6,18,9,3
20,19,18,6,23,13,21,0,1,15,7,10,3,16,14,9,4,12,22,5,17,8,2,20,19,18,6,23,13,21,0,1,15,7,10,3,16,14,9,4,12,22,5,17,8,2
19,18,17,5,10,23,20,22,0,14,6,9,2,15,13,8,3,11,21,4,16,7,1,19,18,17,5,10,23,20,22,0,14,6,9,2,15,13,8,3,11,21,4,16,7,1
18,17,16,4,9,11,19,21,22,23,5,8,1,14,12,7,2,10,20,3,15,6,0,18,17,16,4,9,11,19,21,22,23,5,8,1,14,12,7,2,10,20,3,15,6,0
17,16,15,3,8,10,18,20,21,12,4,7,0,13,11,6,1,9,19,2,23,5,22,17,16,15,3,8,10,18,20,21,12,4,7,0,13,11,6,1,9,19,2,23,5,22
16,23,14,2,7,9,17,19,20,11,3,6,22,12,10,5,0,8,18,1,13,4,21,16,23,14,2,7,9,17,19,20,11,3,6,22,12,10,5,0,8,18,1,13,4,21
15,14,13,1,6,8,23,18,19,10,2,5,21,11,9,4,22,7,17,0,12,3,20,15,14,13,1,6,8,23,18,19,10,2,5,21,11,9,4,22,7,17,0,12,3,20
14,13,12,0,5,7,15,23,18,9,1,4,20,10,8,3,21,6,16,22,11,2,19,14,13,12,0,5,7,15,23,18,9,1,4,20,10,8,3,21,6,16,22,11,2,19
13,12,11,22,4,6,14,16,17,8,0,3,19,9,7,2,20,5,15,21,10,1,23,13,12,11,22,4,6,14,16,17,8,0,3,19,9,7,2,20,5,15,21,10,1,23
12,11,10,21,3,5,13,15,16,7,22,2,18,8,6,1,23,4,14,20,9,0,17,12,11,10,21,3,5,13,15,16,7,22,2,18,8,6,1,23,4,14,20,9,0,17
11,10,9,23,2,4,12,14,15,6,21,1,17,7,5,0,18,3,13,19,8,22,16,11,10,9,23,2,4,12,14,15,6,21,1,17,7,5,0,18,3,13,19,8,22,16
10,9,8,19,1,3,11,13,14,5,20,0,16,6,4,22,17,2,12,18,7,23,15,10,9,8,19,1,3,11,13,14,5,20,0,16,6,4,22,17,2,12,18,7,23,15
9,8,7,18,0,2,10,12,13,4,19,23,15,5,3,21,16,1,11,17,6,20,14,9,8,7,18,0,2,10,12,13,4,19,23,15,5,3,21,16,1,11,17,6,20,14
4,15,3,20,11,12,16,17,6,13,9,22,7,2,1,10,19,0,5,8,14,21,18,4,15,3,20,11,12,16,17,6,13,9,22,7,2,1,10,19,0,5,8,14,21,18
