0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
21,17,7,16,12,2,26,8,29,15,23,22,25,30,19,20,24,13,14,10,28,9,1,6,27,3,31,5,18,11,4,21,17,7,16,12,2,26,8,29,15,23,22,25,30,19,20,24,13,14,10,28,9,1,6,27,3,31,5,18,11,4
20,16,6,15,11,31,25,7,28,14,22,21,24,29,18,19,23,12,13,9,27,8,0,5,26,2,30,4,17,10,3,20,16,6,15,11,31,25,7,28,14,22,21,24,29,18,19,23,12,13,9,27,8,0,5,26,2,30,4,17,10,3
19,15,5,14,10,0,24,6,27,13,21,20,23,28,17,18,22,11,12,8,26,7,30,4,25,1,29,3,16,9,31,19,15,5,14,10,0,24,6,27,13,21,20,23,28,17,18,22,11,12,8,26,7,30,4,25,1,29,3,16,9,31
18,14,4,13,9,30,23,5,26,12,20,19,22,27,16,17,21,10,11,7,25,6,29,31,24,0,28,2,15,8,1,18,14,4,13,9,30,23,5,26,12,20,19,22,27,16,17,21,10,11,7,25,6,29,31,24,0,28,2,15,8,1
17,13,3,12,8,29,22,31,25,11,19,18,21,26,15,16,20,9,10,6,24,5,28,2,23,30,27,1,14,7,0,17,13,3,12,8,29,22,31,25,11,19,18,21,26,15,16,20,9,10,6,24,5,28,2,23,30,27,1,14,7,0
16,12,2,11,7,28,21,3,24,10,18,17,20,25,14,15,19,8,9,31,23,4,27,1,22,29,26,0,13,6,30,16,12,2,11,7,28,21,3,24,10,18,17,20,25,14,15,19,8,9,31,23,4,27,1,22,29,26,0,13,6,30
15,11,1,10,31,27,20,2,23,9,17,16,19,24,13,14,18,7,8,4,22,3,26,0,21,28,25,30,12,5,29,15,11,1,10,31,27,20,2,23,9,17,16,19,24,13,14,18,7,8,4,22,3,26,0,21,28,25,30,12,5,29
14,10,0,9,5,26,19,1,22,8,16,15,18,23,12,13,17,6,31,3,21,2,25,30,20,27,24,29,11,4,28,14,10,0,9,5,26,19,1,22,8,16,15,18,23,12,13,17,6,31,3,21,2,25,30,20,27,24,29,11,4,28
13,9,30,31,4,25,18,0,21,7,15,14,17,22,11,12,16,5,6,2,20,1,24,29,19,26,23,28,10,3,27,13,9,30,31,4,25,18,0,21,7,15,14,17,22,11,12,16,5,6,2,20,1,24,29,19,26,23,28,10,3,27
12,8,29,7,3,24,17,30,20,6,14,13,16,21,10,11,15,4,5,1,19,0,23,28,18,25,22,27,31,2,26,12,8,29,7,3,24,17,30,20,6,14,13,16,21,10,11,15,4,5,1,19,0,23,28,18,25,22,27,31,2,26
11,7,28,6,2,23,16,29,19,5,13,12,15,20,9,31,14,3,4,0,18,30,22,27,17,24,21,26,8,1,25,11,7,28,6,2,23,16,29,19,5,13,12,15,20,9,31,14,3,4,0,18,30,22,27,17,24,21,26,8,1,25
10,6,27,5,1,22,15,28,18,4,12,31,14,19,8,9,13,2,3,30,17,29,21,26,16,23,20,25,7,0,24,10,6,27,5,1,22,15,28,18,4,12,31,14,19,8,9,13,2,3,30,17,29,21,26,16,23,20,25,7,0,24
9,5,26,4,0,21,14,27,17,3,11,10,13,18,7,8,31,1,2,29,16,28,20,25,15,22,19,24,6,30,23,9,5,26,4,0,21,14,27,17,3,11,10,13,18,7,8,31,1,2,29,16,28,20,25,15,22,19,24,6,30,23
8,4,25,3,30,20,31,26,16,2,10,9,12,17,6,7,11,0,1,28,15,27,19,24,14,21,18,23,5,29,22,8,4,25,3,30,20,31,26,16,2,10,9,12,17,6,7,11,0,1,28,15,27,19,24,14,21,18,23,5,29,22
7,3,24,2,29,19,12,25,15,1,9,8,11,16,5,6,10,30,0,27,31,26,18,23,13,20,17,22,4,28,21,7,3,24,2,29,19,12,25,15,1,9,8,11,16,5,6,10,30,0,27,31,26,18,23,13,20,17,22,4,28,21
6,2,23,1,28,18,11,24,14,0,8,7,10,31,4,5,9,29,30,26,13,25,17,22,12,19,16,21,3,27,20,6,2,23,1,28,18,11,24,14,0,8,7,10,31,4,5,9,29,30,26,13,25,17,22,12,19,16,21,3,27,20
