0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
7,16,3,12,4,18,5,9,10,1,2,17,11,14,13,8,15,19,6,7,16,3,12,4,18,5,9,10,1,2,17,11,14,13,8,15,19,6
6,15,2,11,3,17,4,8,9,0,19,16,10,13,12,7,14,18,5,6,15,2,11,3,17,4,8,9,0,19,16,10,13,12,7,14,18,5
5,14,1,10,19,16,3,7,8,18,0,15,9,12,11,6,13,17,4,5,14,1,10,19,16,3,7,8,18,0,15,9,12,11,6,13,17,4
4,13,0,9,1,15,2,6,7,17,18,14,8,11,10,5,12,16,19,4,13,0,9,1,15,2,6,7,17,18,14,8,11,10,5,12,16,19
3,12,18,8,0,14,1,5,6,16,17,13,7,10,9,19,11,15,2,3,12,18,8,0,14,1,5,6,16,17,13,7,10,9,19,11,15,2
2,11,17,7,18,13,0,4,19,15,16,12,6,9,8,3,10,14,1,2,11,17,7,18,13,0,4,19,15,16,12,6,9,8,3,10,14,1
1,10,16,19,17,12,18,3,4,14,15,11,5,8,7,2,9,13,0,1,10,16,19,17,12,18,3,4,14,15,11,5,8,7,2,9,13,0
0,9,15,5,16,11,17,2,3,13,14,10,4,19,6,1,8,12,18,0,9,15,5,16,11,17,2,3,13,14,10,4,19,6,1,8,12,18
18,19,14,4,15,10,16,1,2,12,13,9,3,6,5,0,7,11,17,18,19,14,4,15,10,16,1,2,12,13,9,3,6,5,0,7,11,17
17,7,13,3,14,19,15,0,1,11,12,8,2,5,4,18,6,10,16,17,7,13,3,14,19,15,0,1,11,12,8,2,5,4,18,6,10,16
16,6,12,2,13,8,14,18,0,19,11,7,1,4,3,17,5,9,15,16,6,12,2,13,8,14,18,0,19,11,7,1,4,3,17,5,9,15
15,5,19,1,12,7,13,17,18,9,10,6,0,3,2,16,4,8,14,15,5,19,1,12,7,13,17,18,9,10,6,0,3,2,16,4,8,14
14,4,10,0,11,6,19,16,17,8,9,5,18,2,1,15,3,7,13,14,4,10,0,11,6,19,16,17,8,9,5,18,2,1,15,3,7,13
19,3,9,18,10,5,11,15,16,7,8,4,17,1,0,14,2,6,12,19,3,9,18,10,5,11,15,16,7,8,4,17,1,0,14,2,6,12
12,2,8,17,9,4,10,19,15,6,7,3,16,0,18,13,1,5,11,12,2,8,17,9,4,10,19,15,6,7,3,16,0,18,13,1,5,11
11,1,7,16,8,3,9,13,14,5,6,2,19,18,17,12,0,4,10,11,1,7,16,8,3,9,13,14,5,6,2,19,18,17,12,0,4,10
10,0,6,15,7,2,8,12,13,4,5,1,14,17,19,11,18,3,9,10,0,6,15,7,2,8,12,13,4,5,1,14,17,19,11,18,3,9
9,18,5,14,6,1,7,11,12,3,4,0,13,16,15,10,19,2,8,9,18,5,14,6,1,7,11,12,3,4,0,13,16,15,10,19,2,8
8,17,4,13,5,0,6,10,11,2,3,19,12,15,14,9,16,1,7,8,17,4,13,5,0,6,10,11,2,3,19,12,15,14,9,16,1,7
13,8,11,6,2,9,12,14,5,10,1,18,15,7,16,4,17,0,3,13,8,11,6,2,9,12,14,5,10,1,18,15,7,16,4,17,0,3
