0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
27,15,19,5,13,24,7,18,26,8,21,12,6,22,1,9,3,10,11,4,16,23,20,14,17,2,25,27,15,19,5,13,24,7,18,26,8,21,12,6,22,1,9,3,10,11,4,16,23,20,14,17,2,25
26,14,18,4,12,23,6,17,25,7,20,11,5,21,0,8,2,9,10,3,15,22,19,13,16,27,24,26,14,18,4,12,23,6,17,25,7,20,11,5,21,0,8,2,9,10,3,15,22,19,13,16,27,24
25,13,17,3,11,22,5,16,24,6,19,10,4,20,26,7,1,8,9,27,14,21,18,12,15,0,23,25,13,17,3,11,22,5,16,24,6,19,10,4,20,26,7,1,8,9,27,14,21,18,12,15,0,23
24,12,16,2,10,21,4,15,23,5,18,9,27,19,25,6,0,7,8,1,13,20,17,11,14,26,22,24,12,16,2,10,21,4,15,23,5,18,9,27,19,25,6,0,7,8,1,13,20,17,11,14,26,22
23,11,15,1,9,20,3,14,22,27,17,8,2,18,24,5,26,6,7,0,12,19,16,10,13,25,21,23,11,15,1,9,20,3,14,22,27,17,8,2,18,24,5,26,6,7,0,12,19,16,10,13,25,21
22,10,14,0,8,19,2,13,21,3,16,7,1,17,23,4,25,27,6,26,11,18,15,9,12,24,20,22,10,14,0,8,19,2,13,21,3,16,7,1,17,23,4,25,27,6,26,11,18,15,9,12,24,20
21,9,13,26,7,18,1,12,20,2,15,27,0,16,22,3,24,4,5,25,10,17,14,8,11,23,19,21,9,13,26,7,18,1,12,20,2,15,27,0,16,22,3,24,4,5,25,10,17,14,8,11,23,19
20,8,12,25,6,17,0,11,19,1,14,5,26,15,21,2,23,3,4,24,9,16,13,27,10,22,18,20,8,12,25,6,17,0,11,19,1,14,5,26,15,21,2,23,3,4,24,9,16,13,27,10,22,18
19,7,11,24,5,16,26,10,18,0,13,4,25,14,20,1,22,2,3,23,27,15,12,6,9,21,17,19,7,11,24,5,16,26,10,18,0,13,4,25,14,20,1,22,2,3,23,27,15,12,6,9,21,17
18,6,10,23,4,15,25,27,17,26,12,3,24,13,19,0,21,1,2,22,7,14,11,5,8,20,16,18,6,10,23,4,15,25,27,17,26,12,3,24,13,19,0,21,1,2,22,7,14,11,5,8,20,16
17,5,9,22,3,14,24,8,16,25,11,2,23,12,18,26,20,0,1,21,6,13,27,4,7,19,15,17,5,9,22,3,14,24,8,16,25,11,2,23,12,18,26,20,0,1,21,6,13,27,4,7,19,15
16,4,8,21,2,13,23,7,15,24,10,1,22,27,17,25,19,26,0,20,5,12,9,3,6,18,14,16,4,8,21,2,13,23,7,15,24,10,1,22,27,17,25,19,26,0,20,5,12,9,3,6,18,14
15,3,7,20,1,27,22,6,14,23,9,0,21,10,16,24,18,25,26,19,4,11,8,2,5,17,13,15,3,7,20,1,27,22,6,14,23,9,0,21,10,16,24,18,25,26,19,4,11,8,2,5,17,13
14,2,6,19,0,11,21,5,27,22,8,26,20,9,15,23,17,24,25,18,3,10,7,1,4,16,12,14,2,6,19,0,11,21,5,27,22,8,26,20,9,15,23,17,24,25,18,3,10,7,1,4,16,12
13,1,5,18,26,10,20,4,12,21,7,25,19,8,27,22,16,23,24,17,2,9,6,0,3,15,11,13,1,5,18,26,10,20,4,12,21,7,25,19,8,27,22,16,23,24,17,2,9,6,0,3,15,11
12,0,4,17,25,9,19,3,11,20,6,24,18,7,13,21,27,22,23,16,1,8,5,26,2,14,10,12,0,4,17,25,9,19,3,11,20,6,24,18,7,13,21,27,22,23,16,1,8,5,26,2,14,10
11,26,3,27,24,8,18,2,10,19,5,23,17,6,12,20,14,21,22,15,0,7,4,25,1,13,9,11,26,3,27,24,8,18,2,10,19,5,23,17,6,12,20,14,21,22,15,0,7,4,25,1,13,9
10,25,2,15,23,7,27,1,9,18,4,22,16,5,11,19,13,20,21,14,26,6,3,24,0,12,8,10,25,2,15,23,7,27,1,9,18,4,22,16,5,11,19,13,20,21,14,26,6,3,24,0,12,8
9,24,1,14,22,6,16,0,8,17,3,21,15,4,10,27,12,19,20,13,25,5,2,23,26,11,7,9,24,1,14,22,6,16,0,8,17,3,21,15,4,10,27,12,19,20,13,25,5,2,23,26,11,7
8,23,0,13,21,5,15,26,7,16,2,20,14,3,9,17,11,18,27,12,24,4,1,22,25,10,6,8,23,0,13,21,5,15,26,7,16,2,20,14,3,9,17,11,18,27,12,24,4,1,22,25,10,6
7,22,26,12,27,4,14,25,6,15,1,19,13,2,8,16,10,17,18,11,23,3,0,21,24,9,5,7,22,26,12,27,4,14,25,6,15,1,19,13,2,8,16,10,17,18,11,23,3,0,21,24,9,5
6,27,25,11,19,3,13,24,5,14,0,18,12,1,7,15,9,16,17,10,22,2,26,20,23,8,4,6,27,25,11,19,3,13,24,5,14,0,18,12,1,7,15,9,16,17,10,22,2,26,20,23,8,4
5,20,24,10,18,2,12,23,4,13,26,17,11,0,6,14,8,15,16,9,21,1,25,19,27,7,3,5,20,24,10,18,2,12,23,4,13,26,17,11,0,6,14,8,15,16,9,21,1,25,19,27,7,3
4,19,27,9,17,1,11,22,3,12,25,16,10,26,5,13,7,14,15,8,20,0,24,18,21,6,2,4,19,27,9,17,1,11,22,3,12,25,16,10,26,5,13,7,14,15,8,20,0,24,18,21,6,2
3,18,22,8,16,0,10,21,2,11,27,15,9,25,4,12,6,13,14,7,19,26,23,17,20,5,1,3,18,22,8,16,0,10,21,2,11,27,15,9,25,4,12,6,13,14,7,19,26,23,17,20,5,1
2,17,21,7,15,26,9,20,1,10,23,14,8,24,3,11,5,12,13,6,18,27,22,16,19,4,0,2,17,21,7,15,26,9,20,1,10,23,14,8,24,3,11,5,12,13,6,18,27,22,16,19,4,0
1,16,20,6,14,25,8,19,0,9,22,13,7,23,2,10,4,11,12,5,17,24,21,15,18,3,27,1,16,20,6,14,25,8,19,0,9,22,13,7,23,2,10,4,11,12,5,17,24,21,15,18,3,27
0,21,23,16,20,12,17,9,13,4,24,6,3,11,14,18,15,5,19,2,8,25,10,7,22,1,26,0,21,23,16,20,12,17,9,13,4,24,6,3,11,14,18,15,5,19,2,8,25,10,7,22,1,26
