0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
8,33,22,27,19,23,30,11,12,6,29,21,16,2,18,7,13,9,4,20,15,25,32,14,10,3,1,31,24,26,5,28,17,8,33,22,27,19,23,30,11,12,6,29,21,16,2,18,7,13,9,4,20,15,25,32,14,10,3,1,31,24,26,5,28,17
7,32,21,26,18,22,29,10,11,5,28,20,15,33,17,6,12,8,3,19,14,24,31,13,9,2,0,30,23,25,4,27,16,7,32,21,26,18,22,29,10,11,5,28,20,15,33,17,6,12,8,3,19,14,24,31,13,9,2,0,30,23,25,4,27,16
6,31,20,25,17,21,28,9,10,4,27,19,14,0,16,5,11,7,33,18,13,23,30,12,8,1,32,29,22,24,3,26,15,6,31,20,25,17,21,28,9,10,4,27,19,14,0,16,5,11,7,33,18,13,23,30,12,8,1,32,29,22,24,3,26,15
5,30,19,24,16,20,27,8,9,33,26,18,13,32,15,4,10,6,1,17,12,22,29,11,7,0,31,28,21,23,2,25,14,5,30,19,24,16,20,27,8,9,33,26,18,13,32,15,4,10,6,1,17,12,22,29,11,7,0,31,28,21,23,2,25,14
33,29,18,23,15,19,26,7,8,2,25,17,12,31,14,3,9,5,0,16,11,21,28,10,6,32,30,27,20,22,1,24,13,33,29,18,23,15,19,26,7,8,2,25,17,12,31,14,3,9,5,0,16,11,21,28,10,6,32,30,27,20,22,1,24,13
3,28,17,22,14,18,25,6,7,1,24,16,11,30,13,2,8,4,32,15,10,20,27,9,33,31,29,26,19,21,0,23,12,3,28,17,22,14,18,25,6,7,1,24,16,11,30,13,2,8,4,32,15,10,20,27,9,33,31,29,26,19,21,0,23,12
2,27,16,21,13,17,24,5,33,0,23,15,10,29,12,1,7,3,31,14,9,19,26,8,4,30,28,25,18,20,32,22,11,2,27,16,21,13,17,24,5,33,0,23,15,10,29,12,1,7,3,31,14,9,19,26,8,4,30,28,25,18,20,32,22,11
1,26,15,20,12,16,23,4,5,32,22,14,9,28,11,0,6,2,30,13,8,18,25,33,3,29,27,24,17,19,31,21,10,1,26,15,20,12,16,23,4,5,32,22,14,9,28,11,0,6,2,30,13,8,18,25,33,3,29,27,24,17,19,31,21,10
0,25,14,19,11,15,22,3,4,31,21,13,33,27,10,32,5,1,29,12,7,17,24,6,2,28,26,23,16,18,30,20,9,0,25,14,19,11,15,22,3,4,31,21,13,33,27,10,32,5,1,29,12,7,17,24,6,2,28,26,23,16,18,30,20,9
32,24,13,18,10,14,21,2,3,30,20,12,7,26,33,31,4,0,28,11,6,16,23,5,1,27,25,22,15,17,29,19,8,32,24,13,18,10,14,21,2,3,30,20,12,7,26,33,31,4,0,28,11,6,16,23,5,1,27,25,22,15,17,29,19,8
31,23,12,17,9,13,20,1,2,29,19,11,6,25,8,30,3,32,27,33,5,15,22,4,0,26,24,21,14,16,28,18,7,31,23,12,17,9,13,20,1,2,29,19,11,6,25,8,30,3,32,27,33,5,15,22,4,0,26,24,21,14,16,28,18,7
30,22,33,16,8,12,19,0,1,28,18,10,5,24,7,29,2,31,26,9,4,14,21,3,32,25,23,20,13,15,27,17,6,30,22,33,16,8,12,19,0,1,28,18,10,5,24,7,29,2,31,26,9,4,14,21,3,32,25,23,20,13,15,27,17,6
29,21,10,15,7,11,18,32,0,27,17,9,4,23,6,28,1,30,25,8,3,13,20,2,31,24,22,19,33,14,26,16,5,29,21,10,15,7,11,18,32,0,27,17,9,4,23,6,28,1,30,25,8,3,13,20,2,31,24,22,19,33,14,26,16,5
28,20,9,14,6,10,17,31,32,26,16,8,3,22,5,27,0,29,24,7,2,12,19,1,30,23,21,18,11,33,25,15,4,28,20,9,14,6,10,17,31,32,26,16,8,3,22,5,27,0,29,24,7,2,12,19,1,30,23,21,18,11,33,25,15,4
27,19,8,13,5,9,16,30,31,25,15,7,2,21,4,26,32,28,23,6,1,11,18,0,29,22,20,17,10,12,24,33,3,27,19,8,13,5,9,16,30,31,25,15,7,2,21,4,26,32,28,23,6,1,11,18,0,29,22,20,17,10,12,24,33,3
26,18,7,12,4,8,33,29,30,24,14,6,1,20,3,25,31,27,22,5,0,10,17,32,28,21,19,16,9,11,23,13,2,26,18,7,12,4,8,33,29,30,24,14,6,1,20,3,25,31,27,22,5,0,10,17,32,28,21,19,16,9,11,23,13,2
25,17,6,11,3,7,14,28,29,23,13,5,0,19,2,24,30,26,21,4,32,9,33,31,27,20,18,15,8,10,22,12,1,25,17,6,11,3,7,14,28,29,23,13,5,0,19,2,24,30,26,21,4,32,9,33,31,27,20,18,15,8,10,22,12,1
24,16,5,10,2,6,13,27,28,22,12,4,32,18,1,23,29,25,20,3,31,8,15,30,26,19,33,14,7,9,21,11,0,24,16,5,10,2,6,13,27,28,22,12,4,32,18,1,23,29,25,20,3,31,8,15,30,26,19,33,14,7,9,21,11,0
23,15,4,9,1,5,12,26,27,21,11,3,31,17,0,22,28,24,19,2,30,7,14,29,25,33,16,13,6,8,20,10,32,23,15,4,9,1,5,12,26,27,21,11,3,31,17,0,22,28,24,19,2,30,7,14,29,25,33,16,13,6,8,20,10,32
22,14,3,8,0,4,11,25,26,20,10,2,30,16,32,21,27,23,18,1,29,6,13,28,24,17,15,12,5,7,33,9,31,22,14,3,8,0,4,11,25,26,20,10,2,30,16,32,21,27,23,18,1,29,6,13,28,24,17,15,12,5,7,33,9,31
21,13,2,7,32,3,10,24,25,19,9,1,29,15,31,33,26,22,17,0,28,5,12,27,23,16,14,11,4,6,18,8,30,21,13,2,7,32,3,10,24,25,19,9,1,29,15,31,33,26,22,17,0,28,5,12,27,23,16,14,11,4,6,18,8,30
20,12,1,6,31,2,9,23,24,18,8,0,28,14,30,19,25,33,16,32,27,4,11,26,22,15,13,10,3,5,17,7,29,20,12,1,6,31,2,9,23,24,18,8,0,28,14,30,19,25,33,16,32,27,4,11,26,22,15,13,10,3,5,17,7,29
19,11,0,5,30,1,8,33,23,17,7,32,27,13,29,18,24,20,15,31,26,3,10,25,21,14,12,9,2,4,16,6,28,19,11,0,5,30,1,8,33,23,17,7,32,27,13,29,18,24,20,15,31,26,3,10,25,21,14,12,9,2,4,16,6,28
18,10,32,4,29,0,7,21,22,16,6,31,26,12,28,17,33,19,14,30,25,2,9,24,20,13,11,8,1,3,15,5,27,18,10,32,4,29,0,7,21,22,16,6,31,26,12,28,17,33,19,14,30,25,2,9,24,20,13,11,8,1,3,15,5,27
17,9,31,3,28,32,6,20,21,15,5,30,25,11,27,16,22,18,13,29,33,1,8,23,19,12,10,7,0,2,14,4,26,17,9,31,3,28,32,6,20,21,15,5,30,25,11,27,16,22,18,13,29,33,1,8,23,19,12,10,7,0,2,14,4,26
16,8,30,2,27,31,5,19,20,14,4,29,24,10,26,15,21,17,12,28,23,0,7,22,18,11,9,6,32,1,13,3,33,16,8,30,2,27,31,5,19,20,14,4,29,24,10,26,15,21,17,12,28,23,0,7,22,18,11,9,6,32,1,13,3,33
15,7,29,1,33,30,4,18,19,13,3,28,23,9,25,14,20,16,11,27,22,32,6,21,17,10,8,5,31,0,12,2,24,15,7,29,1,33,30,4,18,19,13,3,28,23,9,25,14,20,16,11,27,22,32,6,21,17,10,8,5,31,0,12,2,24
14,6,28,0,25,29,3,17,18,12,2,33,22,8,24,13,19,15,10,26,21,31,5,20,16,9,7,4,30,32,11,1,23,14,6,28,0,25,29,3,17,18,12,2,33,22,8,24,13,19,15,10,26,21,31,5,20,16,9,7,4,30,32,11,1,23
13,5,27,32,24,33,2,16,17,11,1,26,21,7,23,12,18,14,9,25,20,30,4,19,15,8,6,3,29,31,10,0,22,13,5,27,32,24,33,2,16,17,11,1,26,21,7,23,12,18,14,9,25,20,30,4,19,15,8,6,3,29,31,10,0,22
12,4,26,31,23,27,1,15,16,10,0,25,20,6,22,11,17,13,8,24,19,33,3,18,14,7,5,2,28,30,9,32,21,12,4,26,31,23,27,1,15,16,10,0,25,20,6,22,11,17,13,8,24,19,33,3,18,14,7,5,2,28,30,9,32,21
11,3,25,33,22,26,0,14,15,9,32,24,19,5,21,10,16,12,7,23,18,28,2,17,13,6,4,1,27,29,8,31,20,11,3,25,33,22,26,0,14,15,9,32,24,19,5,21,10,16,12,7,23,18,28,2,17,13,6,4,1,27,29,8,31,20
10,2,24,29,21,25,32,13,14,8,33,23,18,4,20,9,15,11,6,22,17,27,1,16,12,5,3,0,26,28,7,30,19,10,2,24,29,21,25,32,13,14,8,33,23,18,4,20,9,15,11,6,22,17,27,1,16,12,5,3,0,26,28,7,30,19
9,1,23,28,20,24,31,12,13,7,30,22,17,3,19,8,14,10,5,21,16,26,0,15,11,4,2,33,25,27,6,29,18,9,1,23,28,20,24,31,12,13,7,30,22,17,3,19,8,14,10,5,21,16,26,0,15,11,4,2,33,25,27,6,29,18
4,0,11,30,26,28,15,22,6,3,31,27,8,1,9,20,23,21,2,10,24,29,16,7,5,18,17,32,12,13,19,14,25,4,0,11,30,26,28,15,22,6,3,31,27,8,1,9,20,23,21,2,10,24,29,16,7,5,18,17,32,12,13,19,14,25
