0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
20,22,16,23,10,18,9,24,28,3,1,7,31,6,12,5,25,19,21,14,30,26,11,17,29,13,8,4,27,2,15,20,22,16,23,10,18,9,24,28,3,1,7,31,6,12,5,25,19,21,14,30,26,11,17,29,13,8,4,27,2,15
19,21,15,22,9,17,8,23,27,2,0,6,30,5,11,4,24,18,20,13,29,25,10,16,28,12,7,3,26,31,14,19,21,15,22,9,17,8,23,27,2,0,6,30,5,11,4,24,18,20,13,29,25,10,16,28,12,7,3,26,31,14
18,20,14,21,8,16,7,22,26,1,30,5,29,4,10,3,23,17,19,12,28,24,9,15,27,11,6,31,25,0,13,18,20,14,21,8,16,7,22,26,1,30,5,29,4,10,3,23,17,19,12,28,24,9,15,27,11,6,31,25,0,13
17,19,13,20,7,15,6,21,25,0,29,4,28,31,9,2,22,16,18,11,27,23,8,14,26,10,5,1,24,30,12,17,19,13,20,7,15,6,21,25,0,29,4,28,31,9,2,22,16,18,11,27,23,8,14,26,10,5,1,24,30,12
16,18,12,19,6,14,5,20,24,30,28,3,27,2,8,1,21,15,17,10,26,22,7,13,25,9,31,0,23,29,11,16,18,12,19,6,14,5,20,24,30,28,3,27,2,8,1,21,15,17,10,26,22,7,13,25,9,31,0,23,29,11
15,17,11,18,31,13,4,19,23,29,27,2,26,1,7,0,20,14,16,9,25,21,6,12,24,8,3,30,22,28,10,15,17,11,18,31,13,4,19,23,29,27,2,26,1,7,0,20,14,16,9,25,21,6,12,24,8,3,30,22,28,10
14,16,10,17,4,12,3,18,22,28,26,1,25,0,31,30,19,13,15,8,24,20,5,11,23,7,2,29,21,27,9,14,16,10,17,4,12,3,18,22,28,26,1,25,0,31,30,19,13,15,8,24,20,5,11,23,7,2,29,21,27,9
13,15,9,16,3,11,2,17,21,27,25,0,24,30,5,29,18,12,14,31,23,19,4,10,22,6,1,28,20,26,8,13,15,9,16,3,11,2,17,21,27,25,0,24,30,5,29,18,12,14,31,23,19,4,10,22,6,1,28,20,26,8
12,14,31,15,2,10,1,16,20,26,24,30,23,29,4,28,17,11,13,6,22,18,3,9,21,5,0,27,19,25,7,12,14,31,15,2,10,1,16,20,26,24,30,23,29,4,28,17,11,13,6,22,18,3,9,21,5,0,27,19,25,7
11,13,7,14,1,31,0,15,19,25,23,29,22,28,3,27,16,10,12,5,21,17,2,8,20,4,30,26,18,24,6,11,13,7,14,1,31,0,15,19,25,23,29,22,28,3,27,16,10,12,5,21,17,2,8,20,4,30,26,18,24,6
