0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
4,32,28,31,18,2,19,9,8,22,6,7,14,25,30,15,17,16,24,10,23,1,3,5,26,13,27,33,12,20,21,29,11,4,32,28,31,18,2,19,9,8,22,6,7,14,25,30,15,17,16,24,10,23,1,3,5,26,13,27,33,12,20,21,29,11
3,31,27,30,17,33,18,8,7,21,5,6,13,24,29,14,16,15,23,9,22,0,2,4,25,12,26,32,11,19,20,28,10,3,31,27,30,17,33,18,8,7,21,5,6,13,24,29,14,16,15,23,9,22,0,2,4,25,12,26,32,11,19,20,28,10
33,30,26,29,16,0,17,7,6,20,4,5,12,23,28,13,15,14,22,8,21,32,1,3,24,11,25,31,10,18,19,27,9,33,30,26,29,16,0,17,7,6,20,4,5,12,23,28,13,15,14,22,8,21,32,1,3,24,11,25,31,10,18,19,27,9
1,29,25,28,15,32,16,6,5,19,33,4,11,22,27,12,14,13,21,7,20,31,0,2,23,10,24,30,9,17,18,26,8,1,29,25,28,15,32,16,6,5,19,33,4,11,22,27,12,14,13,21,7,20,31,0,2,23,10,24,30,9,17,18,26,8
0,28,24,27,14,31,15,5,33,18,2,3,10,21,26,11,13,12,20,6,19,30,32,1,22,9,23,29,8,16,17,25,7,0,28,24,27,14,31,15,5,33,18,2,3,10,21,26,11,13,12,20,6,19,30,32,1,22,9,23,29,8,16,17,25,7
32,27,23,26,13,30,14,4,3,17,1,2,9,20,25,10,12,11,19,33,18,29,31,0,21,8,22,28,7,15,16,24,6,32,27,23,26,13,30,14,4,3,17,1,2,9,20,25,10,12,11,19,33,18,29,31,0,21,8,22,28,7,15,16,24,6
31,26,22,25,12,29,13,3,2,16,0,1,8,19,24,9,11,10,18,4,17,28,30,32,20,7,21,27,33,14,15,23,5,31,26,22,25,12,29,13,3,2,16,0,1,8,19,24,9,11,10,18,4,17,28,30,32,20,7,21,27,33,14,15,23,5
30,25,21,24,11,28,12,2,1,15,32,0,33,18,23,8,10,9,17,3,16,27,29,31,19,6,20,26,5,13,14,22,4,30,25,21,24,11,28,12,2,1,15,32,0,33,18,23,8,10,9,17,3,16,27,29,31,19,6,20,26,5,13,14,22,4
29,24,20,23,10,27,11,1,0,14,31,32,6,17,22,7,9,33,16,2,15,26,28,30,18,5,19,25,4,12,13,21,3,29,24,20,23,10,27,11,1,0,14,31,32,6,17,22,7,9,33,16,2,15,26,28,30,18,5,19,25,4,12,13,21,3
28,23,19,22,33,26,10,0,32,13,30,31,5,16,21,6,8,7,15,1,14,25,27,29,17,4,18,24,3,11,12,20,2,28,23,19,22,33,26,10,0,32,13,30,31,5,16,21,6,8,7,15,1,14,25,27,29,17,4,18,24,3,11,12,20,2
27,22,18,21,8,25,9,32,31,12,29,30,4,15,20,5,7,6,14,0,13,24,26,28,16,3,17,23,2,33,11,19,1,27,22,18,21,8,25,9,32,31,12,29,30,4,15,20,5,7,6,14,0,13,24,26,28,16,3,17,23,2,33,11,19,1
26,21,17,20,7,24,8,31,30,33,28,29,3,14,19,4,6,5,13,32,12,23,25,27,15,2,16,22,1,9,10,18,0,26,21,17,20,7,24,8,31,30,33,28,29,3,14,19,4,6,5,13,32,12,23,25,27,15,2,16,22,1,9,10,18,0
25,20,16,19,6,23,7,30,29,10,27,28,2,13,18,3,5,4,33,31,11,22,24,26,14,1,15,21,0,8,9,17,32,25,20,16,19,6,23,7,30,29,10,27,28,2,13,18,3,5,4,33,31,11,22,24,26,14,1,15,21,0,8,9,17,32
24,19,15,18,5,22,6,29,28,9,26,27,1,12,17,2,4,3,11,30,10,21,23,25,33,0,14,20,32,7,8,16,31,24,19,15,18,5,22,6,29,28,9,26,27,1,12,17,2,4,3,11,30,10,21,23,25,33,0,14,20,32,7,8,16,31
23,18,33,17,4,21,5,28,27,8,25,26,0,11,16,1,3,2,10,29,9,20,22,24,12,32,13,19,31,6,7,15,30,23,18,33,17,4,21,5,28,27,8,25,26,0,11,16,1,3,2,10,29,9,20,22,24,12,32,13,19,31,6,7,15,30
22,17,13,16,3,20,4,27,26,7,24,25,32,10,33,0,2,1,9,28,8,19,21,23,11,31,12,18,30,5,6,14,29,22,17,13,16,3,20,4,27,26,7,24,25,32,10,33,0,2,1,9,28,8,19,21,23,11,31,12,18,30,5,6,14,29
21,33,12,15,2,19,3,26,25,6,23,24,31,9,14,32,1,0,8,27,7,18,20,22,10,30,11,17,29,4,5,13,28,21,33,12,15,2,19,3,26,25,6,23,24,31,9,14,32,1,0,8,27,7,18,20,22,10,30,11,17,29,4,5,13,28
20,15,11,14,1,18,2,25,24,5,22,23,30,8,13,31,0,32,7,26,6,33,19,21,9,29,10,16,28,3,4,12,27,20,15,11,14,1,18,2,25,24,5,22,23,30,8,13,31,0,32,7,26,6,33,19,21,9,29,10,16,28,3,4,12,27
19,14,10,13,0,17,1,24,23,4,21,22,29,7,12,30,32,31,6,25,5,16,33,20,8,28,9,15,27,2,3,11,26,19,14,10,13,0,17,1,24,23,4,21,22,29,7,12,30,32,31,6,25,5,16,33,20,8,28,9,15,27,2,3,11,26
18,13,9,12,32,16,0,23,22,3,20,21,28,6,11,29,31,30,5,24,4,15,17,33,7,27,8,14,26,1,2,10,25,18,13,9,12,32,16,0,23,22,3,20,21,28,6,11,29,31,30,5,24,4,15,17,33,7,27,8,14,26,1,2,10,25
17,12,8,11,31,15,32,22,21,2,19,33,27,5,10,28,30,29,4,23,3,14,16,18,6,26,7,13,25,0,1,9,24,17,12,8,11,31,15,32,22,21,2,19,33,27,5,10,28,30,29,4,23,3,14,16,18,6,26,7,13,25,0,1,9,24
16,11,7,10,30,14,31,33,20,1,18,19,26,4,9,27,29,28,3,22,2,13,15,17,5,25,6,12,24,32,0,8,23,16,11,7,10,30,14,31,33,20,1,18,19,26,4,9,27,29,28,3,22,2,13,15,17,5,25,6,12,24,32,0,8,23
15,10,6,9,29,13,30,20,19,0,17,18,25,3,8,26,28,27,2,21,1,12,14,16,4,24,5,11,23,31,32,7,33,15,10,6,9,29,13,30,20,19,0,17,18,25,3,8,26,28,27,2,21,1,12,14,16,4,24,5,11,23,31,32,7,33
14,9,5,8,28,12,29,19,18,32,16,17,24,2,7,25,27,26,1,20,0,11,13,15,3,33,4,10,22,30,31,6,21,14,9,5,8,28,12,29,19,18,32,16,17,24,2,7,25,27,26,1,20,0,11,13,15,3,33,4,10,22,30,31,6,21
13,8,4,7,27,11,28,18,17,31,15,16,23,1,6,33,26,25,0,19,32,10,12,14,2,22,3,9,21,29,30,5,20,13,8,4,7,27,11,28,18,17,31,15,16,23,1,6,33,26,25,0,19,32,10,12,14,2,22,3,9,21,29,30,5,20
12,7,3,6,26,10,27,17,16,30,14,15,22,0,5,23,33,24,32,18,31,9,11,13,1,21,2,8,20,28,29,4,19,12,7,3,6,26,10,27,17,16,30,14,15,22,0,5,23,33,24,32,18,31,9,11,13,1,21,2,8,20,28,29,4,19
11,6,2,5,25,9,33,16,15,29,13,14,21,32,4,22,24,23,31,17,30,8,10,12,0,20,1,7,19,27,28,3,18,11,6,2,5,25,9,33,16,15,29,13,14,21,32,4,22,24,23,31,17,30,8,10,12,0,20,1,7,19,27,28,3,18
10,5,1,4,24,8,25,15,14,28,12,13,20,31,3,21,23,22,30,16,29,7,9,11,32,19,0,6,18,26,33,2,17,10,5,1,4,24,8,25,15,14,28,12,13,20,31,3,21,23,22,30,16,29,7,9,11,32,19,0,6,18,26,33,2,17
9,4,0,3,23,7,24,14,13,27,11,12,19,30,2,20,22,21,29,15,33,6,8,10,31,18,32,5,17,25,26,1,16,9,4,0,3,23,7,24,14,13,27,11,12,19,30,2,20,22,21,29,15,33,6,8,10,31,18,32,5,17,25,26,1,16
8,3,32,2,22,6,23,13,12,26,10,11,18,33,1,19,21,20,28,14,27,5,7,9,30,17,31,4,16,24,25,0,15,8,3,32,2,22,6,23,13,12,26,10,11,18,33,1,19,21,20,28,14,27,5,7,9,30,17,31,4,16,24,25,0,15
7,2,31,1,21,5,22,12,11,25,9,10,17,28,0,18,20,19,27,13,26,4,6,8,29,16,33,3,15,23,24,32,14,7,2,31,1,21,5,22,12,11,25,9,10,17,28,0,18,20,19,27,13,26,4,6,8,29,16,33,3,15,23,24,32,14
6,1,30,0,20,4,21,11,10,24,8,9,16,27,32,17,19,18,26,12,25,3,5,7,28,15,29,2,14,22,23,33,13,6,1,30,0,20,4,21,11,10,24,8,9,16,27,32,17,19,18,26,12,25,3,5,7,28,15,29,2,14,22,23,33,13
5,0,29,33,19,3,20,10,9,23,7,8,15,26,31,16,18,17,25,11,24,2,4,6,27,14,28,1,13,21,22,30,12,5,0,29,33,19,3,20,10,9,23,7,8,15,26,31,16,18,17,25,11,24,2,4,6,27,14,28,1,13,21,22,30,12
2,16,14,32,9,1,26,21,4,11,3,20,7,29,15,24,25,8,12,5,28,17,18,19,13,23,30,0,6,10,27,31,22,2,16,14,32,9,1,26,21,4,11,3,20,7,29,15,24,25,8,12,5,28,17,18,19,13,23,30,0,6,10,27,31,22
