0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
20,8,6,25,32,28,12,26,21,36,4,24,17,22,10,14,15,33,2,11,19,13,34,7,9,5,3,18,16,29,37,27,35,30,1,23,31,20,8,6,25,32,28,12,26,21,36,4,24,17,22,10,14,15,33,2,11,19,13,34,7,9,5,3,18,16,29,37,27,35,30,1,23,31
19,7,5,24,31,27,11,25,20,35,3,23,16,21,9,13,14,32,37,10,18,12,33,6,8,4,2,17,15,28,36,26,34,29,0,22,30,19,7,5,24,31,27,11,25,20,35,3,23,16,21,9,13,14,32,37,10,18,12,33,6,8,4,2,17,15,28,36,26,34,29,0,22,30
18,6,4,23,30,26,10,24,19,34,37,22,15,20,8,12,13,31,0,9,17,11,32,5,7,3,1,16,14,27,35,25,33,28,36,21,29,18,6,4,23,30,26,10,24,19,34,37,22,15,20,8,12,13,31,0,9,17,11,32,5,7,3,1,16,14,27,35,25,33,28,36,21,29
17,5,37,22,29,25,9,23,18,33,1,21,14,19,7,11,12,30,36,8,16,10,31,4,6,2,0,15,13,26,34,24,32,27,35,20,28,17,5,37,22,29,25,9,23,18,33,1,21,14,19,7,11,12,30,36,8,16,10,31,4,6,2,0,15,13,26,34,24,32,27,35,20,28
16,37,2,21,28,24,8,22,17,32,0,20,13,18,6,10,11,29,35,7,15,9,30,3,5,1,36,14,12,25,33,23,31,26,34,19,27,16,37,2,21,28,24,8,22,17,32,0,20,13,18,6,10,11,29,35,7,15,9,30,3,5,1,36,14,12,25,33,23,31,26,34,19,27
15,3,1,20,27,23,7,21,16,31,36,19,12,17,37,9,10,28,34,6,14,8,29,2,4,0,35,13,11,24,32,22,30,25,33,18,26,15,3,1,20,27,23,7,21,16,31,36,19,12,17,37,9,10,28,34,6,14,8,29,2,4,0,35,13,11,24,32,22,30,25,33,18,26
14,2,0,19,26,22,37,20,15,30,35,18,11,16,4,8,9,27,33,5,13,7,28,1,3,36,34,12,10,23,31,21,29,24,32,17,25,14,2,0,19,26,22,37,20,15,30,35,18,11,16,4,8,9,27,33,5,13,7,28,1,3,36,34,12,10,23,31,21,29,24,32,17,25
13,1,36,18,25,21,5,19,14,29,34,17,10,15,3,37,8,26,32,4,12,6,27,0,2,35,33,11,9,22,30,20,28,23,31,16,24,13,1,36,18,25,21,5,19,14,29,34,17,10,15,3,37,8,26,32,4,12,6,27,0,2,35,33,11,9,22,30,20,28,23,31,16,24
12,0,35,17,24,20,4,18,13,28,33,16,9,14,2,6,7,25,31,3,11,5,26,36,1,34,32,10,37,21,29,19,27,22,30,15,23,12,0,35,17,24,20,4,18,13,28,33,16,9,14,2,6,7,25,31,3,11,5,26,36,1,34,32,10,37,21,29,19,27,22,30,15,23
11,36,34,16,23,19,3,17,12,27,32,15,8,13,1,5,6,24,30,2,10,4,25,35,0,33,31,37,7,20,28,18,26,21,29,14,22,11,36,34,16,23,19,3,17,12,27,32,15,8,13,1,5,6,24,30,2,10,4,25,35,0,33,31,37,7,20,28,18,26,21,29,14,22
37,35,33,15,22,18,2,16,11,26,31,14,7,12,0,4,5,23,29,1,9,3,24,34,36,32,30,8,6,19,27,17,25,20,28,13,21,37,35,33,15,22,18,2,16,11,26,31,14,7,12,0,4,5,23,29,1,9,3,24,34,36,32,30,8,6,19,27,17,25,20,28,13,21
9,34,32,14,21,17,1,15,10,25,30,13,6,37,36,3,4,22,28,0,8,2,23,33,35,31,29,7,5,18,26,16,24,19,27,12,20,9,34,32,14,21,17,1,15,10,25,30,13,6,37,36,3,4,22,28,0,8,2,23,33,35,31,29,7,5,18,26,16,24,19,27,12,20
8,33,31,13,20,16,0,14,9,24,29,37,5,10,35,2,3,21,27,36,7,1,22,32,34,30,28,6,4,17,25,15,23,18,26,11,19,8,33,31,13,20,16,0,14,9,24,29,37,5,10,35,2,3,21,27,36,7,1,22,32,34,30,28,6,4,17,25,15,23,18,26,11,19
7,32,30,12,19,15,36,37,8,23,28,11,4,9,34,1,2,20,26,35,6,0,21,31,33,29,27,5,3,16,24,14,22,17,25,10,18,7,32,30,12,19,15,36,37,8,23,28,11,4,9,34,1,2,20,26,35,6,0,21,31,33,29,27,5,3,16,24,14,22,17,25,10,18
6,31,29,11,18,37,35,12,7,22,27,10,3,8,33,0,1,19,25,34,5,36,20,30,32,28,26,4,2,15,23,13,21,16,24,9,17,6,31,29,11,18,37,35,12,7,22,27,10,3,8,33,0,1,19,25,34,5,36,20,30,32,28,26,4,2,15,23,13,21,16,24,9,17
5,30,28,10,17,13,34,11,6,21,26,9,2,7,32,36,0,18,24,33,4,35,19,29,31,27,25,3,1,14,22,12,20,37,23,8,16,5,30,28,10,17,13,34,11,6,21,26,9,2,7,32,36,0,18,24,33,4,35,19,29,31,27,25,3,1,14,22,12,20,37,23,8,16
4,29,27,9,37,12,33,10,5,20,25,8,1,6,31,35,36,17,23,32,3,34,18,28,30,26,24,2,0,13,21,11,19,14,22,7,15,4,29,27,9,37,12,33,10,5,20,25,8,1,6,31,35,36,17,23,32,3,34,18,28,30,26,24,2,0,13,21,11,19,14,22,7,15
3,28,26,8,15,11,32,9,4,19,24,7,0,5,30,34,35,16,22,31,2,33,37,27,29,25,23,1,36,12,20,10,18,13,21,6,14,3,28,26,8,15,11,32,9,4,19,24,7,0,5,30,34,35,16,22,31,2,33,37,27,29,25,23,1,36,12,20,10,18,13,21,6,14
2,27,25,7,14,10,31,8,3,37,23,6,36,4,29,33,34,15,21,30,1,32,16,26,28,24,22,0,35,11,19,9,17,12,20,5,13,2,27,25,7,14,10,31,8,3,37,23,6,36,4,29,33,34,15,21,30,1,32,16,26,28,24,22,0,35,11,19,9,17,12,20,5,13
1,26,24,6,13,9,30,7,2,17,22,5,35,3,28,32,33,14,20,29,0,31,15,25,27,23,21,36,34,10,18,8,16,11,37,4,12,1,26,24,6,13,9,30,7,2,17,22,5,35,3,28,32,33,14,20,29,0,31,15,25,27,23,21,36,34,10,18,8,16,11,37,4,12
0,25,23,5,12,8,29,6,1,16,21,4,34,2,27,31,32,13,19,28,36,30,14,24,26,22,37,35,33,9,17,7,15,10,18,3,11,0,25,23,5,12,8,29,6,1,16,21,4,34,2,27,31,32,13,19,28,36,30,14,24,26,22,37,35,33,9,17,7,15,10,18,3,11
36,24,22,4,11,7,28,5,0,15,20,3,33,1,26,30,31,12,18,27,35,29,13,23,25,37,19,34,32,8,16,6,14,9,17,2,10,36,24,22,4,11,7,28,5,0,15,20,3,33,1,26,30,31,12,18,27,35,29,13,23,25,37,19,34,32,8,16,6,14,9,17,2,10
35,23,21,3,10,6,27,4,36,14,19,2,32,0,25,29,30,11,17,26,34,28,12,37,24,20,18,33,31,7,15,5,13,8,16,1,9,35,23,21,3,10,6,27,4,36,14,19,2,32,0,25,29,30,11,17,26,34,28,12,37,24,20,18,33,31,7,15,5,13,8,16,1,9
34,22,20,2,9,5,26,3,35,13,18,1,31,36,24,28,29,10,16,25,33,27,11,21,37,19,17,32,30,6,14,4,12,7,15,0,8,34,22,20,2,9,5,26,3,35,13,18,1,31,36,24,28,29,10,16,25,33,27,11,21,37,19,17,32,30,6,14,4,12,7,15,0,8
33,21,19,1,8,4,25,2,34,12,17,0,30,35,23,27,28,9,15,37,32,26,10,20,22,18,16,31,29,5,13,3,11,6,14,36,7,33,21,19,1,8,4,25,2,34,12,17,0,30,35,23,27,28,9,15,37,32,26,10,20,22,18,16,31,29,5,13,3,11,6,14,36,7
32,20,18,0,7,3,24,1,33,11,16,36,29,34,22,26,27,8,14,23,31,37,9,19,21,17,15,30,28,4,12,2,10,5,13,35,6,32,20,18,0,7,3,24,1,33,11,16,36,29,34,22,26,27,8,14,23,31,37,9,19,21,17,15,30,28,4,12,2,10,5,13,35,6
31,19,17,36,6,2,23,0,32,10,15,35,28,33,21,25,37,7,13,22,30,24,8,18,20,16,14,29,27,3,11,1,9,4,12,34,5,31,19,17,36,6,2,23,0,32,10,15,35,28,33,21,25,37,7,13,22,30,24,8,18,20,16,14,29,27,3,11,1,9,4,12,34,5
30,18,16,35,5,1,22,36,31,9,14,34,37,32,20,24,25,6,12,21,29,23,7,17,19,15,13,28,26,2,10,0,8,3,11,33,4,30,18,16,35,5,1,22,36,31,9,14,34,37,32,20,24,25,6,12,21,29,23,7,17,19,15,13,28,26,2,10,0,8,3,11,33,4
29,17,15,34,4,0,21,35,30,8,13,33,26,31,19,23,24,5,11,20,37,22,6,16,18,14,12,27,25,1,9,36,7,2,10,32,3,29,17,15,34,4,0,21,35,30,8,13,33,26,31,19,23,24,5,11,20,37,22,6,16,18,14,12,27,25,1,9,36,7,2,10,32,3
28,16,14,33,3,36,20,34,37,7,12,32,25,30,18,22,23,4,10,19,27,21,5,15,17,13,11,26,24,0,8,35,6,1,9,31,2,28,16,14,33,3,36,20,34,37,7,12,32,25,30,18,22,23,4,10,19,27,21,5,15,17,13,11,26,24,0,8,35,6,1,9,31,2
27,15,13,32,2,35,19,33,28,6,11,31,24,29,17,21,22,3,9,18,26,20,4,14,16,12,10,25,23,36,7,34,5,0,8,37,1,27,15,13,32,2,35,19,33,28,6,11,31,24,29,17,21,22,3,9,18,26,20,4,14,16,12,10,25,23,36,7,34,5,0,8,37,1
26,14,12,37,1,34,18,32,27,5,10,30,23,28,16,20,21,2,8,17,25,19,3,13,15,11,9,24,22,35,6,33,4,36,7,29,0,26,14,12,37,1,34,18,32,27,5,10,30,23,28,16,20,21,2,8,17,25,19,3,13,15,11,9,24,22,35,6,33,4,36,7,29,0
25,13,11,30,0,33,17,31,26,4,9,29,22,27,15,19,20,1,7,16,24,18,2,12,14,10,8,23,21,34,5,37,3,35,6,28,36,25,13,11,30,0,33,17,31,26,4,9,29,22,27,15,19,20,1,7,16,24,18,2,12,14,10,8,23,21,34,5,37,3,35,6,28,36
24,12,10,29,36,32,16,30,25,3,8,28,21,26,14,18,19,0,6,15,23,17,1,11,13,9,7,22,20,37,4,31,2,34,5,27,35,24,12,10,29,36,32,16,30,25,3,8,28,21,26,14,18,19,0,6,15,23,17,1,11,13,9,7,22,20,37,4,31,2,34,5,27,35
23,11,9,28,35,31,15,29,24,2,7,27,20,25,13,17,18,36,5,14,22,16,0,10,12,8,6,21,19,32,3,30,1,33,4,26,37,23,11,9,28,35,31,15,29,24,2,7,27,20,25,13,17,18,36,5,14,22,16,0,10,12,8,6,21,19,32,3,30,1,33,4,26,37
22,10,8,27,34,30,14,28,23,1,6,26,19,24,12,16,17,37,4,13,21,15,36,9,11,7,5,20,18,31,2,29,0,32,3,25,33,22,10,8,27,34,30,14,28,23,1,6,26,19,24,12,16,17,37,4,13,21,15,36,9,11,7,5,20,18,31,2,29,0,32,3,25,33
21,9,7,26,33,29,13,27,22,0,5,25,18,23,11,15,16,34,3,12,20,14,35,8,10,6,4,19,17,30,1,28,37,31,2,24,32,21,9,7,26,33,29,13,27,22,0,5,25,18,23,11,15,16,34,3,12,20,14,35,8,10,6,4,19,17,30,1,28,37,31,2,24,32
10,4,3,31,16,14,6,13,29,18,2,12,27,11,5,7,26,35,1,24,28,25,17,22,23,21,20,9,8,33,0,32,36,15,19,30,34,10,4,3,31,16,14,6,13,29,18,2,12,27,11,5,7,26,35,1,24,28,25,17,22,23,21,20,9,8,33,0,32,36,15,19,30,34
