0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
38,18,15,1,24,33,25,37,3,19,26,12,23,39,6,36,5,29,30,11,27,8,34,20,28,16,22,14,9,2,32,4,13,17,7,35,31,21,10,38,18,15,1,24,33,25,37,3,19,26,12,23,39,6,36,5,29,30,11,27,8,34,20,28,16,22,14,9,2,32,4,13,17,7,35,31,21,10
37,17,14,0,23,32,24,36,2,18,25,11,22,38,5,35,4,28,29,10,26,7,33,19,27,15,21,13,8,39,31,3,12,16,6,34,30,20,9,37,17,14,0,23,32,24,36,2,18,25,11,22,38,5,35,4,28,29,10,26,7,33,19,27,15,21,13,8,39,31,3,12,16,6,34,30,20,9
36,16,13,38,22,31,23,35,1,17,24,10,21,37,4,34,3,27,28,9,25,6,32,18,26,14,20,12,7,0,30,39,11,15,5,33,29,19,8,36,16,13,38,22,31,23,35,1,17,24,10,21,37,4,34,3,27,28,9,25,6,32,18,26,14,20,12,7,0,30,39,11,15,5,33,29,19,8
35,15,12,37,21,30,22,34,0,16,23,9,20,36,39,33,2,26,27,8,24,5,31,17,25,13,19,11,6,38,29,1,10,14,4,32,28,18,7,35,15,12,37,21,30,22,34,0,16,23,9,20,36,39,33,2,26,27,8,24,5,31,17,25,13,19,11,6,38,29,1,10,14,4,32,28,18,7
34,14,11,36,20,29,21,33,38,15,22,8,19,35,2,32,1,25,26,7,23,39,30,16,24,12,18,10,5,37,28,0,9,13,3,31,27,17,6,34,14,11,36,20,29,21,33,38,15,22,8,19,35,2,32,1,25,26,7,23,39,30,16,24,12,18,10,5,37,28,0,9,13,3,31,27,17,6
33,13,10,35,19,28,20,32,37,14,21,7,18,34,1,31,0,24,25,6,22,3,29,15,23,11,17,9,4,36,27,38,8,12,2,30,26,16,39,33,13,10,35,19,28,20,32,37,14,21,7,18,34,1,31,0,24,25,6,22,3,29,15,23,11,17,9,4,36,27,38,8,12,2,30,26,16,39
32,12,9,34,18,27,19,31,36,13,20,39,17,33,0,30,38,23,24,5,21,2,28,14,22,10,16,8,3,35,26,37,7,11,1,29,25,15,4,32,12,9,34,18,27,19,31,36,13,20,39,17,33,0,30,38,23,24,5,21,2,28,14,22,10,16,8,3,35,26,37,7,11,1,29,25,15,4
31,11,8,33,17,26,18,30,35,12,19,5,16,32,38,29,37,22,23,4,20,1,27,13,21,9,15,39,2,34,25,36,6,10,0,28,24,14,3,31,11,8,33,17,26,18,30,35,12,19,5,16,32,38,29,37,22,23,4,20,1,27,13,21,9,15,39,2,34,25,36,6,10,0,28,24,14,3
30,10,7,32,16,25,17,29,34,11,18,4,15,31,37,28,36,21,22,3,19,0,26,12,20,39,14,6,1,33,24,35,5,9,38,27,23,13,2,30,10,7,32,16,25,17,29,34,11,18,4,15,31,37,28,36,21,22,3,19,0,26,12,20,39,14,6,1,33,24,35,5,9,38,27,23,13,2
29,39,6,31,15,24,16,28,33,10,17,3,14,30,36,27,35,20,21,2,18,38,25,11,19,7,13,5,0,32,23,34,4,8,37,26,22,12,1,29,39,6,31,15,24,16,28,33,10,17,3,14,30,36,27,35,20,21,2,18,38,25,11,19,7,13,5,0,32,23,34,4,8,37,26,22,12,1
28,8,5,30,14,23,15,27,32,9,16,2,13,29,35,26,34,19,20,1,17,37,24,39,18,6,12,4,38,31,22,33,3,7,36,25,21,11,0,28,8,5,30,14,23,15,27,32,9,16,2,13,29,35,26,34,19,20,1,17,37,24,39,18,6,12,4,38,31,22,33,3,7,36,25,21,11,0
27,7,4,29,13,22,14,26,31,8,15,1,12,28,34,25,33,18,19,0,16,36,23,9,17,5,39,3,37,30,21,32,2,6,35,24,20,10,38,27,7,4,29,13,22,14,26,31,8,15,1,12,28,34,25,33,18,19,0,16,36,23,9,17,5,39,3,37,30,21,32,2,6,35,24,20,10,38
26,6,3,28,39,21,13,25,30,7,14,0,11,27,33,24,32,17,18,38,15,35,22,8,16,4,10,2,36,29,20,31,1,5,34,23,19,9,37,26,6,3,28,39,21,13,25,30,7,14,0,11,27,33,24,32,17,18,38,15,35,22,8,16,4,10,2,36,29,20,31,1,5,34,23,19,9,37
25,5,2,27,11,20,12,24,29,6,39,38,10,26,32,23,31,16,17,37,14,34,21,7,15,3,9,1,35,28,19,30,0,4,33,22,18,8,36,25,5,2,27,11,20,12,24,29,6,39,38,10,26,32,23,31,16,17,37,14,34,21,7,15,3,9,1,35,28,19,30,0,4,33,22,18,8,36
24,4,1,26,10,19,11,23,28,5,12,37,9,25,31,22,30,15,16,36,13,33,20,6,39,2,8,0,34,27,18,29,38,3,32,21,17,7,35,24,4,1,26,10,19,11,23,28,5,12,37,9,25,31,22,30,15,16,36,13,33,20,6,39,2,8,0,34,27,18,29,38,3,32,21,17,7,35
23,3,0,25,9,18,10,22,27,4,11,36,8,24,30,21,29,14,39,35,12,32,19,5,13,1,7,38,33,26,17,28,37,2,31,20,16,6,34,23,3,0,25,9,18,10,22,27,4,11,36,8,24,30,21,29,14,39,35,12,32,19,5,13,1,7,38,33,26,17,28,37,2,31,20,16,6,34
22,2,38,24,8,17,9,21,26,3,10,35,7,23,29,20,28,13,14,34,11,31,18,4,12,0,6,37,32,25,39,27,36,1,30,19,15,5,33,22,2,38,24,8,17,9,21,26,3,10,35,7,23,29,20,28,13,14,34,11,31,18,4,12,0,6,37,32,25,39,27,36,1,30,19,15,5,33
21,1,37,23,7,16,8,20,25,2,9,34,6,22,28,19,27,12,13,33,10,30,39,3,11,38,5,36,31,24,15,26,35,0,29,18,14,4,32,21,1,37,23,7,16,8,20,25,2,9,34,6,22,28,19,27,12,13,33,10,30,39,3,11,38,5,36,31,24,15,26,35,0,29,18,14,4,32
20,0,36,22,6,15,7,19,24,1,8,33,5,21,27,39,26,11,12,32,9,29,16,2,10,37,4,35,30,23,14,25,34,38,28,17,13,3,31,20,0,36,22,6,15,7,19,24,1,8,33,5,21,27,39,26,11,12,32,9,29,16,2,10,37,4,35,30,23,14,25,34,38,28,17,13,3,31
39,38,35,21,5,14,6,18,23,0,7,32,4,20,26,17,25,10,11,31,8,28,15,1,9,36,3,34,29,22,13,24,33,37,27,16,12,2,30,39,38,35,21,5,14,6,18,23,0,7,32,4,20,26,17,25,10,11,31,8,28,15,1,9,36,3,34,29,22,13,24,33,37,27,16,12,2,30
18,37,34,39,4,13,5,17,22,38,6,31,3,19,25,16,24,9,10,30,7,27,14,0,8,35,2,33,28,21,12,23,32,36,26,15,11,1,29,18,37,34,39,4,13,5,17,22,38,6,31,3,19,25,16,24,9,10,30,7,27,14,0,8,35,2,33,28,21,12,23,32,36,26,15,11,1,29
17,36,33,19,3,12,4,16,39,37,5,30,2,18,24,15,23,8,9,29,6,26,13,38,7,34,1,32,27,20,11,22,31,35,25,14,10,0,28,17,36,33,19,3,12,4,16,39,37,5,30,2,18,24,15,23,8,9,29,6,26,13,38,7,34,1,32,27,20,11,22,31,35,25,14,10,0,28
16,35,32,18,2,11,3,15,20,36,4,29,1,17,23,14,39,7,8,28,5,25,12,37,6,33,0,31,26,19,10,21,30,34,24,13,9,38,27,16,35,32,18,2,11,3,15,20,36,4,29,1,17,23,14,39,7,8,28,5,25,12,37,6,33,0,31,26,19,10,21,30,34,24,13,9,38,27
15,34,31,17,1,10,2,14,19,35,3,28,0,16,22,13,21,6,7,27,4,24,11,36,5,32,38,30,25,18,9,20,29,33,39,12,8,37,26,15,34,31,17,1,10,2,14,19,35,3,28,0,16,22,13,21,6,7,27,4,24,11,36,5,32,38,30,25,18,9,20,29,33,39,12,8,37,26
14,33,30,16,0,9,1,13,18,34,2,27,38,15,21,12,20,5,6,26,3,23,10,35,4,31,37,29,39,17,8,19,28,32,22,11,7,36,25,14,33,30,16,0,9,1,13,18,34,2,27,38,15,21,12,20,5,6,26,3,23,10,35,4,31,37,29,39,17,8,19,28,32,22,11,7,36,25
13,32,29,15,38,8,0,12,17,33,1,26,37,14,20,11,19,4,5,39,2,22,9,34,3,30,36,28,23,16,7,18,27,31,21,10,6,35,24,13,32,29,15,38,8,0,12,17,33,1,26,37,14,20,11,19,4,5,39,2,22,9,34,3,30,36,28,23,16,7,18,27,31,21,10,6,35,24
12,31,28,14,37,7,38,11,16,32,0,25,36,13,19,10,18,3,4,24,1,21,8,33,2,29,35,27,22,15,6,17,39,30,20,9,5,34,23,12,31,28,14,37,7,38,11,16,32,0,25,36,13,19,10,18,3,4,24,1,21,8,33,2,29,35,27,22,15,6,17,39,30,20,9,5,34,23
11,30,39,13,36,6,37,10,15,31,38,24,35,12,18,9,17,2,3,23,0,20,7,32,1,28,34,26,21,14,5,16,25,29,19,8,4,33,22,11,30,39,13,36,6,37,10,15,31,38,24,35,12,18,9,17,2,3,23,0,20,7,32,1,28,34,26,21,14,5,16,25,29,19,8,4,33,22
10,29,26,12,35,5,36,9,14,30,37,23,34,11,17,8,16,1,2,22,38,19,6,31,0,27,33,25,20,13,4,15,24,39,18,7,3,32,21,10,29,26,12,35,5,36,9,14,30,37,23,34,11,17,8,16,1,2,22,38,19,6,31,0,27,33,25,20,13,4,15,24,39,18,7,3,32,21
9,28,25,11,34,4,35,8,13,39,36,22,33,10,16,7,15,0,1,21,37,18,5,30,38,26,32,24,19,12,3,14,23,27,17,6,2,31,20,9,28,25,11,34,4,35,8,13,39,36,22,33,10,16,7,15,0,1,21,37,18,5,30,38,26,32,24,19,12,3,14,23,27,17,6,2,31,20
8,27,24,10,33,3,34,7,12,28,35,21,32,9,15,6,14,38,0,20,36,17,4,29,37,25,31,23,18,11,2,13,22,26,16,5,1,39,19,8,27,24,10,33,3,34,7,12,28,35,21,32,9,15,6,14,38,0,20,36,17,4,29,37,25,31,23,18,11,2,13,22,26,16,5,1,39,19
