0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
22,4,9,11,8,5,14,17,23,28,24,3,29,2,21,26,6,10,19,27,16,20,18,15,12,25,7,13,1,22,4,9,11,8,5,14,17,23,28,24,3,29,2,21,26,6,10,19,27,16,20,18,15,12,25,7,13,1
21,3,8,10,7,4,13,16,22,27,23,2,28,29,20,25,5,9,18,26,15,19,17,14,11,24,6,12,0,21,3,8,10,7,4,13,16,22,27,23,2,28,29,20,25,5,9,18,26,15,19,17,14,11,24,6,12,0
20,29,7,9,6,3,12,15,21,26,22,1,27,0,19,24,4,8,17,25,14,18,16,13,10,23,5,11,28,20,29,7,9,6,3,12,15,21,26,22,1,27,0,19,24,4,8,17,25,14,18,16,13,10,23,5,11,28
19,1,6,8,5,2,11,14,20,25,21,0,26,28,18,23,29,7,16,24,13,17,15,12,9,22,4,10,27,19,1,6,8,5,2,11,14,20,25,21,0,26,28,18,23,29,7,16,24,13,17,15,12,9,22,4,10,27
18,0,5,7,29,1,10,13,19,24,20,28,25,27,17,22,2,6,15,23,12,16,14,11,8,21,3,9,26,18,0,5,7,29,1,10,13,19,24,20,28,25,27,17,22,2,6,15,23,12,16,14,11,8,21,3,9,26
17,28,4,6,3,0,9,12,18,23,19,27,24,26,16,21,1,29,14,22,11,15,13,10,7,20,2,8,25,17,28,4,6,3,0,9,12,18,23,19,27,24,26,16,21,1,29,14,22,11,15,13,10,7,20,2,8,25
16,27,3,5,2,28,8,11,17,22,18,26,23,25,15,20,0,4,13,21,10,14,12,9,29,19,1,7,24,16,27,3,5,2,28,8,11,17,22,18,26,23,25,15,20,0,4,13,21,10,14,12,9,29,19,1,7,24
15,26,2,4,1,27,29,10,16,21,17,25,22,24,14,19,28,3,12,20,9,13,11,8,5,18,0,6,23,15,26,2,4,1,27,29,10,16,21,17,25,22,24,14,19,28,3,12,20,9,13,11,8,5,18,0,6,23
14,25,1,3,0,26,6,9,15,20,16,24,21,23,13,18,27,2,11,19,29,12,10,7,4,17,28,5,22,14,25,1,3,0,26,6,9,15,20,16,24,21,23,13,18,27,2,11,19,29,12,10,7,4,17,28,5,22
13,24,0,2,28,25,5,8,14,19,15,23,20,22,12,17,26,1,10,18,7,11,29,6,3,16,27,4,21,13,24,0,2,28,25,5,8,14,19,15,23,20,22,12,17,26,1,10,18,7,11,29,6,3,16,27,4,21
12,23,28,1,27,24,4,7,13,18,14,22,19,21,11,16,25,0,9,17,6,29,8,5,2,15,26,3,20,12,23,28,1,27,24,4,7,13,18,14,22,19,21,11,16,25,0,9,17,6,29,8,5,2,15,26,3,20
29,22,27,0,26,23,3,6,12,17,13,21,18,20,10,15,24,28,8,16,5,9,7,4,1,14,25,2,19,29,22,27,0,26,23,3,6,12,17,13,21,18,20,10,15,24,28,8,16,5,9,7,4,1,14,25,2,19
10,21,26,28,25,22,2,5,11,16,29,20,17,19,9,14,23,27,7,15,4,8,6,3,0,13,24,1,18,10,21,26,28,25,22,2,5,11,16,29,20,17,19,9,14,23,27,7,15,4,8,6,3,0,13,24,1,18
9,20,25,27,24,21,1,4,10,15,11,19,16,18,8,29,22,26,6,14,3,7,5,2,28,12,23,0,17,9,20,25,27,24,21,1,4,10,15,11,19,16,18,8,29,22,26,6,14,3,7,5,2,28,12,23,0,17
