0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
8,14,2,7,12,6,4,16,17,10,15,5,3,11,1,9,13,8,14,2,7,12,6,4,16,17,10,15,5,3,11,1,9,13
7,13,17,6,11,5,3,15,16,9,14,4,2,10,0,8,12,7,13,17,6,11,5,3,15,16,9,14,4,2,10,0,8,12
6,12,0,5,10,4,17,14,15,8,13,3,1,9,16,7,11,6,12,0,5,10,4,17,14,15,8,13,3,1,9,16,7,11
5,11,16,4,9,17,1,13,14,7,12,2,0,8,15,6,10,5,11,16,4,9,17,1,13,14,7,12,2,0,8,15,6,10
17,10,15,3,8,2,0,12,13,6,11,1,16,7,14,5,9,17,10,15,3,8,2,0,12,13,6,11,1,16,7,14,5,9
3,9,14,2,7,1,16,11,12,17,10,0,15,6,13,4,8,3,9,14,2,7,1,16,11,12,17,10,0,15,6,13,4,8
2,8,13,1,17,0,15,10,11,4,9,16,14,5,12,3,7,2,8,13,1,17,0,15,10,11,4,9,16,14,5,12,3,7
1,17,12,0,5,16,14,9,10,3,8,15,13,4,11,2,6,1,17,12,0,5,16,14,9,10,3,8,15,13,4,11,2,6
0,6,11,16,4,15,13,17,9,2,7,14,12,3,10,1,5,0,6,11,16,4,15,13,17,9,2,7,14,12,3,10,1,5
16,5,10,15,3,14,12,7,8,1,6,13,11,2,17,0,4,16,5,10,15,3,14,12,7,8,1,6,13,11,2,17,0,4
15,4,9,14,2,13,11,6,7,0,5,12,17,1,8,16,3,15,4,9,14,2,13,11,6,7,0,5,12,17,1,8,16,3
14,3,8,13,1,12,10,5,6,16,4,17,9,0,7,15,2,14,3,8,13,1,12,10,5,6,16,4,17,9,0,7,15,2
13,2,7,17,0,11,9,4,5,15,3,10,8,16,6,14,1,13,2,7,17,0,11,9,4,5,15,3,10,8,16,6,14,1
12,1,6,11,16,10,8,3,4,14,2,9,7,15,5,17,0,12,1,6,11,16,10,8,3,4,14,2,9,7,15,5,17,0
11,0,5,10,15,9,7,2,3,13,1,8,6,17,4,12,16,11,0,5,10,15,9,7,2,3,13,1,8,6,17,4,12,16
10,16,4,9,14,8,6,1,2,12,0,7,5,13,3,11,17,10,16,4,9,14,8,6,1,2,12,0,7,5,13,3,11,17
9,15,3,8,13,7,5,0,1,11,17,6,4,12,2,10,14,9,15,3,8,13,7,5,0,1,11,17,6,4,12,2,10,14
4,7,1,12,6,3,2,8,0,5,16,11,10,14,9,13,15,4,7,1,12,6,3,2,8,0,5,16,11,10,14,9,13,15
