0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
20,4,10,11,8,25,13,24,18,5,6,3,16,14,27,21,26,7,1,9,19,17,22,12,2,15,23,20,4,10,11,8,25,13,24,18,5,6,3,16,14,27,21,26,7,1,9,19,17,22,12,2,15,23
19,3,9,10,7,24,12,23,17,4,5,2,15,13,26,20,25,6,0,8,18,16,21,11,27,14,22,19,3,9,10,7,24,12,23,17,4,5,2,15,13,26,20,25,6,0,8,18,16,21,11,27,14,22
18,27,8,9,6,23,11,22,16,3,4,1,14,12,25,19,24,5,26,7,17,15,20,10,0,13,21,18,27,8,9,6,23,11,22,16,3,4,1,14,12,25,19,24,5,26,7,17,15,20,10,0,13,21
17,1,7,8,5,22,10,21,15,2,27,0,13,11,24,18,23,4,25,6,16,14,19,9,26,12,20,17,1,7,8,5,22,10,21,15,2,27,0,13,11,24,18,23,4,25,6,16,14,19,9,26,12,20
16,0,6,7,27,21,9,20,14,1,2,26,12,10,23,17,22,3,24,5,15,13,18,8,25,11,19,16,0,6,7,27,21,9,20,14,1,2,26,12,10,23,17,22,3,24,5,15,13,18,8,25,11,19
15,26,27,6,3,20,8,19,13,0,1,25,11,9,22,16,21,2,23,4,14,12,17,7,24,10,18,15,26,27,6,3,20,8,19,13,0,1,25,11,9,22,16,21,2,23,4,14,12,17,7,24,10,18
14,25,4,5,2,19,7,18,12,26,0,24,10,8,21,15,20,1,22,3,13,11,16,27,23,9,17,14,25,4,5,2,19,7,18,12,26,0,24,10,8,21,15,20,1,22,3,13,11,16,27,23,9,17
13,24,3,4,1,18,6,17,11,25,26,23,9,27,20,14,19,0,21,2,12,10,15,5,22,8,16,13,24,3,4,1,18,6,17,11,25,26,23,9,27,20,14,19,0,21,2,12,10,15,5,22,8,16
12,23,2,3,0,17,5,16,10,24,25,22,27,6,19,13,18,26,20,1,11,9,14,4,21,7,15,12,23,2,3,0,17,5,16,10,24,25,22,27,6,19,13,18,26,20,1,11,9,14,4,21,7,15
11,22,1,2,26,16,4,15,27,23,24,21,7,5,18,12,17,25,19,0,10,8,13,3,20,6,14,11,22,1,2,26,16,4,15,27,23,24,21,7,5,18,12,17,25,19,0,10,8,13,3,20,6,14
27,21,0,1,25,15,3,14,8,22,23,20,6,4,17,11,16,24,18,26,9,7,12,2,19,5,13,27,21,0,1,25,15,3,14,8,22,23,20,6,4,17,11,16,24,18,26,9,7,12,2,19,5,13
9,20,26,0,24,14,2,13,7,21,22,19,5,3,16,10,15,23,17,25,8,6,27,1,18,4,12,9,20,26,0,24,14,2,13,7,21,22,19,5,3,16,10,15,23,17,25,8,6,27,1,18,4,12
8,19,25,26,23,13,1,27,6,20,21,18,4,2,15,9,14,22,16,24,7,5,10,0,17,3,11,8,19,25,26,23,13,1,27,6,20,21,18,4,2,15,9,14,22,16,24,7,5,10,0,17,3,11
7,18,24,25,22,12,0,11,5,19,20,17,3,1,14,8,27,21,15,23,6,4,9,26,16,2,10,7,18,24,25,22,12,0,11,5,19,20,17,3,1,14,8,27,21,15,23,6,4,9,26,16,2,10
6,17,23,24,21,11,26,10,4,18,19,16,2,0,13,7,12,20,27,22,5,3,8,25,15,1,9,6,17,23,24,21,11,26,10,4,18,19,16,2,0,13,7,12,20,27,22,5,3,8,25,15,1,9
5,16,22,23,20,10,25,9,3,17,18,27,1,26,12,6,11,19,13,21,4,2,7,24,14,0,8,5,16,22,23,20,10,25,9,3,17,18,27,1,26,12,6,11,19,13,21,4,2,7,24,14,0,8
4,15,21,22,19,9,24,8,2,27,17,14,0,25,11,5,10,18,12,20,3,1,6,23,13,26,7,4,15,21,22,19,9,24,8,2,27,17,14,0,25,11,5,10,18,12,20,3,1,6,23,13,26,7
3,14,20,21,18,8,23,7,1,15,16,13,26,24,10,4,9,27,11,19,2,0,5,22,12,25,6,3,14,20,21,18,8,23,7,1,15,16,13,26,24,10,4,9,27,11,19,2,0,5,22,12,25,6
2,13,19,20,17,7,22,6,0,14,15,12,25,23,9,3,8,16,10,27,1,26,4,21,11,24,5,2,13,19,20,17,7,22,6,0,14,15,12,25,23,9,3,8,16,10,27,1,26,4,21,11,24,5
1,12,18,27,16,6,21,5,26,13,14,11,24,22,8,2,7,15,9,17,0,25,3,20,10,23,4,1,12,18,27,16,6,21,5,26,13,14,11,24,22,8,2,7,15,9,17,0,25,3,20,10,23,4
0,11,17,18,15,5,27,4,25,12,13,10,23,21,7,1,6,14,8,16,26,24,2,19,9,22,3,0,11,17,18,15,5,27,4,25,12,13,10,23,21,7,1,6,14,8,16,26,24,2,19,9,22,3
26,10,16,17,14,4,19,3,24,11,12,9,22,20,6,0,5,13,7,15,25,23,1,18,8,27,2,26,10,16,17,14,4,19,3,24,11,12,9,22,20,6,0,5,13,7,15,25,23,1,18,8,27,2
25,9,15,16,13,3,18,2,23,10,11,8,21,19,5,26,4,12,6,14,24,27,0,17,7,20,1,25,9,15,16,13,3,18,2,23,10,11,8,21,19,5,26,4,12,6,14,24,27,0,17,7,20,1
24,8,14,15,12,2,17,1,22,9,10,7,20,18,4,25,3,11,5,13,27,21,26,16,6,19,0,24,8,14,15,12,2,17,1,22,9,10,7,20,18,4,25,3,11,5,13,27,21,26,16,6,19,0
23,7,13,14,11,1,16,0,21,8,9,6,19,17,3,27,2,10,4,12,22,20,25,15,5,18,26,23,7,13,14,11,1,16,0,21,8,9,6,19,17,3,27,2,10,4,12,22,20,25,15,5,18,26
22,6,12,13,10,0,15,26,20,7,8,5,18,16,2,23,1,9,3,11,21,19,24,14,4,17,27,22,6,12,13,10,0,15,26,20,7,8,5,18,16,2,23,1,9,3,11,21,19,24,14,4,17,27
21,5,11,12,9,27,14,25,19,6,7,4,17,15,1,22,0,8,2,10,20,18,23,13,3,16,24,21,5,11,12,9,27,14,25,19,6,7,4,17,15,1,22,0,8,2,10,20,18,23,13,3,16,24
10,2,5,19,4,26,20,12,9,16,3,15,8,7,0,24,13,17,14,18,23,22,11,6,1,21,25,10,2,5,19,4,26,20,12,9,16,3,15,8,7,0,24,13,17,14,18,23,22,11,6,1,21,25
