0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
35,8,9,10,15,4,27,30,25,2,18,20,22,1,32,14,36,26,21,34,29,7,3,31,17,11,13,37,24,12,33,19,28,16,5,23,6,35,8,9,10,15,4,27,30,25,2,18,20,22,1,32,14,36,26,21,34,29,7,3,31,17,11,13,37,24,12,33,19,28,16,5,23,6
34,7,8,9,14,3,26,29,24,37,17,19,21,0,31,13,35,25,20,33,28,6,2,30,16,10,12,36,23,11,32,18,27,15,4,22,5,34,7,8,9,14,3,26,29,24,37,17,19,21,0,31,13,35,25,20,33,28,6,2,30,16,10,12,36,23,11,32,18,27,15,4,22,5
33,6,7,8,13,37,25,28,23,0,16,18,20,36,30,12,34,24,19,32,27,5,1,29,15,9,11,35,22,10,31,17,26,14,3,21,4,33,6,7,8,13,37,25,28,23,0,16,18,20,36,30,12,34,24,19,32,27,5,1,29,15,9,11,35,22,10,31,17,26,14,3,21,4
32,5,6,7,12,1,24,27,22,36,15,17,19,35,29,11,33,23,18,31,26,4,0,28,14,8,10,34,21,9,30,16,25,13,2,20,37,32,5,6,7,12,1,24,27,22,36,15,17,19,35,29,11,33,23,18,31,26,4,0,28,14,8,10,34,21,9,30,16,25,13,2,20,37
31,37,5,6,11,0,23,26,21,35,14,16,18,34,28,10,32,22,17,30,25,3,36,27,13,7,9,33,20,8,29,15,24,12,1,19,2,31,37,5,6,11,0,23,26,21,35,14,16,18,34,28,10,32,22,17,30,25,3,36,27,13,7,9,33,20,8,29,15,24,12,1,19,2
30,3,4,37,10,36,22,25,20,34,13,15,17,33,27,9,31,21,16,29,24,2,35,26,12,6,8,32,19,7,28,14,23,11,0,18,1,30,3,4,37,10,36,22,25,20,34,13,15,17,33,27,9,31,21,16,29,24,2,35,26,12,6,8,32,19,7,28,14,23,11,0,18,1
29,2,3,4,9,35,21,24,19,33,12,14,16,32,26,8,30,20,15,28,23,1,34,25,11,5,7,31,18,37,27,13,22,10,36,17,0,29,2,3,4,9,35,21,24,19,33,12,14,16,32,26,8,30,20,15,28,23,1,34,25,11,5,7,31,18,37,27,13,22,10,36,17,0
28,1,2,3,8,34,20,23,18,32,11,13,15,31,25,37,29,19,14,27,22,0,33,24,10,4,6,30,17,5,26,12,21,9,35,16,36,28,1,2,3,8,34,20,23,18,32,11,13,15,31,25,37,29,19,14,27,22,0,33,24,10,4,6,30,17,5,26,12,21,9,35,16,36
27,0,1,2,7,33,19,22,17,31,10,12,14,30,24,6,28,18,13,26,21,36,32,23,9,3,5,29,16,4,25,11,20,37,34,15,35,27,0,1,2,7,33,19,22,17,31,10,12,14,30,24,6,28,18,13,26,21,36,32,23,9,3,5,29,16,4,25,11,20,37,34,15,35
26,36,0,1,6,32,18,21,16,30,37,11,13,29,23,5,27,17,12,25,20,35,31,22,8,2,4,28,15,3,24,10,19,7,33,14,34,26,36,0,1,6,32,18,21,16,30,37,11,13,29,23,5,27,17,12,25,20,35,31,22,8,2,4,28,15,3,24,10,19,7,33,14,34
25,35,36,0,5,31,17,20,15,29,8,37,12,28,22,4,26,16,11,24,19,34,30,21,7,1,3,27,14,2,23,9,18,6,32,13,33,25,35,36,0,5,31,17,20,15,29,8,37,12,28,22,4,26,16,11,24,19,34,30,21,7,1,3,27,14,2,23,9,18,6,32,13,33
24,34,35,36,4,30,16,19,14,28,7,9,37,27,21,3,25,15,10,23,18,33,29,20,6,0,2,26,13,1,22,8,17,5,31,12,32,24,34,35,36,4,30,16,19,14,28,7,9,37,27,21,3,25,15,10,23,18,33,29,20,6,0,2,26,13,1,22,8,17,5,31,12,32
23,33,34,35,3,29,15,18,13,27,6,8,10,26,20,2,24,14,9,22,17,32,28,19,5,36,1,25,37,0,21,7,16,4,30,11,31,23,33,34,35,3,29,15,18,13,27,6,8,10,26,20,2,24,14,9,22,17,32,28,19,5,36,1,25,37,0,21,7,16,4,30,11,31
22,32,33,34,2,28,14,17,12,26,5,7,9,25,19,1,23,37,8,21,16,31,27,18,4,35,0,24,11,36,20,6,15,3,29,10,30,22,32,33,34,2,28,14,17,12,26,5,7,9,25,19,1,23,37,8,21,16,31,27,18,4,35,0,24,11,36,20,6,15,3,29,10,30
21,31,32,33,1,27,13,16,11,25,4,6,8,24,18,0,22,12,7,20,15,30,26,17,3,34,36,23,10,35,19,5,37,2,28,9,29,21,31,32,33,1,27,13,16,11,25,4,6,8,24,18,0,22,12,7,20,15,30,26,17,3,34,36,23,10,35,19,5,37,2,28,9,29
20,30,31,32,0,26,12,37,10,24,3,5,7,23,17,36,21,11,6,19,14,29,25,16,2,33,35,22,9,34,18,4,13,1,27,8,28,20,30,31,32,0,26,12,37,10,24,3,5,7,23,17,36,21,11,6,19,14,29,25,16,2,33,35,22,9,34,18,4,13,1,27,8,28
19,29,30,31,36,25,11,14,9,23,2,4,6,22,37,35,20,10,5,18,13,28,24,15,1,32,34,21,8,33,17,3,12,0,26,7,27,19,29,30,31,36,25,11,14,9,23,2,4,6,22,37,35,20,10,5,18,13,28,24,15,1,32,34,21,8,33,17,3,12,0,26,7,27
18,28,29,30,35,24,10,13,8,22,1,3,5,21,15,34,19,9,4,37,12,27,23,14,0,31,33,20,7,32,16,2,11,36,25,6,26,18,28,29,30,35,24,10,13,8,22,1,3,5,21,15,34,19,9,4,37,12,27,23,14,0,31,33,20,7,32,16,2,11,36,25,6,26
