0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
5,18,37,40,4,35,15,10,17,7,21,38,28,33,26,29,20,41,27,24,2,30,34,25,9,19,8,12,16,11,36,13,3,1,6,14,22,23,32,39,31,5,18,37,40,4,35,15,10,17,7,21,38,28,33,26,29,20,41,27,24,2,30,34,25,9,19,8,12,16,11,36,13,3,1,6,14,22,23,32,39,31
4,17,36,39,3,34,14,9,16,6,20,37,27,32,25,28,19,40,26,23,41,29,33,24,8,18,7,11,15,10,35,12,2,0,5,13,21,22,31,38,30,4,17,36,39,3,34,14,9,16,6,20,37,27,32,25,28,19,40,26,23,41,29,33,24,8,18,7,11,15,10,35,12,2,0,5,13,21,22,31,38,30
3,16,35,38,41,33,13,8,15,5,19,36,26,31,24,27,18,39,25,22,0,28,32,23,7,17,6,10,14,9,34,11,1,40,4,12,20,21,30,37,29,3,16,35,38,41,33,13,8,15,5,19,36,26,31,24,27,18,39,25,22,0,28,32,23,7,17,6,10,14,9,34,11,1,40,4,12,20,21,30,37,29
2,15,34,37,1,32,12,7,14,4,18,35,25,30,23,26,17,38,24,21,40,27,31,22,6,16,5,9,13,8,33,10,0,39,41,11,19,20,29,36,28,2,15,34,37,1,32,12,7,14,4,18,35,25,30,23,26,17,38,24,21,40,27,31,22,6,16,5,9,13,8,33,10,0,39,41,11,19,20,29,36,28
1,14,33,36,0,31,11,6,13,3,17,34,24,29,22,25,16,37,23,20,39,26,30,21,5,15,41,8,12,7,32,9,40,38,2,10,18,19,28,35,27,1,14,33,36,0,31,11,6,13,3,17,34,24,29,22,25,16,37,23,20,39,26,30,21,5,15,41,8,12,7,32,9,40,38,2,10,18,19,28,35,27
0,13,32,35,40,30,10,41,12,2,16,33,23,28,21,24,15,36,22,19,38,25,29,20,4,14,3,7,11,6,31,8,39,37,1,9,17,18,27,34,26,0,13,32,35,40,30,10,41,12,2,16,33,23,28,21,24,15,36,22,19,38,25,29,20,4,14,3,7,11,6,31,8,39,37,1,9,17,18,27,34,26
40,12,31,34,39,29,9,4,11,1,15,32,22,27,20,23,14,35,21,18,37,24,28,19,3,13,2,41,10,5,30,7,38,36,0,8,16,17,26,33,25,40,12,31,34,39,29,9,4,11,1,15,32,22,27,20,23,14,35,21,18,37,24,28,19,3,13,2,41,10,5,30,7,38,36,0,8,16,17,26,33,25
39,11,30,33,38,28,8,3,10,0,14,31,21,26,19,22,13,34,20,17,36,23,27,18,2,12,1,5,9,4,29,6,37,35,40,41,15,16,25,32,24,39,11,30,33,38,28,8,3,10,0,14,31,21,26,19,22,13,34,20,17,36,23,27,18,2,12,1,5,9,4,29,6,37,35,40,41,15,16,25,32,24
38,10,29,32,37,27,7,2,9,40,13,30,20,25,18,21,12,33,19,16,35,22,26,17,1,11,0,4,41,3,28,5,36,34,39,6,14,15,24,31,23,38,10,29,32,37,27,7,2,9,40,13,30,20,25,18,21,12,33,19,16,35,22,26,17,1,11,0,4,41,3,28,5,36,34,39,6,14,15,24,31,23
37,41,28,31,36,26,6,1,8,39,12,29,19,24,17,20,11,32,18,15,34,21,25,16,0,10,40,3,7,2,27,4,35,33,38,5,13,14,23,30,22,37,41,28,31,36,26,6,1,8,39,12,29,19,24,17,20,11,32,18,15,34,21,25,16,0,10,40,3,7,2,27,4,35,33,38,5,13,14,23,30,22
36,8,27,30,35,25,5,0,7,38,11,28,18,23,16,19,41,31,17,14,33,20,24,15,40,9,39,2,6,1,26,3,34,32,37,4,12,13,22,29,21,36,8,27,30,35,25,5,0,7,38,11,28,18,23,16,19,41,31,17,14,33,20,24,15,40,9,39,2,6,1,26,3,34,32,37,4,12,13,22,29,21
35,7,26,29,34,24,4,40,6,37,10,27,17,22,15,18,9,30,16,13,32,19,23,14,39,8,38,1,5,0,25,2,33,31,36,3,41,12,21,28,20,35,7,26,29,34,24,4,40,6,37,10,27,17,22,15,18,9,30,16,13,32,19,23,14,39,8,38,1,5,0,25,2,33,31,36,3,41,12,21,28,20
34,6,25,28,33,23,3,39,5,36,9,26,16,21,14,17,8,29,15,41,31,18,22,13,38,7,37,0,4,40,24,1,32,30,35,2,10,11,20,27,19,34,6,25,28,33,23,3,39,5,36,9,26,16,21,14,17,8,29,15,41,31,18,22,13,38,7,37,0,4,40,24,1,32,30,35,2,10,11,20,27,19
33,5,24,27,32,22,2,38,4,35,8,25,15,20,41,16,7,28,14,11,30,17,21,12,37,6,36,40,3,39,23,0,31,29,34,1,9,10,19,26,18,33,5,24,27,32,22,2,38,4,35,8,25,15,20,41,16,7,28,14,11,30,17,21,12,37,6,36,40,3,39,23,0,31,29,34,1,9,10,19,26,18
32,4,23,26,31,21,1,37,3,34,7,24,41,19,12,15,6,27,13,10,29,16,20,11,36,5,35,39,2,38,22,40,30,28,33,0,8,9,18,25,17,32,4,23,26,31,21,1,37,3,34,7,24,41,19,12,15,6,27,13,10,29,16,20,11,36,5,35,39,2,38,22,40,30,28,33,0,8,9,18,25,17
31,3,22,25,30,20,0,36,2,33,6,23,13,18,11,14,5,26,12,9,28,41,19,10,35,4,34,38,1,37,21,39,29,27,32,40,7,8,17,24,16,31,3,22,25,30,20,0,36,2,33,6,23,13,18,11,14,5,26,12,9,28,41,19,10,35,4,34,38,1,37,21,39,29,27,32,40,7,8,17,24,16
30,2,21,24,29,19,40,35,1,32,5,22,12,17,10,13,4,25,11,8,27,14,18,9,34,3,33,37,0,36,20,38,28,26,31,39,6,7,41,23,15,30,2,21,24,29,19,40,35,1,32,5,22,12,17,10,13,4,25,11,8,27,14,18,9,34,3,33,37,0,36,20,38,28,26,31,39,6,7,41,23,15
29,1,20,23,28,18,39,34,0,31,4,21,11,16,9,12,3,24,10,7,26,13,41,8,33,2,32,36,40,35,19,37,27,25,30,38,5,6,15,22,14,29,1,20,23,28,18,39,34,0,31,4,21,11,16,9,12,3,24,10,7,26,13,41,8,33,2,32,36,40,35,19,37,27,25,30,38,5,6,15,22,14
28,0,19,22,27,17,38,33,40,30,3,20,10,15,8,11,2,23,9,6,25,12,16,7,32,1,31,35,39,34,41,36,26,24,29,37,4,5,14,21,13,28,0,19,22,27,17,38,33,40,30,3,20,10,15,8,11,2,23,9,6,25,12,16,7,32,1,31,35,39,34,41,36,26,24,29,37,4,5,14,21,13
27,40,18,21,26,16,37,32,39,29,2,41,9,14,7,10,1,22,8,5,24,11,15,6,31,0,30,34,38,33,17,35,25,23,28,36,3,4,13,20,12,27,40,18,21,26,16,37,32,39,29,2,41,9,14,7,10,1,22,8,5,24,11,15,6,31,0,30,34,38,33,17,35,25,23,28,36,3,4,13,20,12
26,39,17,41,25,15,36,31,38,28,1,18,8,13,6,9,0,21,7,4,23,10,14,5,30,40,29,33,37,32,16,34,24,22,27,35,2,3,12,19,11,26,39,17,41,25,15,36,31,38,28,1,18,8,13,6,9,0,21,7,4,23,10,14,5,30,40,29,33,37,32,16,34,24,22,27,35,2,3,12,19,11
25,38,16,19,24,14,35,30,37,27,0,17,7,12,5,8,40,20,6,3,22,9,13,4,29,39,28,32,36,31,15,33,23,41,26,34,1,2,11,18,10,25,38,16,19,24,14,35,30,37,27,0,17,7,12,5,8,40,20,6,3,22,9,13,4,29,39,28,32,36,31,15,33,23,41,26,34,1,2,11,18,10
24,37,15,18,23,13,34,29,36,26,40,16,6,11,4,7,39,19,5,2,21,8,12,3,28,38,27,31,35,30,14,32,41,20,25,33,0,1,10,17,9,24,37,15,18,23,13,34,29,36,26,40,16,6,11,4,7,39,19,5,2,21,8,12,3,28,38,27,31,35,30,14,32,41,20,25,33,0,1,10,17,9
41,36,14,17,22,12,33,28,35,25,39,15,5,10,3,6,38,18,4,1,20,7,11,2,27,37,26,30,34,29,13,31,21,19,24,32,40,0,9,16,8,41,36,14,17,22,12,33,28,35,25,39,15,5,10,3,6,38,18,4,1,20,7,11,2,27,37,26,30,34,29,13,31,21,19,24,32,40,0,9,16,8
22,35,13,16,21,11,32,27,34,41,38,14,4,9,2,5,37,17,3,0,19,6,10,1,26,36,25,29,33,28,12,30,20,18,23,31,39,40,8,15,7,22,35,13,16,21,11,32,27,34,41,38,14,4,9,2,5,37,17,3,0,19,6,10,1,26,36,25,29,33,28,12,30,20,18,23,31,39,40,8,15,7
21,34,12,15,20,10,31,26,33,23,37,13,3,8,1,4,36,16,2,40,18,5,9,0,41,35,24,28,32,27,11,29,19,17,22,30,38,39,7,14,6,21,34,12,15,20,10,31,26,33,23,37,13,3,8,1,4,36,16,2,40,18,5,9,0,41,35,24,28,32,27,11,29,19,17,22,30,38,39,7,14,6
20,33,11,14,19,9,30,25,32,22,36,12,2,7,0,3,35,15,1,39,17,4,8,40,24,34,23,27,31,41,10,28,18,16,21,29,37,38,6,13,5,20,33,11,14,19,9,30,25,32,22,36,12,2,7,0,3,35,15,1,39,17,4,8,40,24,34,23,27,31,41,10,28,18,16,21,29,37,38,6,13,5
19,32,10,13,18,8,29,24,31,21,35,11,1,6,40,2,34,14,0,38,16,3,7,39,23,33,22,26,30,25,9,41,17,15,20,28,36,37,5,12,4,19,32,10,13,18,8,29,24,31,21,35,11,1,6,40,2,34,14,0,38,16,3,7,39,23,33,22,26,30,25,9,41,17,15,20,28,36,37,5,12,4
18,31,9,12,17,7,41,23,30,20,34,10,0,5,39,1,33,13,40,37,15,2,6,38,22,32,21,25,29,24,8,26,16,14,19,27,35,36,4,11,3,18,31,9,12,17,7,41,23,30,20,34,10,0,5,39,1,33,13,40,37,15,2,6,38,22,32,21,25,29,24,8,26,16,14,19,27,35,36,4,11,3
17,30,8,11,16,6,27,22,41,19,33,9,40,4,38,0,32,12,39,36,14,1,5,37,21,31,20,24,28,23,7,25,15,13,18,26,34,35,3,10,2,17,30,8,11,16,6,27,22,41,19,33,9,40,4,38,0,32,12,39,36,14,1,5,37,21,31,20,24,28,23,7,25,15,13,18,26,34,35,3,10,2
16,29,7,10,15,5,26,21,28,18,32,8,39,3,37,40,31,11,38,35,13,0,4,36,20,41,19,23,27,22,6,24,14,12,17,25,33,34,2,9,1,16,29,7,10,15,5,26,21,28,18,32,8,39,3,37,40,31,11,38,35,13,0,4,36,20,41,19,23,27,22,6,24,14,12,17,25,33,34,2,9,1
15,28,6,9,14,4,25,20,27,17,41,7,38,2,36,39,30,10,37,34,12,40,3,35,19,29,18,22,26,21,5,23,13,11,16,24,32,33,1,8,0,15,28,6,9,14,4,25,20,27,17,41,7,38,2,36,39,30,10,37,34,12,40,3,35,19,29,18,22,26,21,5,23,13,11,16,24,32,33,1,8,0
14,27,5,8,13,3,24,19,26,16,30,6,37,1,35,38,29,9,36,33,11,39,2,34,18,28,17,21,25,20,4,22,12,10,15,23,31,41,0,7,40,14,27,5,8,13,3,24,19,26,16,30,6,37,1,35,38,29,9,36,33,11,39,2,34,18,28,17,21,25,20,4,22,12,10,15,23,31,41,0,7,40
13,26,4,7,12,2,23,18,25,15,29,5,36,0,34,37,28,8,35,32,10,38,1,41,17,27,16,20,24,19,3,21,11,9,14,22,30,31,40,6,39,13,26,4,7,12,2,23,18,25,15,29,5,36,0,34,37,28,8,35,32,10,38,1,41,17,27,16,20,24,19,3,21,11,9,14,22,30,31,40,6,39
12,25,3,6,11,1,22,17,24,14,28,4,35,40,33,36,27,7,41,31,9,37,0,32,16,26,15,19,23,18,2,20,10,8,13,21,29,30,39,5,38,12,25,3,6,11,1,22,17,24,14,28,4,35,40,33,36,27,7,41,31,9,37,0,32,16,26,15,19,23,18,2,20,10,8,13,21,29,30,39,5,38
11,24,2,5,10,0,21,16,23,13,27,3,34,39,32,41,26,6,33,30,8,36,40,31,15,25,14,18,22,17,1,19,9,7,12,20,28,29,38,4,37,11,24,2,5,10,0,21,16,23,13,27,3,34,39,32,41,26,6,33,30,8,36,40,31,15,25,14,18,22,17,1,19,9,7,12,20,28,29,38,4,37
10,23,1,4,9,40,20,15,22,12,26,2,33,38,31,34,25,5,32,29,7,35,39,30,14,24,13,17,21,16,0,18,8,6,11,19,27,28,37,3,41,10,23,1,4,9,40,20,15,22,12,26,2,33,38,31,34,25,5,32,29,7,35,39,30,14,24,13,17,21,16,0,18,8,6,11,19,27,28,37,3,41
9,22,0,3,8,39,19,14,21,11,25,1,32,41,30,33,24,4,31,28,6,34,38,29,13,23,12,16,20,15,40,17,7,5,10,18,26,27,36,2,35,9,22,0,3,8,39,19,14,21,11,25,1,32,41,30,33,24,4,31,28,6,34,38,29,13,23,12,16,20,15,40,17,7,5,10,18,26,27,36,2,35
8,21,40,2,7,41,18,13,20,10,24,0,31,36,29,32,23,3,30,27,5,33,37,28,12,22,11,15,19,14,39,16,6,4,9,17,25,26,35,1,34,8,21,40,2,7,41,18,13,20,10,24,0,31,36,29,32,23,3,30,27,5,33,37,28,12,22,11,15,19,14,39,16,6,4,9,17,25,26,35,1,34
7,20,41,1,6,37,17,12,19,9,23,40,30,35,28,31,22,2,29,26,4,32,36,27,11,21,10,14,18,13,38,15,5,3,8,16,24,25,34,0,33,7,20,41,1,6,37,17,12,19,9,23,40,30,35,28,31,22,2,29,26,4,32,36,27,11,21,10,14,18,13,38,15,5,3,8,16,24,25,34,0,33
6,19,38,0,5,36,16,11,18,8,22,39,29,34,27,30,21,1,28,25,3,31,35,26,10,20,9,13,17,12,37,14,4,2,7,15,23,24,33,41,32,6,19,38,0,5,36,16,11,18,8,22,39,29,34,27,30,21,1,28,25,3,31,35,26,10,20,9,13,17,12,37,14,4,2,7,15,23,24,33,41,32
23,9,39,20,2,38,28,5,29,24,31,19,14,37,13,35,10,0,34,12,1,15,17,33,25,30,4,6,8,26,18,27,22,21,3,7,11,32,16,40,36,23,9,39,20,2,38,28,5,29,24,31,19,14,37,13,35,10,0,34,12,1,15,17,33,25,30,4,6,8,26,18,27,22,21,3,7,11,32,16,40,36
