0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
6,7,13,8,1,5,2,3,12,15,9,11,14,10,4,6,7,13,8,1,5,2,3,12,15,9,11,14,10,4
5,6,12,7,0,4,15,2,11,14,8,10,13,9,3,5,6,12,7,0,4,15,2,11,14,8,10,13,9,3
4,5,11,6,14,3,0,1,10,13,7,9,12,8,15,4,5,11,6,14,3,0,1,10,13,7,9,12,8,15
15,4,10,5,13,2,14,0,9,12,6,8,11,7,1,15,4,10,5,13,2,14,0,9,12,6,8,11,7,1
2,3,9,15,12,1,13,14,8,11,5,7,10,6,0,2,3,9,15,12,1,13,14,8,11,5,7,10,6,0
1,2,8,3,11,0,12,13,7,10,4,6,9,15,14,1,2,8,3,11,0,12,13,7,10,4,6,9,15,14
0,1,7,2,10,14,11,12,15,9,3,5,8,4,13,0,1,7,2,10,14,11,12,15,9,3,5,8,4,13
14,0,6,1,9,13,10,11,5,8,2,4,15,3,12,14,0,6,1,9,13,10,11,5,8,2,4,15,3,12
13,14,5,0,15,12,9,10,4,7,1,3,6,2,11,13,14,5,0,15,12,9,10,4,7,1,3,6,2,11
12,13,4,14,7,11,8,15,3,6,0,2,5,1,10,12,13,4,14,7,11,8,15,3,6,0,2,5,1,10
11,12,3,13,6,15,7,8,2,5,14,1,4,0,9,11,12,3,13,6,15,7,8,2,5,14,1,4,0,9
10,15,2,12,5,9,6,7,1,4,13,0,3,14,8,10,15,2,12,5,9,6,7,1,4,13,0,3,14,8
9,10,1,11,4,8,5,6,0,3,15,14,2,13,7,9,10,1,11,4,8,5,6,0,3,15,14,2,13,7
8,9,0,10,3,7,4,5,14,2,11,15,1,12,6,8,9,0,10,3,7,4,5,14,2,11,15,1,12,6
7,8,15,9,2,6,3,4,13,1,10,12,0,11,5,7,8,15,9,2,6,3,4,13,1,10,12,0,11,5
3,11,14,4,8,10,1,9,6,0,12,13,7,5,2,3,11,14,4,8,10,1,9,6,0,12,13,7,5,2
