0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
8,24,28,37,12,32,41,26,7,3,36,19,17,39,2,45,23,6,30,9,46,44,16,35,20,29,10,4,33,5,43,40,1,15,21,11,14,34,42,13,27,18,25,22,38,47,31,8,24,28,37,12,32,41,26,7,3,36,19,17,39,2,45,23,6,30,9,46,44,16,35,20,29,10,4,33,5,43,40,1,15,21,11,14,34,42,13,27,18,25,22,38,47,31
7,23,27,36,11,31,40,25,6,2,35,18,16,38,47,44,22,5,29,8,45,43,15,34,19,28,9,3,32,4,42,39,0,14,20,10,13,33,41,12,26,17,24,21,37,46,30,7,23,27,36,11,31,40,25,6,2,35,18,16,38,47,44,22,5,29,8,45,43,15,34,19,28,9,3,32,4,42,39,0,14,20,10,13,33,41,12,26,17,24,21,37,46,30
6,22,26,35,10,30,39,24,5,1,34,17,15,37,0,43,21,4,28,7,44,42,14,33,18,27,8,47,31,3,41,38,46,13,19,9,12,32,40,11,25,16,23,20,36,45,29,6,22,26,35,10,30,39,24,5,1,34,17,15,37,0,43,21,4,28,7,44,42,14,33,18,27,8,47,31,3,41,38,46,13,19,9,12,32,40,11,25,16,23,20,36,45,29
5,21,25,34,9,29,38,23,4,0,33,16,14,36,46,42,20,47,27,6,43,41,13,32,17,26,7,1,30,2,40,37,45,12,18,8,11,31,39,10,24,15,22,19,35,44,28,5,21,25,34,9,29,38,23,4,0,33,16,14,36,46,42,20,47,27,6,43,41,13,32,17,26,7,1,30,2,40,37,45,12,18,8,11,31,39,10,24,15,22,19,35,44,28
47,20,24,33,8,28,37,22,3,46,32,15,13,35,45,41,19,2,26,5,42,40,12,31,16,25,6,0,29,1,39,36,44,11,17,7,10,30,38,9,23,14,21,18,34,43,27,47,20,24,33,8,28,37,22,3,46,32,15,13,35,45,41,19,2,26,5,42,40,12,31,16,25,6,0,29,1,39,36,44,11,17,7,10,30,38,9,23,14,21,18,34,43,27
3,19,23,32,7,27,36,21,2,45,31,14,12,34,44,40,18,1,25,4,41,39,11,30,15,24,47,46,28,0,38,35,43,10,16,6,9,29,37,8,22,13,20,17,33,42,26,3,19,23,32,7,27,36,21,2,45,31,14,12,34,44,40,18,1,25,4,41,39,11,30,15,24,47,46,28,0,38,35,43,10,16,6,9,29,37,8,22,13,20,17,33,42,26
2,18,22,31,47,26,35,20,1,44,30,13,11,33,43,39,17,0,24,3,40,38,10,29,14,23,4,45,27,46,37,34,42,9,15,5,8,28,36,7,21,12,19,16,32,41,25,2,18,22,31,47,26,35,20,1,44,30,13,11,33,43,39,17,0,24,3,40,38,10,29,14,23,4,45,27,46,37,34,42,9,15,5,8,28,36,7,21,12,19,16,32,41,25
1,17,21,30,5,25,34,19,0,43,29,12,10,32,42,38,16,46,23,2,39,37,9,28,13,22,3,44,26,45,36,33,41,8,14,4,47,27,35,6,20,11,18,15,31,40,24,1,17,21,30,5,25,34,19,0,43,29,12,10,32,42,38,16,46,23,2,39,37,9,28,13,22,3,44,26,45,36,33,41,8,14,4,47,27,35,6,20,11,18,15,31,40,24
0,16,20,29,4,24,33,18,46,42,28,11,9,31,41,37,15,45,22,1,38,36,47,27,12,21,2,43,25,44,35,32,40,7,13,3,6,26,34,5,19,10,17,14,30,39,23,0,16,20,29,4,24,33,18,46,42,28,11,9,31,41,37,15,45,22,1,38,36,47,27,12,21,2,43,25,44,35,32,40,7,13,3,6,26,34,5,19,10,17,14,30,39,23
46,15,19,28,3,23,32,17,45,41,27,10,8,30,40,36,14,44,21,0,37,35,7,26,11,20,1,42,24,43,34,31,39,6,12,2,5,25,33,4,18,47,16,13,29,38,22,46,15,19,28,3,23,32,17,45,41,27,10,8,30,40,36,14,44,21,0,37,35,7,26,11,20,1,42,24,43,34,31,39,6,12,2,5,25,33,4,18,47,16,13,29,38,22
45,14,18,27,2,22,31,16,44,40,26,9,7,29,39,35,13,43,20,46,36,34,6,25,47,19,0,41,23,42,33,30,38,5,11,1,4,24,32,3,17,8,15,12,28,37,21,45,14,18,27,2,22,31,16,44,40,26,9,7,29,39,35,13,43,20,46,36,34,6,25,47,19,0,41,23,42,33,30,38,5,11,1,4,24,32,3,17,8,15,12,28,37,21
44,13,17,26,1,21,30,15,43,39,25,8,6,28,38,34,12,42,19,45,35,33,5,24,9,18,46,40,22,41,32,29,37,4,10,0,3,23,31,2,16,7,14,47,27,36,20,44,13,17,26,1,21,30,15,43,39,25,8,6,28,38,34,12,42,19,45,35,33,5,24,9,18,46,40,22,41,32,29,37,4,10,0,3,23,31,2,16,7,14,47,27,36,20
43,47,16,25,0,20,29,14,42,38,24,7,5,27,37,33,11,41,18,44,34,32,4,23,8,17,45,39,21,40,31,28,36,3,9,46,2,22,30,1,15,6,13,10,26,35,19,43,47,16,25,0,20,29,14,42,38,24,7,5,27,37,33,11,41,18,44,34,32,4,23,8,17,45,39,21,40,31,28,36,3,9,46,2,22,30,1,15,6,13,10,26,35,19
42,11,15,24,46,19,28,47,41,37,23,6,4,26,36,32,10,40,17,43,33,31,3,22,7,16,44,38,20,39,30,27,35,2,8,45,1,21,29,0,14,5,12,9,25,34,18,42,11,15,24,46,19,28,47,41,37,23,6,4,26,36,32,10,40,17,43,33,31,3,22,7,16,44,38,20,39,30,27,35,2,8,45,1,21,29,0,14,5,12,9,25,34,18
41,10,47,23,45,18,27,12,40,36,22,5,3,25,35,31,9,39,16,42,32,30,2,21,6,15,43,37,19,38,29,26,34,1,7,44,0,20,28,46,13,4,11,8,24,33,17,41,10,47,23,45,18,27,12,40,36,22,5,3,25,35,31,9,39,16,42,32,30,2,21,6,15,43,37,19,38,29,26,34,1,7,44,0,20,28,46,13,4,11,8,24,33,17
40,9,13,22,44,17,26,11,39,35,21,4,2,24,34,30,8,38,47,41,31,29,1,20,5,14,42,36,18,37,28,25,33,0,6,43,46,19,27,45,12,3,10,7,23,32,16,40,9,13,22,44,17,26,11,39,35,21,4,2,24,34,30,8,38,47,41,31,29,1,20,5,14,42,36,18,37,28,25,33,0,6,43,46,19,27,45,12,3,10,7,23,32,16
39,8,12,21,43,47,25,10,38,34,20,3,1,23,33,29,7,37,14,40,30,28,0,19,4,13,41,35,17,36,27,24,32,46,5,42,45,18,26,44,11,2,9,6,22,31,15,39,8,12,21,43,47,25,10,38,34,20,3,1,23,33,29,7,37,14,40,30,28,0,19,4,13,41,35,17,36,27,24,32,46,5,42,45,18,26,44,11,2,9,6,22,31,15
38,7,11,20,42,15,24,9,37,33,19,2,0,22,32,28,6,36,13,39,29,27,46,18,3,12,40,34,16,35,26,23,31,45,4,41,44,47,25,43,10,1,8,5,21,30,14,38,7,11,20,42,15,24,9,37,33,19,2,0,22,32,28,6,36,13,39,29,27,46,18,3,12,40,34,16,35,26,23,31,45,4,41,44,47,25,43,10,1,8,5,21,30,14
37,6,10,19,41,14,23,8,36,32,47,1,46,21,31,27,5,35,12,38,28,26,45,17,2,11,39,33,15,34,25,22,30,44,3,40,43,16,24,42,9,0,7,4,20,29,13,37,6,10,19,41,14,23,8,36,32,47,1,46,21,31,27,5,35,12,38,28,26,45,17,2,11,39,33,15,34,25,22,30,44,3,40,43,16,24,42,9,0,7,4,20,29,13
36,5,9,18,40,13,22,7,35,31,17,0,45,20,30,26,4,34,11,37,27,25,44,16,1,10,38,32,14,33,24,21,29,43,2,39,42,15,23,41,8,46,6,3,47,28,12,36,5,9,18,40,13,22,7,35,31,17,0,45,20,30,26,4,34,11,37,27,25,44,16,1,10,38,32,14,33,24,21,29,43,2,39,42,15,23,41,8,46,6,3,47,28,12
35,4,8,17,39,12,21,6,34,30,16,46,44,19,29,25,3,33,10,36,26,24,43,15,0,9,37,31,13,32,23,47,28,42,1,38,41,14,22,40,7,45,5,2,18,27,11,35,4,8,17,39,12,21,6,34,30,16,46,44,19,29,25,3,33,10,36,26,24,43,15,0,9,37,31,13,32,23,47,28,42,1,38,41,14,22,40,7,45,5,2,18,27,11
34,3,7,16,38,11,20,5,33,29,15,45,43,18,28,24,2,32,9,35,25,23,42,14,46,8,36,30,12,31,22,19,27,41,0,37,40,13,47,39,6,44,4,1,17,26,10,34,3,7,16,38,11,20,5,33,29,15,45,43,18,28,24,2,32,9,35,25,23,42,14,46,8,36,30,12,31,22,19,27,41,0,37,40,13,47,39,6,44,4,1,17,26,10
33,2,6,15,37,10,19,4,32,28,14,44,42,17,27,23,1,31,8,34,24,47,41,13,45,7,35,29,11,30,21,18,26,40,46,36,39,12,20,38,5,43,3,0,16,25,9,33,2,6,15,37,10,19,4,32,28,14,44,42,17,27,23,1,31,8,34,24,47,41,13,45,7,35,29,11,30,21,18,26,40,46,36,39,12,20,38,5,43,3,0,16,25,9
32,1,5,14,36,9,18,3,31,27,13,43,41,16,26,22,0,30,7,33,47,21,40,12,44,6,34,28,10,29,20,17,25,39,45,35,38,11,19,37,4,42,2,46,15,24,8,32,1,5,14,36,9,18,3,31,27,13,43,41,16,26,22,0,30,7,33,47,21,40,12,44,6,34,28,10,29,20,17,25,39,45,35,38,11,19,37,4,42,2,46,15,24,8
31,0,4,13,35,8,17,2,30,26,12,42,40,15,25,21,46,29,6,32,22,20,39,11,43,5,33,27,9,28,19,16,47,38,44,34,37,10,18,36,3,41,1,45,14,23,7,31,0,4,13,35,8,17,2,30,26,12,42,40,15,25,21,46,29,6,32,22,20,39,11,43,5,33,27,9,28,19,16,47,38,44,34,37,10,18,36,3,41,1,45,14,23,7
30,46,3,12,34,7,16,1,29,47,11,41,39,14,24,20,45,28,5,31,21,19,38,10,42,4,32,26,8,27,18,15,23,37,43,33,36,9,17,35,2,40,0,44,13,22,6,30,46,3,12,34,7,16,1,29,47,11,41,39,14,24,20,45,28,5,31,21,19,38,10,42,4,32,26,8,27,18,15,23,37,43,33,36,9,17,35,2,40,0,44,13,22,6
