0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
20,25,11,1,4,30,7,12,23,26,31,32,3,6,33,14,5,10,36,17,28,35,22,16,18,8,21,24,34,15,27,19,2,29,13,37,9,20,25,11,1,4,30,7,12,23,26,31,32,3,6,33,14,5,10,36,17,28,35,22,16,18,8,21,24,34,15,27,19,2,29,13,37,9
19,24,10,0,3,29,6,11,22,25,30,31,2,5,32,13,4,9,35,16,27,34,21,15,17,7,20,23,33,14,26,18,37,28,12,36,8,19,24,10,0,3,29,6,11,22,25,30,31,2,5,32,13,4,9,35,16,27,34,21,15,17,7,20,23,33,14,26,18,37,28,12,36,8
18,23,9,36,37,28,5,10,21,24,29,30,1,4,31,12,3,8,34,15,26,33,20,14,16,6,19,22,32,13,25,17,0,27,11,35,7,18,23,9,36,37,28,5,10,21,24,29,30,1,4,31,12,3,8,34,15,26,33,20,14,16,6,19,22,32,13,25,17,0,27,11,35,7
17,22,8,35,1,27,4,9,20,23,28,29,0,37,30,11,2,7,33,14,25,32,19,13,15,5,18,21,31,12,24,16,36,26,10,34,6,17,22,8,35,1,27,4,9,20,23,28,29,0,37,30,11,2,7,33,14,25,32,19,13,15,5,18,21,31,12,24,16,36,26,10,34,6
16,21,7,34,0,26,3,8,19,22,27,28,36,2,29,10,1,6,32,13,24,31,18,12,14,37,17,20,30,11,23,15,35,25,9,33,5,16,21,7,34,0,26,3,8,19,22,27,28,36,2,29,10,1,6,32,13,24,31,18,12,14,37,17,20,30,11,23,15,35,25,9,33,5
15,20,6,33,36,25,2,7,18,21,26,27,35,1,28,9,0,37,31,12,23,30,17,11,13,3,16,19,29,10,22,14,34,24,8,32,4,15,20,6,33,36,25,2,7,18,21,26,27,35,1,28,9,0,37,31,12,23,30,17,11,13,3,16,19,29,10,22,14,34,24,8,32,4
14,19,5,32,35,24,1,37,17,20,25,26,34,0,27,8,36,4,30,11,22,29,16,10,12,2,15,18,28,9,21,13,33,23,7,31,3,14,19,5,32,35,24,1,37,17,20,25,26,34,0,27,8,36,4,30,11,22,29,16,10,12,2,15,18,28,9,21,13,33,23,7,31,3
13,18,4,31,34,23,0,5,16,19,24,25,33,36,26,37,35,3,29,10,21,28,15,9,11,1,14,17,27,8,20,12,32,22,6,30,2,13,18,4,31,34,23,0,5,16,19,24,25,33,36,26,37,35,3,29,10,21,28,15,9,11,1,14,17,27,8,20,12,32,22,6,30,2
12,17,3,30,33,22,36,4,15,18,23,24,32,35,25,6,34,2,28,9,20,27,14,37,10,0,13,16,26,7,19,11,31,21,5,29,1,12,17,3,30,33,22,36,4,15,18,23,24,32,35,25,6,34,2,28,9,20,27,14,37,10,0,13,16,26,7,19,11,31,21,5,29,1
11,16,2,29,32,21,35,3,14,17,22,23,31,34,24,5,33,1,27,8,19,26,13,7,37,36,12,15,25,6,18,10,30,20,4,28,0,11,16,2,29,32,21,35,3,14,17,22,23,31,34,24,5,33,1,27,8,19,26,13,7,37,36,12,15,25,6,18,10,30,20,4,28,0
37,15,1,28,31,20,34,2,13,16,21,22,30,33,23,4,32,0,26,7,18,25,12,6,8,35,11,14,24,5,17,9,29,19,3,27,36,37,15,1,28,31,20,34,2,13,16,21,22,30,33,23,4,32,0,26,7,18,25,12,6,8,35,11,14,24,5,17,9,29,19,3,27,36
