0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
11,15,5,6,3,2,1,13,14,9,17,10,7,4,12,8,16,11,15,5,6,3,2,1,13,14,9,17,10,7,4,12,8,16
10,14,4,5,2,17,0,12,13,8,16,9,6,3,11,7,15,10,14,4,5,2,17,0,12,13,8,16,9,6,3,11,7,15
9,13,3,4,1,0,16,11,12,7,15,8,5,17,10,6,14,9,13,3,4,1,0,16,11,12,7,15,8,5,17,10,6,14
8,12,2,17,0,16,15,10,11,6,14,7,4,1,9,5,13,8,12,2,17,0,16,15,10,11,6,14,7,4,1,9,5,13
7,11,1,2,16,15,14,9,10,5,13,6,3,0,8,17,12,7,11,1,2,16,15,14,9,10,5,13,6,3,0,8,17,12
6,10,0,1,15,14,13,8,9,4,12,17,2,16,7,3,11,6,10,0,1,15,14,13,8,9,4,12,17,2,16,7,3,11
5,9,16,0,14,13,12,7,8,3,11,4,1,15,17,2,10,5,9,16,0,14,13,12,7,8,3,11,4,1,15,17,2,10
4,8,15,16,13,12,11,6,17,2,10,3,0,14,5,1,9,4,8,15,16,13,12,11,6,17,2,10,3,0,14,5,1,9
3,7,14,15,12,11,10,5,6,1,9,2,16,13,4,0,17,3,7,14,15,12,11,10,5,6,1,9,2,16,13,4,0,17
2,6,13,14,11,10,17,4,5,0,8,1,15,12,3,16,7,2,6,13,14,11,10,17,4,5,0,8,1,15,12,3,16,7
1,5,12,13,17,9,8,3,4,16,7,0,14,11,2,15,6,1,5,12,13,17,9,8,3,4,16,7,0,14,11,2,15,6
0,4,17,12,9,8,7,2,3,15,6,16,13,10,1,14,5,0,4,17,12,9,8,7,2,3,15,6,16,13,10,1,14,5
16,3,10,11,8,7,6,1,2,14,5,15,17,9,0,13,4,16,3,10,11,8,7,6,1,2,14,5,15,17,9,0,13,4
15,2,9,10,7,6,5,0,1,17,4,14,11,8,16,12,3,15,2,9,10,7,6,5,0,1,17,4,14,11,8,16,12,3
17,1,8,9,6,5,4,16,0,12,3,13,10,7,15,11,2,17,1,8,9,6,5,4,16,0,12,3,13,10,7,15,11,2
13,0,7,8,5,4,3,17,16,11,2,12,9,6,14,10,1,13,0,7,8,5,4,3,17,16,11,2,12,9,6,14,10,1
12,17,6,7,4,3,2,14,15,10,1,11,8,5,13,9,0,12,17,6,7,4,3,2,14,15,10,1,11,8,5,13,9,0
14,16,11,3,10,1,9,15,7,13,0,5,12,2,6,4,8,14,16,11,3,10,1,9,15,7,13,0,5,12,2,6,4,8
