0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
12,9,24,17,23,21,27,13,25,29,20,14,6,16,1,11,26,4,22,15,8,7,10,28,5,2,19,18,3,12,9,24,17,23,21,27,13,25,29,20,14,6,16,1,11,26,4,22,15,8,7,10,28,5,2,19,18,3
11,8,23,16,22,20,26,12,24,28,19,13,5,15,0,10,25,3,21,14,7,6,9,27,4,29,18,17,2,11,8,23,16,22,20,26,12,24,28,19,13,5,15,0,10,25,3,21,14,7,6,9,27,4,29,18,17,2
10,7,22,15,21,19,25,11,23,27,18,12,4,14,28,9,24,29,20,13,6,5,8,26,3,0,17,16,1,10,7,22,15,21,19,25,11,23,27,18,12,4,14,28,9,24,29,20,13,6,5,8,26,3,0,17,16,1
9,6,21,14,20,18,24,10,22,26,17,11,29,13,27,8,23,1,19,12,5,4,7,25,2,28,16,15,0,9,6,21,14,20,18,24,10,22,26,17,11,29,13,27,8,23,1,19,12,5,4,7,25,2,28,16,15,0
8,5,20,13,19,17,23,9,21,25,16,10,2,12,26,7,22,0,18,11,29,3,6,24,1,27,15,14,28,8,5,20,13,19,17,23,9,21,25,16,10,2,12,26,7,22,0,18,11,29,3,6,24,1,27,15,14,28
7,4,19,12,18,16,22,8,20,24,15,9,1,11,25,6,21,28,17,10,3,2,29,23,0,26,14,13,27,7,4,19,12,18,16,22,8,20,24,15,9,1,11,25,6,21,28,17,10,3,2,29,23,0,26,14,13,27
29,3,18,11,17,15,21,7,19,23,14,8,0,10,24,5,20,27,16,9,2,1,4,22,28,25,13,12,26,29,3,18,11,17,15,21,7,19,23,14,8,0,10,24,5,20,27,16,9,2,1,4,22,28,25,13,12,26
5,2,17,10,16,14,20,6,18,22,13,29,28,9,23,4,19,26,15,8,1,0,3,21,27,24,12,11,25,5,2,17,10,16,14,20,6,18,22,13,29,28,9,23,4,19,26,15,8,1,0,3,21,27,24,12,11,25
4,1,16,9,15,13,19,5,17,21,12,6,27,29,22,3,18,25,14,7,0,28,2,20,26,23,11,10,24,4,1,16,9,15,13,19,5,17,21,12,6,27,29,22,3,18,25,14,7,0,28,2,20,26,23,11,10,24
3,0,15,8,14,12,18,4,16,20,11,5,26,7,21,2,17,24,13,6,28,27,1,19,25,22,10,29,23,3,0,15,8,14,12,18,4,16,20,11,5,26,7,21,2,17,24,13,6,28,27,1,19,25,22,10,29,23
