0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
9,16,11,8,21,6,15,1,18,7,19,14,20,12,13,4,5,17,3,2,10,9,16,11,8,21,6,15,1,18,7,19,14,20,12,13,4,5,17,3,2,10
8,15,10,7,20,5,14,0,17,6,18,13,19,11,12,3,4,16,2,21,9,8,15,10,7,20,5,14,0,17,6,18,13,19,11,12,3,4,16,2,21,9
7,14,9,6,19,4,13,20,16,5,17,12,18,10,11,21,3,15,1,0,8,7,14,9,6,19,4,13,20,16,5,17,12,18,10,11,21,3,15,1,0,8
6,13,8,5,18,21,12,19,15,4,16,11,17,9,10,1,2,14,0,20,7,6,13,8,5,18,21,12,19,15,4,16,11,17,9,10,1,2,14,0,20,7
5,12,7,21,17,2,11,18,14,3,15,10,16,8,9,0,1,13,20,19,6,5,12,7,21,17,2,11,18,14,3,15,10,16,8,9,0,1,13,20,19,6
4,11,6,3,16,1,10,17,13,2,14,9,15,7,8,20,0,12,19,18,21,4,11,6,3,16,1,10,17,13,2,14,9,15,7,8,20,0,12,19,18,21
3,10,5,2,15,0,9,16,12,1,13,8,14,21,7,19,20,11,18,17,4,3,10,5,2,15,0,9,16,12,1,13,8,14,21,7,19,20,11,18,17,4
2,9,4,1,14,20,8,15,11,0,12,21,13,5,6,18,19,10,17,16,3,2,9,4,1,14,20,8,15,11,0,12,21,13,5,6,18,19,10,17,16,3
1,21,3,0,13,19,7,14,10,20,11,6,12,4,5,17,18,9,16,15,2,1,21,3,0,13,19,7,14,10,20,11,6,12,4,5,17,18,9,16,15,2
0,7,2,20,12,18,6,13,21,19,10,5,11,3,4,16,17,8,15,14,1,0,7,2,20,12,18,6,13,21,19,10,5,11,3,4,16,17,8,15,14,1
20,6,1,19,11,17,5,12,8,18,9,4,21,2,3,15,16,7,14,13,0,20,6,1,19,11,17,5,12,8,18,9,4,21,2,3,15,16,7,14,13,0
19,5,0,18,10,16,4,21,7,17,8,3,9,1,2,14,15,6,13,12,20,19,5,0,18,10,16,4,21,7,17,8,3,9,1,2,14,15,6,13,12,20
18,4,20,17,9,15,3,10,6,16,7,2,8,0,1,13,14,5,21,11,19,18,4,20,17,9,15,3,10,6,16,7,2,8,0,1,13,14,5,21,11,19
17,3,19,16,8,14,2,9,5,15,6,1,7,20,0,12,21,4,11,10,18,17,3,19,16,8,14,2,9,5,15,6,1,7,20,0,12,21,4,11,10,18
16,2,18,15,7,13,1,8,4,21,5,0,6,19,20,11,12,3,10,9,17,16,2,18,15,7,13,1,8,4,21,5,0,6,19,20,11,12,3,10,9,17
21,1,17,14,6,12,0,7,3,13,4,20,5,18,19,10,11,2,9,8,16,21,1,17,14,6,12,0,7,3,13,4,20,5,18,19,10,11,2,9,8,16
14,0,21,13,5,11,20,6,2,12,3,19,4,17,18,9,10,1,8,7,15,14,0,21,13,5,11,20,6,2,12,3,19,4,17,18,9,10,1,8,7,15
13,20,15,12,4,10,19,5,1,11,2,18,3,16,21,8,9,0,7,6,14,13,20,15,12,4,10,19,5,1,11,2,18,3,16,21,8,9,0,7,6,14
12,19,14,11,3,9,21,4,0,10,1,17,2,15,16,7,8,20,6,5,13,12,19,14,11,3,9,21,4,0,10,1,17,2,15,16,7,8,20,6,5,13
11,18,13,10,2,8,17,3,20,9,0,16,1,14,15,6,7,21,5,4,12,11,18,13,10,2,8,17,3,20,9,0,16,1,14,15,6,7,21,5,4,12
10,17,12,9,1,7,16,2,19,8,21,15,0,13,14,5,6,18,4,3,11,10,17,12,9,1,7,16,2,19,8,21,15,0,13,14,5,6,18,4,3,11
15,8,16,4,0,3,18,11,9,14,20,7,10,6,17,2,13,19,12,1,5,15,8,16,4,0,3,18,11,9,14,20,7,10,6,17,2,13,19,12,1,5
