0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
14,9,7,17,10,12,11,6,16,21,8,18,3,1,4,5,2,20,13,19,15,14,9,7,17,10,12,11,6,16,21,8,18,3,1,4,5,2,20,13,19,15
13,8,6,16,9,11,10,5,15,20,7,17,2,0,3,4,21,19,12,18,14,13,8,6,16,9,11,10,5,15,20,7,17,2,0,3,4,21,19,12,18,14
12,7,5,15,8,10,9,4,14,19,6,16,1,20,21,3,0,18,11,17,13,12,7,5,15,8,10,9,4,14,19,6,16,1,20,21,3,0,18,11,17,13
11,6,4,14,7,9,8,21,13,18,5,15,0,19,1,2,20,17,10,16,12,11,6,4,14,7,9,8,21,13,18,5,15,0,19,1,2,20,17,10,16,12
10,5,3,13,6,8,7,2,12,17,21,14,20,18,0,1,19,16,9,15,11,10,5,3,13,6,8,7,2,12,17,21,14,20,18,0,1,19,16,9,15,11
9,4,2,12,21,7,6,1,11,16,3,13,19,17,20,0,18,15,8,14,10,9,4,2,12,21,7,6,1,11,16,3,13,19,17,20,0,18,15,8,14,10
8,3,1,11,4,21,5,0,10,15,2,12,18,16,19,20,17,14,7,13,9,8,3,1,11,4,21,5,0,10,15,2,12,18,16,19,20,17,14,7,13,9
21,2,0,10,3,5,4,20,9,14,1,11,17,15,18,19,16,13,6,12,8,21,2,0,10,3,5,4,20,9,14,1,11,17,15,18,19,16,13,6,12,8
6,1,20,9,2,4,3,19,21,13,0,10,16,14,17,18,15,12,5,11,7,6,1,20,9,2,4,3,19,21,13,0,10,16,14,17,18,15,12,5,11,7
5,0,19,8,1,3,2,18,7,12,20,21,15,13,16,17,14,11,4,10,6,5,0,19,8,1,3,2,18,7,12,20,21,15,13,16,17,14,11,4,10,6
4,20,18,7,0,2,1,17,6,11,19,8,14,12,15,16,13,21,3,9,5,4,20,18,7,0,2,1,17,6,11,19,8,14,12,15,16,13,21,3,9,5
3,19,17,6,20,1,0,16,5,10,18,7,13,21,14,15,12,9,2,8,4,3,19,17,6,20,1,0,16,5,10,18,7,13,21,14,15,12,9,2,8,4
2,18,16,5,19,0,20,15,4,9,17,6,21,10,13,14,11,8,1,7,3,2,18,16,5,19,0,20,15,4,9,17,6,21,10,13,14,11,8,1,7,3
1,17,15,4,18,20,19,14,3,8,16,5,11,9,12,21,10,7,0,6,2,1,17,15,4,18,20,19,14,3,8,16,5,11,9,12,21,10,7,0,6,2
0,16,21,3,17,19,18,13,2,7,15,4,10,8,11,12,9,6,20,5,1,0,16,21,3,17,19,18,13,2,7,15,4,10,8,11,12,9,6,20,5,1
20,21,13,2,16,18,17,12,1,6,14,3,9,7,10,11,8,5,19,4,0,20,21,13,2,16,18,17,12,1,6,14,3,9,7,10,11,8,5,19,4,0
19,14,12,1,15,17,21,11,0,5,13,2,8,6,9,10,7,4,18,3,20,19,14,12,1,15,17,21,11,0,5,13,2,8,6,9,10,7,4,18,3,20
18,13,11,0,14,16,15,10,20,4,12,1,7,5,8,9,6,3,21,2,19,18,13,11,0,14,16,15,10,20,4,12,1,7,5,8,9,6,3,21,2,19
17,12,10,20,13,15,14,9,19,3,11,0,6,4,7,8,5,2,16,1,21,17,12,10,20,13,15,14,9,19,3,11,0,6,4,7,8,5,2,16,1,21
16,11,9,21,12,14,13,8,18,2,10,20,5,3,6,7,4,1,15,0,17,16,11,9,21,12,14,13,8,18,2,10,20,5,3,6,7,4,1,15,0,17
15,10,8,18,11,13,12,7,17,1,9,19,4,2,5,6,3,0,14,21,16,15,10,8,18,11,13,12,7,17,1,9,19,4,2,5,6,3,0,14,21,16
7,15,14,19,5,6,16,3,8,0,4,9,12,11,2,13,1,10,17,20,18,7,15,14,19,5,6,16,3,8,0,4,9,12,11,2,13,1,10,17,20,18
