0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,5,20,1,12,18,29,9,25,30,24,27,28,17,4,14,7,16,8,23,2,31,26,15,21,11,6,13,19,3,22,10,5,20,1,12,18,29,9,25,30,24,27,28,17,4,14,7,16,8,23,2,31,26,15,21,11,6,13,19,3,22
9,4,19,0,11,17,28,8,24,29,23,26,27,16,3,13,6,15,7,22,31,30,25,14,20,10,5,12,18,2,21,9,4,19,0,11,17,28,8,24,29,23,26,27,16,3,13,6,15,7,22,31,30,25,14,20,10,5,12,18,2,21
8,3,18,30,10,16,27,7,23,28,22,25,26,15,31,12,5,14,6,21,0,29,24,13,19,9,4,11,17,1,20,8,3,18,30,10,16,27,7,23,28,22,25,26,15,31,12,5,14,6,21,0,29,24,13,19,9,4,11,17,1,20
7,2,17,29,9,15,26,6,22,27,21,24,25,14,1,11,4,13,5,20,30,28,23,12,18,8,31,10,16,0,19,7,2,17,29,9,15,26,6,22,27,21,24,25,14,1,11,4,13,5,20,30,28,23,12,18,8,31,10,16,0,19
6,1,16,28,8,14,25,5,21,26,20,23,24,13,0,10,3,12,31,19,29,27,22,11,17,7,2,9,15,30,18,6,1,16,28,8,14,25,5,21,26,20,23,24,13,0,10,3,12,31,19,29,27,22,11,17,7,2,9,15,30,18
31,0,15,27,7,13,24,4,20,25,19,22,23,12,30,9,2,11,3,18,28,26,21,10,16,6,1,8,14,29,17,31,0,15,27,7,13,24,4,20,25,19,22,23,12,30,9,2,11,3,18,28,26,21,10,16,6,1,8,14,29,17
4,30,14,26,31,12,23,3,19,24,18,21,22,11,29,8,1,10,2,17,27,25,20,9,15,5,0,7,13,28,16,4,30,14,26,31,12,23,3,19,24,18,21,22,11,29,8,1,10,2,17,27,25,20,9,15,5,0,7,13,28,16
3,29,13,25,5,11,22,2,18,23,17,20,21,10,28,31,0,9,1,16,26,24,19,8,14,4,30,6,12,27,15,3,29,13,25,5,11,22,2,18,23,17,20,21,10,28,31,0,9,1,16,26,24,19,8,14,4,30,6,12,27,15
2,28,12,24,4,10,21,1,17,22,16,19,20,9,27,6,30,31,0,15,25,23,18,7,13,3,29,5,11,26,14,2,28,12,24,4,10,21,1,17,22,16,19,20,9,27,6,30,31,0,15,25,23,18,7,13,3,29,5,11,26,14
1,27,11,23,3,31,20,0,16,21,15,18,19,8,26,5,29,7,30,14,24,22,17,6,12,2,28,4,10,25,13,1,27,11,23,3,31,20,0,16,21,15,18,19,8,26,5,29,7,30,14,24,22,17,6,12,2,28,4,10,25,13
0,26,31,22,2,8,19,30,15,20,14,17,18,7,25,4,28,6,29,13,23,21,16,5,11,1,27,3,9,24,12,0,26,31,22,2,8,19,30,15,20,14,17,18,7,25,4,28,6,29,13,23,21,16,5,11,1,27,3,9,24,12
30,25,9,21,1,7,18,29,14,19,13,16,17,6,24,3,27,5,28,12,22,20,15,4,10,0,26,2,8,23,31,30,25,9,21,1,7,18,29,14,19,13,16,17,6,24,3,27,5,28,12,22,20,15,4,10,0,26,2,8,23,31
29,24,8,20,0,6,17,28,13,18,31,15,16,5,23,2,26,4,27,11,21,19,14,3,9,30,25,1,7,22,10,29,24,8,20,0,6,17,28,13,18,31,15,16,5,23,2,26,4,27,11,21,19,14,3,9,30,25,1,7,22,10
28,23,7,19,30,5,16,27,12,17,11,14,15,4,22,1,25,3,26,10,20,18,31,2,8,29,24,0,6,21,9,28,23,7,19,30,5,16,27,12,17,11,14,15,4,22,1,25,3,26,10,20,18,31,2,8,29,24,0,6,21,9
27,22,6,18,29,4,15,26,11,16,10,13,31,3,21,0,24,2,25,9,19,17,12,1,7,28,23,30,5,20,8,27,22,6,18,29,4,15,26,11,16,10,13,31,3,21,0,24,2,25,9,19,17,12,1,7,28,23,30,5,20,8
26,21,5,17,28,3,14,25,10,31,9,12,13,2,20,30,23,1,24,8,18,16,11,0,6,27,22,29,4,19,7,26,21,5,17,28,3,14,25,10,31,9,12,13,2,20,30,23,1,24,8,18,16,11,0,6,27,22,29,4,19,7
25,20,4,31,27,2,13,24,9,14,8,11,12,1,19,29,22,0,23,7,17,15,10,30,5,26,21,28,3,18,6,25,20,4,31,27,2,13,24,9,14,8,11,12,1,19,29,22,0,23,7,17,15,10,30,5,26,21,28,3,18,6
24,19,3,15,26,1,12,23,8,13,7,10,11,0,18,28,21,30,22,6,16,14,9,29,4,25,20,27,2,31,5,24,19,3,15,26,1,12,23,8,13,7,10,11,0,18,28,21,30,22,6,16,14,9,29,4,25,20,27,2,31,5
23,31,2,14,25,0,11,22,7,12,6,9,10,30,17,27,20,29,21,5,15,13,8,28,3,24,19,26,1,16,4,23,31,2,14,25,0,11,22,7,12,6,9,10,30,17,27,20,29,21,5,15,13,8,28,3,24,19,26,1,16,4
22,17,1,13,24,30,10,21,6,11,5,8,9,29,16,26,31,28,20,4,14,12,7,27,2,23,18,25,0,15,3,22,17,1,13,24,30,10,21,6,11,5,8,9,29,16,26,31,28,20,4,14,12,7,27,2,23,18,25,0,15,3
21,16,0,12,23,29,9,31,5,10,4,7,8,28,15,25,18,27,19,3,13,11,6,26,1,22,17,24,30,14,2,21,16,0,12,23,29,9,31,5,10,4,7,8,28,15,25,18,27,19,3,13,11,6,26,1,22,17,24,30,14,2
20,15,30,11,22,28,8,19,4,9,3,6,7,27,14,24,17,26,18,2,12,10,5,25,0,31,16,23,29,13,1,20,15,30,11,22,28,8,19,4,9,3,6,7,27,14,24,17,26,18,2,12,10,5,25,0,31,16,23,29,13,1
19,14,29,10,21,27,7,18,3,8,2,5,6,26,13,23,16,25,17,1,11,9,4,24,30,20,15,31,28,12,0,19,14,29,10,21,27,7,18,3,8,2,5,6,26,13,23,16,25,17,1,11,9,4,24,30,20,15,31,28,12,0
18,13,28,9,20,26,6,17,2,7,1,4,5,25,12,22,15,24,16,0,10,8,3,31,29,19,14,21,27,11,30,18,13,28,9,20,26,6,17,2,7,1,4,5,25,12,22,15,24,16,0,10,8,3,31,29,19,14,21,27,11,30
17,12,27,8,19,25,5,16,1,6,0,3,4,31,11,21,14,23,15,30,9,7,2,22,28,18,13,20,26,10,29,17,12,27,8,19,25,5,16,1,6,0,3,4,31,11,21,14,23,15,30,9,7,2,22,28,18,13,20,26,10,29
16,11,26,7,18,24,4,15,0,5,30,2,3,23,10,20,13,22,14,29,8,6,1,21,27,17,12,19,31,9,28,16,11,26,7,18,24,4,15,0,5,30,2,3,23,10,20,13,22,14,29,8,6,1,21,27,17,12,19,31,9,28
15,10,25,6,17,23,3,14,30,4,29,1,2,22,9,19,12,21,13,28,7,5,0,20,31,16,11,18,24,8,27,15,10,25,6,17,23,3,14,30,4,29,1,2,22,9,19,12,21,13,28,7,5,0,20,31,16,11,18,24,8,27
14,9,24,5,16,22,2,13,29,3,28,0,1,21,8,18,11,20,12,31,6,4,30,19,25,15,10,17,23,7,26,14,9,24,5,16,22,2,13,29,3,28,0,1,21,8,18,11,20,12,31,6,4,30,19,25,15,10,17,23,7,26
13,8,23,4,15,21,1,12,31,2,27,30,0,20,7,17,10,19,11,26,5,3,29,18,24,14,9,16,22,6,25,13,8,23,4,15,21,1,12,31,2,27,30,0,20,7,17,10,19,11,26,5,3,29,18,24,14,9,16,22,6,25
12,7,22,3,14,20,0,11,27,1,26,31,30,19,6,16,9,18,10,25,4,2,28,17,23,13,8,15,21,5,24,12,7,22,3,14,20,0,11,27,1,26,31,30,19,6,16,9,18,10,25,4,2,28,17,23,13,8,15,21,5,24
11,6,21,2,13,19,31,10,26,0,25,28,29,18,5,15,8,17,9,24,3,1,27,16,22,12,7,14,20,4,23,11,6,21,2,13,19,31,10,26,0,25,28,29,18,5,15,8,17,9,24,3,1,27,16,22,12,7,14,20,4,23
5,18,10,16,6,9,30,20,28,15,12,29,14,24,2,7,19,8,4,27,1,0,13,23,26,21,3,22,25,17,11,5,18,10,16,6,9,30,20,28,15,12,29,14,24,2,7,19,8,4,27,1,0,13,23,26,21,3,22,25,17,11
