0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
13,3,7,9,14,15,12,2,11,6,4,1,10,5,8,13,3,7,9,14,15,12,2,11,6,4,1,10,5,8
12,2,6,8,13,14,11,15,10,5,3,0,9,4,7,12,2,6,8,13,14,11,15,10,5,3,0,9,4,7
11,1,5,7,12,13,10,0,9,4,15,14,8,3,6,11,1,5,7,12,13,10,0,9,4,15,14,8,3,6
10,0,4,6,11,12,9,14,8,15,1,13,7,2,5,10,0,4,6,11,12,9,14,8,15,1,13,7,2,5
9,14,3,5,10,11,8,13,7,2,0,12,6,1,15,9,14,3,5,10,11,8,13,7,2,0,12,6,1,15
8,13,2,4,9,10,7,12,6,1,14,11,15,0,3,8,13,2,4,9,10,7,12,6,1,14,11,15,0,3
7,12,1,3,8,9,15,11,5,0,13,10,4,14,2,7,12,1,3,8,9,15,11,5,0,13,10,4,14,2
6,11,0,2,15,8,5,10,4,14,12,9,3,13,1,6,11,0,2,15,8,5,10,4,14,12,9,3,13,1
5,10,14,1,6,7,4,9,3,13,11,15,2,12,0,5,10,14,1,6,7,4,9,3,13,11,15,2,12,0
4,15,13,0,5,6,3,8,2,12,10,7,1,11,14,4,15,13,0,5,6,3,8,2,12,10,7,1,11,14
3,8,12,14,4,5,2,7,1,11,9,6,0,15,13,3,8,12,14,4,5,2,7,1,11,9,6,0,15,13
2,7,15,13,3,4,1,6,0,10,8,5,14,9,12,2,7,15,13,3,4,1,6,0,10,8,5,14,9,12
1,6,10,15,2,3,0,5,14,9,7,4,13,8,11,1,6,10,15,2,3,0,5,14,9,7,4,13,8,11
0,5,9,11,1,2,14,4,15,8,6,3,12,7,10,0,5,9,11,1,2,14,4,15,8,6,3,12,7,10
15,4,8,10,0,1,13,3,12,7,5,2,11,6,9,15,4,8,10,0,1,13,3,12,7,5,2,11,6,9
14,9,11,12,7,0,6,1,13,3,2,8,5,10,4,14,9,11,12,7,0,6,1,13,3,2,8,5,10,4
