0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
32,19,16,13,7,12,28,23,38,3,25,30,34,8,41,10,5,20,15,35,18,29,11,37,24,26,33,4,21,9,27,14,6,2,39,36,1,31,17,40,22,32,19,16,13,7,12,28,23,38,3,25,30,34,8,41,10,5,20,15,35,18,29,11,37,24,26,33,4,21,9,27,14,6,2,39,36,1,31,17,40,22
31,18,15,12,6,11,27,22,37,2,24,29,33,7,40,9,4,19,14,34,17,28,10,36,23,25,32,3,20,8,26,13,5,41,38,35,0,30,16,39,21,31,18,15,12,6,11,27,22,37,2,24,29,33,7,40,9,4,19,14,34,17,28,10,36,23,25,32,3,20,8,26,13,5,41,38,35,0,30,16,39,21
30,17,14,11,5,10,26,21,36,1,23,28,32,6,39,8,3,18,13,33,16,27,9,35,22,24,31,41,19,7,25,12,4,0,37,34,40,29,15,38,20,30,17,14,11,5,10,26,21,36,1,23,28,32,6,39,8,3,18,13,33,16,27,9,35,22,24,31,41,19,7,25,12,4,0,37,34,40,29,15,38,20
29,16,13,10,4,9,25,20,35,0,22,27,31,5,38,7,2,17,12,32,15,26,8,34,21,23,30,1,18,6,24,11,41,40,36,33,39,28,14,37,19,29,16,13,10,4,9,25,20,35,0,22,27,31,5,38,7,2,17,12,32,15,26,8,34,21,23,30,1,18,6,24,11,41,40,36,33,39,28,14,37,19
28,15,12,9,3,8,24,19,34,40,21,26,30,41,37,6,1,16,11,31,14,25,7,33,20,22,29,0,17,5,23,10,2,39,35,32,38,27,13,36,18,28,15,12,9,3,8,24,19,34,40,21,26,30,41,37,6,1,16,11,31,14,25,7,33,20,22,29,0,17,5,23,10,2,39,35,32,38,27,13,36,18
27,14,11,8,2,7,23,18,33,39,20,25,29,3,36,41,0,15,10,30,13,24,6,32,19,21,28,40,16,4,22,9,1,38,34,31,37,26,12,35,17,27,14,11,8,2,7,23,18,33,39,20,25,29,3,36,41,0,15,10,30,13,24,6,32,19,21,28,40,16,4,22,9,1,38,34,31,37,26,12,35,17
26,13,10,7,1,41,22,17,32,38,19,24,28,2,35,4,40,14,9,29,12,23,5,31,18,20,27,39,15,3,21,8,0,37,33,30,36,25,11,34,16,26,13,10,7,1,41,22,17,32,38,19,24,28,2,35,4,40,14,9,29,12,23,5,31,18,20,27,39,15,3,21,8,0,37,33,30,36,25,11,34,16
25,12,9,6,0,5,21,16,31,37,18,23,27,1,34,3,39,13,8,28,11,22,4,30,17,19,26,38,14,2,20,41,40,36,32,29,35,24,10,33,15,25,12,9,6,0,5,21,16,31,37,18,23,27,1,34,3,39,13,8,28,11,22,4,30,17,19,26,38,14,2,20,41,40,36,32,29,35,24,10,33,15
24,11,41,5,40,4,20,15,30,36,17,22,26,0,33,2,38,12,7,27,10,21,3,29,16,18,25,37,13,1,19,6,39,35,31,28,34,23,9,32,14,24,11,41,5,40,4,20,15,30,36,17,22,26,0,33,2,38,12,7,27,10,21,3,29,16,18,25,37,13,1,19,6,39,35,31,28,34,23,9,32,14
23,10,7,4,39,3,19,14,29,35,16,21,25,40,32,1,37,11,6,26,41,20,2,28,15,17,24,36,12,0,18,5,38,34,30,27,33,22,8,31,13,23,10,7,4,39,3,19,14,29,35,16,21,25,40,32,1,37,11,6,26,41,20,2,28,15,17,24,36,12,0,18,5,38,34,30,27,33,22,8,31,13
22,9,6,3,38,2,18,13,28,34,15,20,24,39,31,0,36,41,5,25,8,19,1,27,14,16,23,35,11,40,17,4,37,33,29,26,32,21,7,30,12,22,9,6,3,38,2,18,13,28,34,15,20,24,39,31,0,36,41,5,25,8,19,1,27,14,16,23,35,11,40,17,4,37,33,29,26,32,21,7,30,12
21,8,5,2,37,1,17,12,27,33,14,19,23,38,30,40,35,9,4,24,7,18,0,26,13,15,22,34,10,39,16,3,36,32,28,25,31,20,6,29,41,21,8,5,2,37,1,17,12,27,33,14,19,23,38,30,40,35,9,4,24,7,18,0,26,13,15,22,34,10,39,16,3,36,32,28,25,31,20,6,29,41
20,7,4,1,36,0,16,11,26,32,13,18,22,37,29,39,34,8,3,23,6,17,40,25,41,14,21,33,9,38,15,2,35,31,27,24,30,19,5,28,10,20,7,4,1,36,0,16,11,26,32,13,18,22,37,29,39,34,8,3,23,6,17,40,25,41,14,21,33,9,38,15,2,35,31,27,24,30,19,5,28,10
19,6,3,0,35,40,15,10,25,31,12,17,21,36,28,38,33,7,2,22,5,16,39,24,11,41,20,32,8,37,14,1,34,30,26,23,29,18,4,27,9,19,6,3,0,35,40,15,10,25,31,12,17,21,36,28,38,33,7,2,22,5,16,39,24,11,41,20,32,8,37,14,1,34,30,26,23,29,18,4,27,9
18,5,2,40,34,39,41,9,24,30,11,16,20,35,27,37,32,6,1,21,4,15,38,23,10,12,19,31,7,36,13,0,33,29,25,22,28,17,3,26,8,18,5,2,40,34,39,41,9,24,30,11,16,20,35,27,37,32,6,1,21,4,15,38,23,10,12,19,31,7,36,13,0,33,29,25,22,28,17,3,26,8
17,4,1,39,33,38,13,8,23,29,10,41,19,34,26,36,31,5,0,20,3,14,37,22,9,11,18,30,6,35,12,40,32,28,24,21,27,16,2,25,7,17,4,1,39,33,38,13,8,23,29,10,41,19,34,26,36,31,5,0,20,3,14,37,22,9,11,18,30,6,35,12,40,32,28,24,21,27,16,2,25,7
41,3,0,38,32,37,12,7,22,28,9,14,18,33,25,35,30,4,40,19,2,13,36,21,8,10,17,29,5,34,11,39,31,27,23,20,26,15,1,24,6,41,3,0,38,32,37,12,7,22,28,9,14,18,33,25,35,30,4,40,19,2,13,36,21,8,10,17,29,5,34,11,39,31,27,23,20,26,15,1,24,6
15,2,40,37,31,36,11,6,21,27,8,13,41,32,24,34,29,3,39,18,1,12,35,20,7,9,16,28,4,33,10,38,30,26,22,19,25,14,0,23,5,15,2,40,37,31,36,11,6,21,27,8,13,41,32,24,34,29,3,39,18,1,12,35,20,7,9,16,28,4,33,10,38,30,26,22,19,25,14,0,23,5
14,1,39,36,30,35,10,5,20,26,7,12,16,31,23,33,28,2,38,17,0,11,34,19,6,8,15,27,3,32,9,37,29,25,21,41,24,13,40,22,4,14,1,39,36,30,35,10,5,20,26,7,12,16,31,23,33,28,2,38,17,0,11,34,19,6,8,15,27,3,32,9,37,29,25,21,41,24,13,40,22,4
13,0,38,35,29,34,9,4,41,25,6,11,15,30,22,32,27,1,37,16,40,10,33,18,5,7,14,26,2,31,8,36,28,24,20,17,23,12,39,21,3,13,0,38,35,29,34,9,4,41,25,6,11,15,30,22,32,27,1,37,16,40,10,33,18,5,7,14,26,2,31,8,36,28,24,20,17,23,12,39,21,3
12,40,37,34,28,33,8,3,18,24,5,10,14,29,21,31,26,0,36,15,39,9,32,17,4,6,13,25,1,30,7,35,27,23,19,16,22,11,38,41,2,12,40,37,34,28,33,8,3,18,24,5,10,14,29,21,31,26,0,36,15,39,9,32,17,4,6,13,25,1,30,7,35,27,23,19,16,22,11,38,41,2
11,39,36,33,27,32,7,2,17,23,4,9,13,28,20,30,25,40,35,14,38,8,31,16,3,5,12,24,0,29,6,34,26,22,18,15,41,10,37,19,1,11,39,36,33,27,32,7,2,17,23,4,9,13,28,20,30,25,40,35,14,38,8,31,16,3,5,12,24,0,29,6,34,26,22,18,15,41,10,37,19,1
10,38,35,32,26,31,6,1,16,41,3,8,12,27,19,29,24,39,34,13,37,7,30,15,2,4,11,23,40,28,5,33,25,21,17,14,20,9,36,18,0,10,38,35,32,26,31,6,1,16,41,3,8,12,27,19,29,24,39,34,13,37,7,30,15,2,4,11,23,40,28,5,33,25,21,17,14,20,9,36,18,0
9,37,34,31,25,30,5,0,15,21,2,7,11,26,18,28,41,38,33,12,36,6,29,14,1,3,10,22,39,27,4,32,24,20,16,13,19,8,35,17,40,9,37,34,31,25,30,5,0,15,21,2,7,11,26,18,28,41,38,33,12,36,6,29,14,1,3,10,22,39,27,4,32,24,20,16,13,19,8,35,17,40
8,36,33,30,41,29,4,40,14,20,1,6,10,25,17,27,22,37,32,11,35,5,28,13,0,2,9,21,38,26,3,31,23,19,15,12,18,7,34,16,39,8,36,33,30,41,29,4,40,14,20,1,6,10,25,17,27,22,37,32,11,35,5,28,13,0,2,9,21,38,26,3,31,23,19,15,12,18,7,34,16,39
7,35,32,29,23,28,3,39,13,19,0,5,9,24,16,26,21,36,31,10,34,4,27,12,40,1,8,20,37,41,2,30,22,18,14,11,17,6,33,15,38,7,35,32,29,23,28,3,39,13,19,0,5,9,24,16,26,21,36,31,10,34,4,27,12,40,1,8,20,37,41,2,30,22,18,14,11,17,6,33,15,38
6,34,31,28,22,27,2,38,12,18,40,4,8,23,15,25,20,35,30,9,33,3,41,11,39,0,7,19,36,24,1,29,21,17,13,10,16,5,32,14,37,6,34,31,28,22,27,2,38,12,18,40,4,8,23,15,25,20,35,30,9,33,3,41,11,39,0,7,19,36,24,1,29,21,17,13,10,16,5,32,14,37
5,33,30,41,21,26,1,37,11,17,39,3,7,22,14,24,19,34,29,8,32,2,25,10,38,40,6,18,35,23,0,28,20,16,12,9,15,4,31,13,36,5,33,30,41,21,26,1,37,11,17,39,3,7,22,14,24,19,34,29,8,32,2,25,10,38,40,6,18,35,23,0,28,20,16,12,9,15,4,31,13,36
4,32,29,26,20,25,0,36,10,16,38,2,6,21,13,23,18,33,41,7,31,1,24,9,37,39,5,17,34,22,40,27,19,15,11,8,14,3,30,12,35,4,32,29,26,20,25,0,36,10,16,38,2,6,21,13,23,18,33,41,7,31,1,24,9,37,39,5,17,34,22,40,27,19,15,11,8,14,3,30,12,35
3,31,28,25,19,24,40,35,9,15,37,1,5,20,12,22,17,32,27,6,30,0,23,8,36,38,4,16,33,21,39,26,18,14,10,7,13,2,41,11,34,3,31,28,25,19,24,40,35,9,15,37,1,5,20,12,22,17,32,27,6,30,0,23,8,36,38,4,16,33,21,39,26,18,14,10,7,13,2,41,11,34
2,41,27,24,18,23,39,34,8,14,36,0,4,19,11,21,16,31,26,5,29,40,22,7,35,37,3,15,32,20,38,25,17,13,9,6,12,1,28,10,33,2,41,27,24,18,23,39,34,8,14,36,0,4,19,11,21,16,31,26,5,29,40,22,7,35,37,3,15,32,20,38,25,17,13,9,6,12,1,28,10,33
1,29,26,23,17,22,38,33,7,13,35,40,3,18,10,20,15,30,25,4,28,39,21,6,34,36,2,14,41,19,37,24,16,12,8,5,11,0,27,9,32,1,29,26,23,17,22,38,33,7,13,35,40,3,18,10,20,15,30,25,4,28,39,21,6,34,36,2,14,41,19,37,24,16,12,8,5,11,0,27,9,32
0,28,25,22,16,21,37,41,6,12,34,39,2,17,9,19,14,29,24,3,27,38,20,5,33,35,1,13,30,18,36,23,15,11,7,4,10,40,26,8,31,0,28,25,22,16,21,37,41,6,12,34,39,2,17,9,19,14,29,24,3,27,38,20,5,33,35,1,13,30,18,36,23,15,11,7,4,10,40,26,8,31
40,27,24,21,15,20,36,31,5,11,41,38,1,16,8,18,13,28,23,2,26,37,19,4,32,34,0,12,29,17,35,22,14,10,6,3,9,39,25,7,30,40,27,24,21,15,20,36,31,5,11,41,38,1,16,8,18,13,28,23,2,26,37,19,4,32,34,0,12,29,17,35,22,14,10,6,3,9,39,25,7,30
39,26,23,20,14,19,35,30,4,10,32,37,0,15,7,17,12,27,22,1,25,36,18,3,31,33,40,11,28,16,41,21,13,9,5,2,8,38,24,6,29,39,26,23,20,14,19,35,30,4,10,32,37,0,15,7,17,12,27,22,1,25,36,18,3,31,33,40,11,28,16,41,21,13,9,5,2,8,38,24,6,29
38,25,22,19,13,18,34,29,3,9,31,36,40,14,6,16,11,26,21,0,24,41,17,2,30,32,39,10,27,15,33,20,12,8,4,1,7,37,23,5,28,38,25,22,19,13,18,34,29,3,9,31,36,40,14,6,16,11,26,21,0,24,41,17,2,30,32,39,10,27,15,33,20,12,8,4,1,7,37,23,5,28
37,24,21,18,12,17,33,28,2,8,30,35,39,13,5,15,10,25,20,40,23,34,16,1,29,31,38,9,26,14,32,19,11,7,3,0,6,41,22,4,27,37,24,21,18,12,17,33,28,2,8,30,35,39,13,5,15,10,25,20,40,23,34,16,1,29,31,38,9,26,14,32,19,11,7,3,0,6,41,22,4,27
36,23,20,17,11,16,32,27,1,7,29,34,38,12,4,14,9,24,19,39,22,33,15,0,28,30,41,8,25,13,31,18,10,6,2,40,5,35,21,3,26,36,23,20,17,11,16,32,27,1,7,29,34,38,12,4,14,9,24,19,39,22,33,15,0,28,30,41,8,25,13,31,18,10,6,2,40,5,35,21,3,26
35,22,19,16,10,15,31,26,0,6,28,33,37,11,3,13,8,23,18,41,21,32,14,40,27,29,36,7,24,12,30,17,9,5,1,39,4,34,20,2,25,35,22,19,16,10,15,31,26,0,6,28,33,37,11,3,13,8,23,18,41,21,32,14,40,27,29,36,7,24,12,30,17,9,5,1,39,4,34,20,2,25
34,21,18,15,9,14,30,25,40,5,27,32,36,10,2,12,7,22,17,37,20,31,13,41,26,28,35,6,23,11,29,16,8,4,0,38,3,33,19,1,24,34,21,18,15,9,14,30,25,40,5,27,32,36,10,2,12,7,22,17,37,20,31,13,41,26,28,35,6,23,11,29,16,8,4,0,38,3,33,19,1,24
33,20,17,14,8,13,29,24,39,4,26,31,35,9,1,11,6,21,16,36,19,30,12,38,25,27,34,5,22,10,28,15,7,3,41,37,2,32,18,0,23,33,20,17,14,8,13,29,24,39,4,26,31,35,9,1,11,6,21,16,36,19,30,12,38,25,27,34,5,22,10,28,15,7,3,41,37,2,32,18,0,23
16,30,8,27,24,6,14,32,19,22,33,15,17,4,0,5,23,10,28,38,9,35,26,39,12,13,37,2,31,25,34,7,3,1,40,18,21,36,29,20,11,16,30,8,27,24,6,14,32,19,22,33,15,17,4,0,5,23,10,28,38,9,35,26,39,12,13,37,2,31,25,34,7,3,1,40,18,21,36,29,20,11
