0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
34,8,12,23,19,7,5,43,44,27,3,15,26,6,37,35,39,42,45,14,17,20,21,28,30,10,25,41,40,36,32,4,24,9,22,16,11,2,18,29,13,1,38,31,33,34,8,12,23,19,7,5,43,44,27,3,15,26,6,37,35,39,42,45,14,17,20,21,28,30,10,25,41,40,36,32,4,24,9,22,16,11,2,18,29,13,1,38,31,33
33,7,11,22,18,6,4,42,43,26,2,14,25,5,36,34,38,41,44,13,16,19,20,27,29,9,24,40,39,35,31,3,23,8,21,15,10,45,17,28,12,0,37,30,32,33,7,11,22,18,6,4,42,43,26,2,14,25,5,36,34,38,41,44,13,16,19,20,27,29,9,24,40,39,35,31,3,23,8,21,15,10,45,17,28,12,0,37,30,32
32,6,10,21,17,5,3,41,42,25,1,13,24,4,35,33,37,40,43,12,15,18,19,26,28,8,23,39,38,34,30,45,22,7,20,14,9,0,16,27,11,44,36,29,31,32,6,10,21,17,5,3,41,42,25,1,13,24,4,35,33,37,40,43,12,15,18,19,26,28,8,23,39,38,34,30,45,22,7,20,14,9,0,16,27,11,44,36,29,31
31,5,9,20,16,4,2,40,41,24,0,12,23,45,34,32,36,39,42,11,14,17,18,25,27,7,22,38,37,33,29,1,21,6,19,13,8,44,15,26,10,43,35,28,30,31,5,9,20,16,4,2,40,41,24,0,12,23,45,34,32,36,39,42,11,14,17,18,25,27,7,22,38,37,33,29,1,21,6,19,13,8,44,15,26,10,43,35,28,30
30,45,8,19,15,3,1,39,40,23,44,11,22,2,33,31,35,38,41,10,13,16,17,24,26,6,21,37,36,32,28,0,20,5,18,12,7,43,14,25,9,42,34,27,29,30,45,8,19,15,3,1,39,40,23,44,11,22,2,33,31,35,38,41,10,13,16,17,24,26,6,21,37,36,32,28,0,20,5,18,12,7,43,14,25,9,42,34,27,29
29,3,7,18,14,2,0,38,39,22,43,10,21,1,32,30,34,37,40,9,12,15,16,23,25,45,20,36,35,31,27,44,19,4,17,11,6,42,13,24,8,41,33,26,28,29,3,7,18,14,2,0,38,39,22,43,10,21,1,32,30,34,37,40,9,12,15,16,23,25,45,20,36,35,31,27,44,19,4,17,11,6,42,13,24,8,41,33,26,28
28,2,45,17,13,1,44,37,38,21,42,9,20,0,31,29,33,36,39,8,11,14,15,22,24,4,19,35,34,30,26,43,18,3,16,10,5,41,12,23,7,40,32,25,27,28,2,45,17,13,1,44,37,38,21,42,9,20,0,31,29,33,36,39,8,11,14,15,22,24,4,19,35,34,30,26,43,18,3,16,10,5,41,12,23,7,40,32,25,27
27,1,5,16,12,0,43,36,37,20,41,8,19,44,30,28,32,35,38,45,10,13,14,21,23,3,18,34,33,29,25,42,17,2,15,9,4,40,11,22,6,39,31,24,26,27,1,5,16,12,0,43,36,37,20,41,8,19,44,30,28,32,35,38,45,10,13,14,21,23,3,18,34,33,29,25,42,17,2,15,9,4,40,11,22,6,39,31,24,26
26,0,4,15,11,44,42,35,36,19,40,7,18,43,29,27,31,34,37,6,9,12,13,20,22,2,17,33,32,28,24,41,16,1,14,45,3,39,10,21,5,38,30,23,25,26,0,4,15,11,44,42,35,36,19,40,7,18,43,29,27,31,34,37,6,9,12,13,20,22,2,17,33,32,28,24,41,16,1,14,45,3,39,10,21,5,38,30,23,25
25,44,3,14,10,43,41,34,35,18,39,6,17,42,28,26,30,33,36,5,8,11,12,19,21,1,16,32,31,27,23,40,15,0,13,7,2,38,45,20,4,37,29,22,24,25,44,3,14,10,43,41,34,35,18,39,6,17,42,28,26,30,33,36,5,8,11,12,19,21,1,16,32,31,27,23,40,15,0,13,7,2,38,45,20,4,37,29,22,24
24,43,2,13,9,42,40,33,34,17,38,5,16,41,27,25,29,32,35,4,7,45,11,18,20,0,15,31,30,26,22,39,14,44,12,6,1,37,8,19,3,36,28,21,23,24,43,2,13,9,42,40,33,34,17,38,5,16,41,27,25,29,32,35,4,7,45,11,18,20,0,15,31,30,26,22,39,14,44,12,6,1,37,8,19,3,36,28,21,23
23,42,1,12,8,41,39,32,33,16,37,4,15,40,26,24,28,31,34,3,6,9,10,17,19,44,14,30,29,25,21,38,13,43,45,5,0,36,7,18,2,35,27,20,22,23,42,1,12,8,41,39,32,33,16,37,4,15,40,26,24,28,31,34,3,6,9,10,17,19,44,14,30,29,25,21,38,13,43,45,5,0,36,7,18,2,35,27,20,22
22,41,0,11,7,40,38,31,32,15,36,3,14,39,25,23,27,30,33,2,5,8,9,16,18,43,13,29,28,24,20,37,45,42,10,4,44,35,6,17,1,34,26,19,21,22,41,0,11,7,40,38,31,32,15,36,3,14,39,25,23,27,30,33,2,5,8,9,16,18,43,13,29,28,24,20,37,45,42,10,4,44,35,6,17,1,34,26,19,21
