0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
35,44,46,40,3,14,10,2,45,16,17,13,27,21,33,26,20,12,43,11,47,5,28,41,23,15,18,9,22,36,7,31,19,37,8,39,34,6,4,38,24,42,29,1,25,30,32,35,44,46,40,3,14,10,2,45,16,17,13,27,21,33,26,20,12,43,11,47,5,28,41,23,15,18,9,22,36,7,31,19,37,8,39,34,6,4,38,24,42,29,1,25,30,32
34,43,45,39,2,13,9,47,44,15,16,12,26,20,32,25,19,11,42,10,46,4,27,40,22,14,17,8,21,35,6,30,18,36,7,38,33,5,3,37,23,41,28,0,24,29,31,34,43,45,39,2,13,9,47,44,15,16,12,26,20,32,25,19,11,42,10,46,4,27,40,22,14,17,8,21,35,6,30,18,36,7,38,33,5,3,37,23,41,28,0,24,29,31
33,42,44,38,1,12,8,0,43,14,15,11,25,19,31,24,18,10,41,9,45,3,26,39,21,13,16,7,20,34,5,29,17,35,6,37,32,4,47,36,22,40,27,46,23,28,30,33,42,44,38,1,12,8,0,43,14,15,11,25,19,31,24,18,10,41,9,45,3,26,39,21,13,16,7,20,34,5,29,17,35,6,37,32,4,47,36,22,40,27,46,23,28,30
32,41,43,37,0,11,7,46,42,13,14,10,24,18,30,23,17,9,40,8,44,2,25,38,20,12,15,6,19,33,4,28,16,34,5,36,31,47,1,35,21,39,26,45,22,27,29,32,41,43,37,0,11,7,46,42,13,14,10,24,18,30,23,17,9,40,8,44,2,25,38,20,12,15,6,19,33,4,28,16,34,5,36,31,47,1,35,21,39,26,45,22,27,29
31,40,42,36,46,10,6,45,41,12,13,9,23,17,29,22,16,8,39,7,43,1,24,37,19,11,14,5,18,32,3,27,15,33,47,35,30,2,0,34,20,38,25,44,21,26,28,31,40,42,36,46,10,6,45,41,12,13,9,23,17,29,22,16,8,39,7,43,1,24,37,19,11,14,5,18,32,3,27,15,33,47,35,30,2,0,34,20,38,25,44,21,26,28
30,39,41,35,45,9,47,44,40,11,12,8,22,16,28,21,15,7,38,6,42,0,23,36,18,10,13,4,17,31,2,26,14,32,3,34,29,1,46,33,19,37,24,43,20,25,27,30,39,41,35,45,9,47,44,40,11,12,8,22,16,28,21,15,7,38,6,42,0,23,36,18,10,13,4,17,31,2,26,14,32,3,34,29,1,46,33,19,37,24,43,20,25,27
29,38,40,34,44,8,4,43,39,10,11,7,21,15,27,20,14,47,37,5,41,46,22,35,17,9,12,3,16,30,1,25,13,31,2,33,28,0,45,32,18,36,23,42,19,24,26,29,38,40,34,44,8,4,43,39,10,11,7,21,15,27,20,14,47,37,5,41,46,22,35,17,9,12,3,16,30,1,25,13,31,2,33,28,0,45,32,18,36,23,42,19,24,26
28,37,39,33,43,47,3,42,38,9,10,6,20,14,26,19,13,5,36,4,40,45,21,34,16,8,11,2,15,29,0,24,12,30,1,32,27,46,44,31,17,35,22,41,18,23,25,28,37,39,33,43,47,3,42,38,9,10,6,20,14,26,19,13,5,36,4,40,45,21,34,16,8,11,2,15,29,0,24,12,30,1,32,27,46,44,31,17,35,22,41,18,23,25
27,36,38,32,42,6,2,41,37,47,9,5,19,13,25,18,12,4,35,3,39,44,20,33,15,7,10,1,14,28,46,23,11,29,0,31,26,45,43,30,16,34,21,40,17,22,24,27,36,38,32,42,6,2,41,37,47,9,5,19,13,25,18,12,4,35,3,39,44,20,33,15,7,10,1,14,28,46,23,11,29,0,31,26,45,43,30,16,34,21,40,17,22,24
26,35,37,31,41,5,1,40,36,7,8,4,18,12,24,17,11,3,34,2,38,43,19,32,14,6,47,0,13,27,45,22,10,28,46,30,25,44,42,29,15,33,20,39,16,21,23,26,35,37,31,41,5,1,40,36,7,8,4,18,12,24,17,11,3,34,2,38,43,19,32,14,6,47,0,13,27,45,22,10,28,46,30,25,44,42,29,15,33,20,39,16,21,23
