0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
13,15,35,4,32,9,7,14,20,6,3,23,17,28,24,22,10,26,30,11,21,5,19,31,16,25,2,29,34,8,1,18,12,33,27,13,15,35,4,32,9,7,14,20,6,3,23,17,28,24,22,10,26,30,11,21,5,19,31,16,25,2,29,34,8,1,18,12,33,27
12,14,34,3,31,8,6,13,19,5,2,22,16,27,23,21,9,25,29,10,20,4,18,30,15,24,35,28,33,7,0,17,11,32,26,12,14,34,3,31,8,6,13,19,5,2,22,16,27,23,21,9,25,29,10,20,4,18,30,15,24,35,28,33,7,0,17,11,32,26
11,13,33,35,30,7,5,12,18,4,1,21,15,26,22,20,8,24,28,9,19,3,17,29,14,23,0,27,32,6,34,16,10,31,25,11,13,33,35,30,7,5,12,18,4,1,21,15,26,22,20,8,24,28,9,19,3,17,29,14,23,0,27,32,6,34,16,10,31,25
10,12,32,1,29,6,4,11,17,35,0,20,14,25,21,19,7,23,27,8,18,2,16,28,13,22,34,26,31,5,33,15,9,30,24,10,12,32,1,29,6,4,11,17,35,0,20,14,25,21,19,7,23,27,8,18,2,16,28,13,22,34,26,31,5,33,15,9,30,24
9,11,31,0,28,5,3,10,16,2,34,19,13,24,20,18,6,22,26,7,17,1,15,27,12,21,33,25,30,35,32,14,8,29,23,9,11,31,0,28,5,3,10,16,2,34,19,13,24,20,18,6,22,26,7,17,1,15,27,12,21,33,25,30,35,32,14,8,29,23
8,10,30,34,27,4,2,9,15,1,33,18,12,23,19,17,35,21,25,6,16,0,14,26,11,20,32,24,29,3,31,13,7,28,22,8,10,30,34,27,4,2,9,15,1,33,18,12,23,19,17,35,21,25,6,16,0,14,26,11,20,32,24,29,3,31,13,7,28,22
7,9,29,33,26,3,1,8,14,0,32,17,11,22,18,16,4,20,24,5,15,34,13,25,10,19,31,23,28,2,30,12,35,27,21,7,9,29,33,26,3,1,8,14,0,32,17,11,22,18,16,4,20,24,5,15,34,13,25,10,19,31,23,28,2,30,12,35,27,21
6,8,28,32,25,2,0,35,13,34,31,16,10,21,17,15,3,19,23,4,14,33,12,24,9,18,30,22,27,1,29,11,5,26,20,6,8,28,32,25,2,0,35,13,34,31,16,10,21,17,15,3,19,23,4,14,33,12,24,9,18,30,22,27,1,29,11,5,26,20
5,7,27,31,24,1,34,6,12,33,30,15,9,20,16,14,2,18,22,3,13,32,11,23,35,17,29,21,26,0,28,10,4,25,19,5,7,27,31,24,1,34,6,12,33,30,15,9,20,16,14,2,18,22,3,13,32,11,23,35,17,29,21,26,0,28,10,4,25,19
4,6,26,30,23,0,33,5,11,32,29,14,8,19,15,13,1,17,21,2,12,31,10,22,7,16,28,20,25,34,27,35,3,24,18,4,6,26,30,23,0,33,5,11,32,29,14,8,19,15,13,1,17,21,2,12,31,10,22,7,16,28,20,25,34,27,35,3,24,18
3,5,25,29,22,34,32,4,35,31,28,13,7,18,14,12,0,16,20,1,11,30,9,21,6,15,27,19,24,33,26,8,2,23,17,3,5,25,29,22,34,32,4,35,31,28,13,7,18,14,12,0,16,20,1,11,30,9,21,6,15,27,19,24,33,26,8,2,23,17
2,4,24,28,21,33,31,3,9,30,27,12,6,17,13,35,34,15,19,0,10,29,8,20,5,14,26,18,23,32,25,7,1,22,16,2,4,24,28,21,33,31,3,9,30,27,12,6,17,13,35,34,15,19,0,10,29,8,20,5,14,26,18,23,32,25,7,1,22,16
1,3,23,27,20,32,30,2,8,29,26,11,5,16,35,10,33,14,18,34,9,28,7,19,4,13,25,17,22,31,24,6,0,21,15,1,3,23,27,20,32,30,2,8,29,26,11,5,16,35,10,33,14,18,34,9,28,7,19,4,13,25,17,22,31,24,6,0,21,15
0,2,22,26,19,31,29,1,7,28,25,10,4,15,11,9,32,35,17,33,8,27,6,18,3,12,24,16,21,30,23,5,34,20,14,0,2,22,26,19,31,29,1,7,28,25,10,4,15,11,9,32,35,17,33,8,27,6,18,3,12,24,16,21,30,23,5,34,20,14
34,1,21,25,18,30,28,0,6,27,24,9,3,35,10,8,31,12,16,32,7,26,5,17,2,11,23,15,20,29,22,4,33,19,13,34,1,21,25,18,30,28,0,6,27,24,9,3,35,10,8,31,12,16,32,7,26,5,17,2,11,23,15,20,29,22,4,33,19,13
33,0,20,24,17,29,27,34,5,26,23,8,2,13,9,7,30,11,35,31,6,25,4,16,1,10,22,14,19,28,21,3,32,18,12,33,0,20,24,17,29,27,34,5,26,23,8,2,13,9,7,30,11,35,31,6,25,4,16,1,10,22,14,19,28,21,3,32,18,12
32,34,19,23,35,28,26,33,4,25,22,7,1,12,8,6,29,10,14,30,5,24,3,15,0,9,21,13,18,27,20,2,31,17,11,32,34,19,23,35,28,26,33,4,25,22,7,1,12,8,6,29,10,14,30,5,24,3,15,0,9,21,13,18,27,20,2,31,17,11
31,33,18,22,15,27,25,32,3,24,21,6,0,11,7,5,28,9,13,29,4,23,2,14,34,8,20,12,35,26,19,1,30,16,10,31,33,18,22,15,27,25,32,3,24,21,6,0,11,7,5,28,9,13,29,4,23,2,14,34,8,20,12,35,26,19,1,30,16,10
30,32,17,21,14,26,24,31,2,23,20,5,34,10,6,4,27,8,12,28,3,22,1,13,33,7,19,11,16,25,35,0,29,15,9,30,32,17,21,14,26,24,31,2,23,20,5,34,10,6,4,27,8,12,28,3,22,1,13,33,7,19,11,16,25,35,0,29,15,9
29,31,16,20,13,25,23,30,1,22,35,4,33,9,5,3,26,7,11,27,2,21,0,12,32,6,18,10,15,24,17,34,28,14,8,29,31,16,20,13,25,23,30,1,22,35,4,33,9,5,3,26,7,11,27,2,21,0,12,32,6,18,10,15,24,17,34,28,14,8
28,30,15,19,12,24,22,29,0,21,18,3,32,8,4,2,25,6,10,26,1,35,34,11,31,5,17,9,14,23,16,33,27,13,7,28,30,15,19,12,24,22,29,0,21,18,3,32,8,4,2,25,6,10,26,1,35,34,11,31,5,17,9,14,23,16,33,27,13,7
27,29,14,18,11,23,35,28,34,20,17,2,31,7,3,1,24,5,9,25,0,19,33,10,30,4,16,8,13,22,15,32,26,12,6,27,29,14,18,11,23,35,28,34,20,17,2,31,7,3,1,24,5,9,25,0,19,33,10,30,4,16,8,13,22,15,32,26,12,6
26,28,13,17,10,35,20,27,33,19,16,1,30,6,2,0,23,4,8,24,34,18,32,9,29,3,15,7,12,21,14,31,25,11,5,26,28,13,17,10,35,20,27,33,19,16,1,30,6,2,0,23,4,8,24,34,18,32,9,29,3,15,7,12,21,14,31,25,11,5
25,27,12,16,9,21,19,26,32,18,15,0,29,5,1,34,22,3,7,35,33,17,31,8,28,2,14,6,11,20,13,30,24,10,4,25,27,12,16,9,21,19,26,32,18,15,0,29,5,1,34,22,3,7,35,33,17,31,8,28,2,14,6,11,20,13,30,24,10,4
35,26,11,15,8,20,18,25,31,17,14,34,28,4,0,33,21,2,6,22,32,16,30,7,27,1,13,5,10,19,12,29,23,9,3,35,26,11,15,8,20,18,25,31,17,14,34,28,4,0,33,21,2,6,22,32,16,30,7,27,1,13,5,10,19,12,29,23,9,3
23,35,10,14,7,19,17,24,30,16,13,33,27,3,34,32,20,1,5,21,31,15,29,6,26,0,12,4,9,18,11,28,22,8,2,23,35,10,14,7,19,17,24,30,16,13,33,27,3,34,32,20,1,5,21,31,15,29,6,26,0,12,4,9,18,11,28,22,8,2
22,24,9,13,6,18,16,23,29,15,12,32,35,2,33,31,19,0,4,20,30,14,28,5,25,34,11,3,8,17,10,27,21,7,1,22,24,9,13,6,18,16,23,29,15,12,32,35,2,33,31,19,0,4,20,30,14,28,5,25,34,11,3,8,17,10,27,21,7,1
