0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
39,35,3,25,20,23,10,5,19,31,32,14,36,15,21,26,18,16,30,28,34,7,17,8,24,33,37,2,4,1,13,6,22,27,29,38,11,12,9,39,35,3,25,20,23,10,5,19,31,32,14,36,15,21,26,18,16,30,28,34,7,17,8,24,33,37,2,4,1,13,6,22,27,29,38,11,12,9
38,34,2,24,19,22,9,4,18,30,31,13,35,14,20,25,17,15,29,27,33,6,16,7,23,32,36,39,3,0,12,5,21,26,28,37,10,11,8,38,34,2,24,19,22,9,4,18,30,31,13,35,14,20,25,17,15,29,27,33,6,16,7,23,32,36,39,3,0,12,5,21,26,28,37,10,11,8
37,33,1,23,18,21,8,3,17,29,30,12,34,13,19,24,16,14,28,26,32,5,15,6,22,31,35,0,39,38,11,4,20,25,27,36,9,10,7,37,33,1,23,18,21,8,3,17,29,30,12,34,13,19,24,16,14,28,26,32,5,15,6,22,31,35,0,39,38,11,4,20,25,27,36,9,10,7
36,32,0,22,17,20,7,2,16,28,29,11,33,12,18,23,15,13,27,25,31,4,14,5,21,30,34,38,1,37,10,39,19,24,26,35,8,9,6,36,32,0,22,17,20,7,2,16,28,29,11,33,12,18,23,15,13,27,25,31,4,14,5,21,30,34,38,1,37,10,39,19,24,26,35,8,9,6
35,31,38,21,16,19,6,1,15,27,28,10,32,11,17,22,14,12,26,24,30,3,13,39,20,29,33,37,0,36,9,2,18,23,25,34,7,8,5,35,31,38,21,16,19,6,1,15,27,28,10,32,11,17,22,14,12,26,24,30,3,13,39,20,29,33,37,0,36,9,2,18,23,25,34,7,8,5
34,30,37,20,15,18,39,0,14,26,27,9,31,10,16,21,13,11,25,23,29,2,12,3,19,28,32,36,38,35,8,1,17,22,24,33,6,7,4,34,30,37,20,15,18,39,0,14,26,27,9,31,10,16,21,13,11,25,23,29,2,12,3,19,28,32,36,38,35,8,1,17,22,24,33,6,7,4
33,29,36,19,14,17,4,38,13,25,26,8,30,9,15,20,12,10,24,22,28,1,11,2,18,27,31,35,37,34,7,0,16,21,23,32,5,39,3,33,29,36,19,14,17,4,38,13,25,26,8,30,9,15,20,12,10,24,22,28,1,11,2,18,27,31,35,37,34,7,0,16,21,23,32,5,39,3
32,28,35,18,13,16,3,37,12,24,25,39,29,8,14,19,11,9,23,21,27,0,10,1,17,26,30,34,36,33,6,38,15,20,22,31,4,5,2,32,28,35,18,13,16,3,37,12,24,25,39,29,8,14,19,11,9,23,21,27,0,10,1,17,26,30,34,36,33,6,38,15,20,22,31,4,5,2
31,27,34,17,12,15,2,36,11,23,24,6,28,7,13,18,10,39,22,20,26,38,9,0,16,25,29,33,35,32,5,37,14,19,21,30,3,4,1,31,27,34,17,12,15,2,36,11,23,24,6,28,7,13,18,10,39,22,20,26,38,9,0,16,25,29,33,35,32,5,37,14,19,21,30,3,4,1
30,26,33,16,11,14,1,35,10,22,23,5,27,6,12,17,39,7,21,19,25,37,8,38,15,24,28,32,34,31,4,36,13,18,20,29,2,3,0,30,26,33,16,11,14,1,35,10,22,23,5,27,6,12,17,39,7,21,19,25,37,8,38,15,24,28,32,34,31,4,36,13,18,20,29,2,3,0
