0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
23,20,17,6,15,22,3,16,18,9,14,1,12,5,11,7,4,19,13,8,2,10,21,23,20,17,6,15,22,3,16,18,9,14,1,12,5,11,7,4,19,13,8,2,10,21
22,19,16,5,14,21,2,15,17,8,13,0,11,4,10,6,3,18,12,7,23,9,20,22,19,16,5,14,21,2,15,17,8,13,0,11,4,10,6,3,18,12,7,23,9,20
21,18,15,4,13,20,1,14,16,7,12,22,10,3,9,5,23,17,11,6,0,8,19,21,18,15,4,13,20,1,14,16,7,12,22,10,3,9,5,23,17,11,6,0,8,19
20,17,14,23,12,19,0,13,15,6,11,21,9,2,8,4,1,16,10,5,22,7,18,20,17,14,23,12,19,0,13,15,6,11,21,9,2,8,4,1,16,10,5,22,7,18
19,16,13,2,11,18,22,12,14,5,10,20,8,1,7,3,0,15,9,23,21,6,17,19,16,13,2,11,18,22,12,14,5,10,20,8,1,7,3,0,15,9,23,21,6,17
18,15,12,1,10,17,21,11,13,4,9,19,7,0,6,2,22,14,8,3,20,23,16,18,15,12,1,10,17,21,11,13,4,9,19,7,0,6,2,22,14,8,3,20,23,16
17,14,11,0,9,16,20,10,12,3,8,18,23,22,5,1,21,13,7,2,19,4,15,17,14,11,0,9,16,20,10,12,3,8,18,23,22,5,1,21,13,7,2,19,4,15
16,13,10,22,8,15,19,9,11,2,23,17,5,21,4,0,20,12,6,1,18,3,14,16,13,10,22,8,15,19,9,11,2,23,17,5,21,4,0,20,12,6,1,18,3,14
15,12,9,21,7,14,18,23,10,1,6,16,4,20,3,22,19,11,5,0,17,2,13,15,12,9,21,7,14,18,23,10,1,6,16,4,20,3,22,19,11,5,0,17,2,13
14,11,8,20,6,13,17,7,23,0,5,15,3,19,2,21,18,10,4,22,16,1,12,14,11,8,20,6,13,17,7,23,0,5,15,3,19,2,21,18,10,4,22,16,1,12
13,23,7,19,5,12,16,6,8,22,4,14,2,18,1,20,17,9,3,21,15,0,11,13,23,7,19,5,12,16,6,8,22,4,14,2,18,1,20,17,9,3,21,15,0,11
12,9,6,18,4,23,15,5,7,21,3,13,1,17,0,19,16,8,2,20,14,22,10,12,9,6,18,4,23,15,5,7,21,3,13,1,17,0,19,16,8,2,20,14,22,10
11,8,5,17,3,10,14,4,6,20,2,23,0,16,22,18,15,7,1,19,13,21,9,11,8,5,17,3,10,14,4,6,20,2,23,0,16,22,18,15,7,1,19,13,21,9
10,7,4,16,2,9,23,3,5,19,1,11,22,15,21,17,14,6,0,18,12,20,8,10,7,4,16,2,9,23,3,5,19,1,11,22,15,21,17,14,6,0,18,12,20,8
9,6,3,15,1,8,12,2,4,18,0,10,21,23,20,16,13,5,22,17,11,19,7,9,6,3,15,1,8,12,2,4,18,0,10,21,23,20,16,13,5,22,17,11,19,7
8,5,2,14,0,7,11,1,3,17,22,9,20,13,19,23,12,4,21,16,10,18,6,8,5,2,14,0,7,11,1,3,17,22,9,20,13,19,23,12,4,21,16,10,18,6
7,4,1,13,22,6,10,0,2,23,21,8,19,12,18,14,11,3,20,15,9,17,5,7,4,1,13,22,6,10,0,2,23,21,8,19,12,18,14,11,3,20,15,9,17,5
6,3,0,12,21,5,9,22,1,15,20,7,18,11,23,13,10,2,19,14,8,16,4,6,3,0,12,21,5,9,22,1,15,20,7,18,11,23,13,10,2,19,14,8,16,4
5,2,22,11,20,4,8,21,0,14,19,6,17,10,16,12,9,1,23,13,7,15,3,5,2,22,11,20,4,8,21,0,14,19,6,17,10,16,12,9,1,23,13,7,15,3
4,1,21,10,23,3,7,20,22,13,18,5,16,9,15,11,8,0,17,12,6,14,2,4,1,21,10,23,3,7,20,22,13,18,5,16,9,15,11,8,0,17,12,6,14,2
3,0,23,9,18,2,6,19,21,12,17,4,15,8,14,10,7,22,16,11,5,13,1,3,0,23,9,18,2,6,19,21,12,17,4,15,8,14,10,7,22,16,11,5,13,1
2,22,19,8,17,1,5,18,20,11,16,3,14,7,13,9,6,23,15,10,4,12,0,2,22,19,8,17,1,5,18,20,11,16,3,14,7,13,9,6,23,15,10,4,12,0
1,21,18,7,16,0,4,17,19,10,15,2,13,6,12,8,5,20,14,9,3,11,23,1,21,18,7,16,0,4,17,19,10,15,2,13,6,12,8,5,20,14,9,3,11,23
0,10,20,3,19,11,13,8,9,16,7,12,6,14,17,15,2,21,18,4,1,5,22,0,10,20,3,19,11,13,8,9,16,7,12,6,14,17,15,2,21,18,4,1,5,22
