0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
21,35,8,25,5,17,36,4,26,15,33,18,6,32,1,22,3,19,11,12,28,23,39,10,29,9,20,7,38,30,14,13,31,27,16,34,2,37,24,21,35,8,25,5,17,36,4,26,15,33,18,6,32,1,22,3,19,11,12,28,23,39,10,29,9,20,7,38,30,14,13,31,27,16,34,2,37,24
20,34,7,24,4,16,35,3,25,14,32,17,5,31,0,21,2,18,10,11,27,22,38,9,28,8,19,6,37,29,13,12,30,26,15,33,39,36,23,20,34,7,24,4,16,35,3,25,14,32,17,5,31,0,21,2,18,10,11,27,22,38,9,28,8,19,6,37,29,13,12,30,26,15,33,39,36,23
19,33,6,23,3,15,34,39,24,13,31,16,4,30,38,20,1,17,9,10,26,21,37,8,27,7,18,5,36,28,12,11,29,25,14,32,0,35,22,19,33,6,23,3,15,34,39,24,13,31,16,4,30,38,20,1,17,9,10,26,21,37,8,27,7,18,5,36,28,12,11,29,25,14,32,0,35,22
18,32,5,22,2,14,33,1,23,12,30,15,39,29,37,19,0,16,8,9,25,20,36,7,26,6,17,4,35,27,11,10,28,24,13,31,38,34,21,18,32,5,22,2,14,33,1,23,12,30,15,39,29,37,19,0,16,8,9,25,20,36,7,26,6,17,4,35,27,11,10,28,24,13,31,38,34,21
17,31,39,21,1,13,32,0,22,11,29,14,2,28,36,18,38,15,7,8,24,19,35,6,25,5,16,3,34,26,10,9,27,23,12,30,37,33,20,17,31,39,21,1,13,32,0,22,11,29,14,2,28,36,18,38,15,7,8,24,19,35,6,25,5,16,3,34,26,10,9,27,23,12,30,37,33,20
16,30,3,20,0,12,31,38,21,10,28,13,1,27,35,17,37,14,6,7,23,18,34,39,24,4,15,2,33,25,9,8,26,22,11,29,36,32,19,16,30,3,20,0,12,31,38,21,10,28,13,1,27,35,17,37,14,6,7,23,18,34,39,24,4,15,2,33,25,9,8,26,22,11,29,36,32,19
15,29,2,19,38,11,30,37,20,9,27,12,0,26,34,16,36,13,5,39,22,17,33,4,23,3,14,1,32,24,8,7,25,21,10,28,35,31,18,15,29,2,19,38,11,30,37,20,9,27,12,0,26,34,16,36,13,5,39,22,17,33,4,23,3,14,1,32,24,8,7,25,21,10,28,35,31,18
14,28,1,18,37,10,29,36,19,8,26,11,38,25,33,15,35,12,4,5,21,16,32,3,22,2,13,0,31,23,39,6,24,20,9,27,34,30,17,14,28,1,18,37,10,29,36,19,8,26,11,38,25,33,15,35,12,4,5,21,16,32,3,22,2,13,0,31,23,39,6,24,20,9,27,34,30,17
13,27,0,17,36,9,28,35,18,7,25,10,37,24,32,14,34,11,3,4,20,15,31,2,21,1,12,38,30,22,6,5,23,19,39,26,33,29,16,13,27,0,17,36,9,28,35,18,7,25,10,37,24,32,14,34,11,3,4,20,15,31,2,21,1,12,38,30,22,6,5,23,19,39,26,33,29,16
12,26,38,16,35,8,27,34,17,6,24,39,36,23,31,13,33,10,2,3,19,14,30,1,20,0,11,37,29,21,5,4,22,18,7,25,32,28,15,12,26,38,16,35,8,27,34,17,6,24,39,36,23,31,13,33,10,2,3,19,14,30,1,20,0,11,37,29,21,5,4,22,18,7,25,32,28,15
11,25,37,15,34,7,26,33,16,5,23,8,35,22,30,12,32,9,1,2,18,13,29,0,19,38,39,36,28,20,4,3,21,17,6,24,31,27,14,11,25,37,15,34,7,26,33,16,5,23,8,35,22,30,12,32,9,1,2,18,13,29,0,19,38,39,36,28,20,4,3,21,17,6,24,31,27,14
10,24,36,14,33,6,25,32,15,4,22,7,34,21,29,39,31,8,0,1,17,12,28,38,18,37,9,35,27,19,3,2,20,16,5,23,30,26,13,10,24,36,14,33,6,25,32,15,4,22,7,34,21,29,39,31,8,0,1,17,12,28,38,18,37,9,35,27,19,3,2,20,16,5,23,30,26,13
9,23,35,13,32,5,24,31,14,3,21,6,33,20,28,10,30,7,38,0,16,11,27,37,17,36,8,34,26,18,2,1,19,15,4,22,29,25,39,9,23,35,13,32,5,24,31,14,3,21,6,33,20,28,10,30,7,38,0,16,11,27,37,17,36,8,34,26,18,2,1,19,15,4,22,29,25,39
8,22,34,12,31,4,23,30,39,2,20,5,32,19,27,9,29,6,37,38,15,10,26,36,16,35,7,33,25,17,1,0,18,14,3,21,28,24,11,8,22,34,12,31,4,23,30,39,2,20,5,32,19,27,9,29,6,37,38,15,10,26,36,16,35,7,33,25,17,1,0,18,14,3,21,28,24,11
7,21,33,11,30,3,22,29,12,1,19,4,31,18,26,8,28,5,36,37,39,9,25,35,15,34,6,32,24,16,0,38,17,13,2,20,27,23,10,7,21,33,11,30,3,22,29,12,1,19,4,31,18,26,8,28,5,36,37,39,9,25,35,15,34,6,32,24,16,0,38,17,13,2,20,27,23,10
6,20,32,10,29,2,21,28,11,0,18,3,30,17,25,7,27,4,35,36,13,8,24,34,14,33,5,31,23,39,38,37,16,12,1,19,26,22,9,6,20,32,10,29,2,21,28,11,0,18,3,30,17,25,7,27,4,35,36,13,8,24,34,14,33,5,31,23,39,38,37,16,12,1,19,26,22,9
