0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
5,20,15,12,14,1,4,18,6,7,9,3,2,11,10,16,19,17,21,8,13,5,20,15,12,14,1,4,18,6,7,9,3,2,11,10,16,19,17,21,8,13
4,19,14,11,13,0,3,17,5,6,8,2,21,10,9,15,18,16,20,7,12,4,19,14,11,13,0,3,17,5,6,8,2,21,10,9,15,18,16,20,7,12
3,18,13,10,12,20,21,16,4,5,7,1,0,9,8,14,17,15,19,6,11,3,18,13,10,12,20,21,16,4,5,7,1,0,9,8,14,17,15,19,6,11
2,17,12,9,11,19,1,15,21,4,6,0,20,8,7,13,16,14,18,5,10,2,17,12,9,11,19,1,15,21,4,6,0,20,8,7,13,16,14,18,5,10
1,16,11,8,10,18,0,14,2,3,5,20,19,7,6,12,15,13,17,21,9,1,16,11,8,10,18,0,14,2,3,5,20,19,7,6,12,15,13,17,21,9
0,15,10,7,9,17,20,13,1,2,4,19,18,6,21,11,14,12,16,3,8,0,15,10,7,9,17,20,13,1,2,4,19,18,6,21,11,14,12,16,3,8
20,14,9,21,8,16,19,12,0,1,3,18,17,5,4,10,13,11,15,2,7,20,14,9,21,8,16,19,12,0,1,3,18,17,5,4,10,13,11,15,2,7
19,13,8,5,21,15,18,11,20,0,2,17,16,4,3,9,12,10,14,1,6,19,13,8,5,21,15,18,11,20,0,2,17,16,4,3,9,12,10,14,1,6
18,12,7,4,6,14,17,10,19,20,1,16,15,3,2,21,11,9,13,0,5,18,12,7,4,6,14,17,10,19,20,1,16,15,3,2,21,11,9,13,0,5
17,11,6,3,5,13,16,21,18,19,0,15,14,2,1,7,10,8,12,20,4,17,11,6,3,5,13,16,21,18,19,0,15,14,2,1,7,10,8,12,20,4
16,21,5,2,4,12,15,8,17,18,20,14,13,1,0,6,9,7,11,19,3,16,21,5,2,4,12,15,8,17,18,20,14,13,1,0,6,9,7,11,19,3
15,9,4,1,3,21,14,7,16,17,19,13,12,0,20,5,8,6,10,18,2,15,9,4,1,3,21,14,7,16,17,19,13,12,0,20,5,8,6,10,18,2
14,8,3,0,2,10,13,6,15,16,18,21,11,20,19,4,7,5,9,17,1,14,8,3,0,2,10,13,6,15,16,18,21,11,20,19,4,7,5,9,17,1
21,7,2,20,1,9,12,5,14,15,17,11,10,19,18,3,6,4,8,16,0,21,7,2,20,1,9,12,5,14,15,17,11,10,19,18,3,6,4,8,16,0
12,6,1,19,0,8,11,4,13,21,16,10,9,18,17,2,5,3,7,15,20,12,6,1,19,0,8,11,4,13,21,16,10,9,18,17,2,5,3,7,15,20
11,5,0,18,20,7,10,3,12,13,21,9,8,17,16,1,4,2,6,14,19,11,5,0,18,20,7,10,3,12,13,21,9,8,17,16,1,4,2,6,14,19
10,4,20,17,19,6,9,2,11,12,14,8,7,21,15,0,3,1,5,13,18,10,4,20,17,19,6,9,2,11,12,14,8,7,21,15,0,3,1,5,13,18
9,3,19,16,18,5,8,1,10,11,13,7,6,15,14,20,2,0,4,12,21,9,3,19,16,18,5,8,1,10,11,13,7,6,15,14,20,2,0,4,12,21
8,2,21,15,17,4,7,0,9,10,12,6,5,14,13,19,1,20,3,11,16,8,2,21,15,17,4,7,0,9,10,12,6,5,14,13,19,1,20,3,11,16
7,1,17,14,16,3,6,20,8,9,11,5,4,13,12,18,0,21,2,10,15,7,1,17,14,16,3,6,20,8,9,11,5,4,13,12,18,0,21,2,10,15
6,0,16,13,15,2,5,19,7,8,10,4,3,12,11,17,21,18,1,9,14,6,0,16,13,15,2,5,19,7,8,10,4,3,12,11,17,21,18,1,9,14
13,10,18,6,7,11,2,9,3,14,15,12,1,16,5,8,20,19,0,4,17,13,10,18,6,7,11,2,9,3,14,15,12,1,16,5,8,20,19,0,4,17
