0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
12,2,5,15,3,4,14,8,11,7,13,1,9,6,10,12,2,5,15,3,4,14,8,11,7,13,1,9,6,10
11,15,4,14,2,3,13,7,10,6,12,0,8,5,9,11,15,4,14,2,3,13,7,10,6,12,0,8,5,9
10,0,3,13,1,15,12,6,9,5,11,14,7,4,8,10,0,3,13,1,15,12,6,9,5,11,14,7,4,8
9,14,2,12,0,1,11,5,8,4,10,13,6,15,7,9,14,2,12,0,1,11,5,8,4,10,13,6,15,7
8,13,1,11,14,0,10,15,7,3,9,12,5,2,6,8,13,1,11,14,0,10,15,7,3,9,12,5,2,6
7,12,0,10,13,14,9,3,6,2,8,11,4,1,15,7,12,0,10,13,14,9,3,6,2,8,11,4,1,15
15,11,14,9,12,13,8,2,5,1,7,10,3,0,4,15,11,14,9,12,13,8,2,5,1,7,10,3,0,4
5,10,13,8,11,12,15,1,4,0,6,9,2,14,3,5,10,13,8,11,12,15,1,4,0,6,9,2,14,3
4,9,12,7,10,11,6,0,3,14,5,15,1,13,2,4,9,12,7,10,11,6,0,3,14,5,15,1,13,2
3,8,11,6,15,10,5,14,2,13,4,7,0,12,1,3,8,11,6,15,10,5,14,2,13,4,7,0,12,1
2,7,15,5,8,9,4,13,1,12,3,6,14,11,0,2,7,15,5,8,9,4,13,1,12,3,6,14,11,0
1,6,9,4,7,8,3,12,0,15,2,5,13,10,14,1,6,9,4,7,8,3,12,0,15,2,5,13,10,14
0,5,8,3,6,7,2,11,14,10,1,4,15,9,13,0,5,8,3,6,7,2,11,14,10,1,4,15,9,13
14,4,7,2,5,6,1,10,15,9,0,3,11,8,12,14,4,7,2,5,6,1,10,15,9,0,3,11,8,12
13,3,6,1,4,5,0,9,12,8,15,2,10,7,11,13,3,6,1,4,5,0,9,12,8,15,2,10,7,11
6,1,10,0,9,2,7,4,13,11,14,8,12,3,5,6,1,10,0,9,2,7,4,13,11,14,8,12,3,5
