0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,2,6,3,4,8,5,9,10,11,7,1,2,6,3,4,8,5,9,10,11,7
0,11,5,2,3,7,4,8,9,10,6,0,11,5,2,3,7,4,8,9,10,6
10,0,4,1,11,6,3,7,8,9,5,10,0,4,1,11,6,3,7,8,9,5
9,10,11,0,1,5,2,6,7,8,4,9,10,11,0,1,5,2,6,7,8,4
8,9,2,10,0,11,1,5,6,7,3,8,9,2,10,0,11,1,5,6,7,3
7,8,1,9,10,3,0,4,11,6,2,7,8,1,9,10,3,0,4,11,6,2
11,7,0,8,9,2,10,3,4,5,1,11,7,0,8,9,2,10,3,4,5,1
5,6,10,11,8,1,9,2,3,4,0,5,6,10,11,8,1,9,2,3,4,0
4,5,9,6,7,0,11,1,2,3,10,4,5,9,6,7,0,11,1,2,3,10
3,4,8,5,6,10,7,0,1,2,11,3,4,8,5,6,10,7,0,1,2,11
2,3,7,4,5,9,6,11,0,1,8,2,3,7,4,5,9,6,11,0,1,8
6,1,3,7,2,4,8,10,5,0,9,6,1,3,7,2,4,8,10,5,0,9
