0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
27,20,12,15,13,4,24,21,11,19,9,3,8,26,16,22,17,14,25,18,6,1,7,2,23,10,5,27,20,12,15,13,4,24,21,11,19,9,3,8,26,16,22,17,14,25,18,6,1,7,2,23,10,5
26,19,11,14,12,3,23,20,10,18,8,2,7,25,15,21,16,13,24,17,5,0,6,27,22,9,4,26,19,11,14,12,3,23,20,10,18,8,2,7,25,15,21,16,13,24,17,5,0,6,27,22,9,4
25,18,10,13,11,27,22,19,9,17,7,1,6,24,14,20,15,12,23,16,4,26,5,0,21,8,3,25,18,10,13,11,27,22,19,9,17,7,1,6,24,14,20,15,12,23,16,4,26,5,0,21,8,3
24,17,9,12,10,1,21,18,8,16,6,0,5,23,13,19,14,11,22,15,27,25,4,26,20,7,2,24,17,9,12,10,1,21,18,8,16,6,0,5,23,13,19,14,11,22,15,27,25,4,26,20,7,2
23,16,8,11,9,0,20,17,7,15,5,26,27,22,12,18,13,10,21,14,2,24,3,25,19,6,1,23,16,8,11,9,0,20,17,7,15,5,26,27,22,12,18,13,10,21,14,2,24,3,25,19,6,1
22,15,7,10,8,26,19,16,6,14,4,25,3,21,11,17,12,9,20,13,1,23,2,24,18,27,0,22,15,7,10,8,26,19,16,6,14,4,25,3,21,11,17,12,9,20,13,1,23,2,24,18,27,0
21,14,27,9,7,25,18,15,5,13,3,24,2,20,10,16,11,8,19,12,0,22,1,23,17,4,26,21,14,27,9,7,25,18,15,5,13,3,24,2,20,10,16,11,8,19,12,0,22,1,23,17,4,26
20,13,5,8,6,24,17,14,4,12,2,23,1,19,9,15,10,27,18,11,26,21,0,22,16,3,25,20,13,5,8,6,24,17,14,4,12,2,23,1,19,9,15,10,27,18,11,26,21,0,22,16,3,25
19,12,4,7,5,23,16,13,3,11,1,22,0,18,27,14,9,6,17,10,25,20,26,21,15,2,24,19,12,4,7,5,23,16,13,3,11,1,22,0,18,27,14,9,6,17,10,25,20,26,21,15,2,24
18,11,3,6,4,22,15,12,2,10,0,21,26,17,7,13,8,5,16,27,24,19,25,20,14,1,23,18,11,3,6,4,22,15,12,2,10,0,21,26,17,7,13,8,5,16,27,24,19,25,20,14,1,23
17,27,2,5,3,21,14,11,1,9,26,20,25,16,6,12,7,4,15,8,23,18,24,19,13,0,22,17,27,2,5,3,21,14,11,1,9,26,20,25,16,6,12,7,4,15,8,23,18,24,19,13,0,22
16,9,1,4,2,20,13,10,0,8,25,19,24,15,5,27,6,3,14,7,22,17,23,18,12,26,21,16,9,1,4,2,20,13,10,0,8,25,19,24,15,5,27,6,3,14,7,22,17,23,18,12,26,21
15,8,0,3,1,19,27,9,26,7,24,18,23,14,4,10,5,2,13,6,21,16,22,17,11,25,20,15,8,0,3,1,19,27,9,26,7,24,18,23,14,4,10,5,2,13,6,21,16,22,17,11,25,20
14,7,26,2,0,18,11,8,25,6,23,17,22,27,3,9,4,1,12,5,20,15,21,16,10,24,19,14,7,26,2,0,18,11,8,25,6,23,17,22,27,3,9,4,1,12,5,20,15,21,16,10,24,19
13,6,25,1,26,17,10,7,24,5,22,16,21,12,2,8,3,0,11,4,19,27,20,15,9,23,18,13,6,25,1,26,17,10,7,24,5,22,16,21,12,2,8,3,0,11,4,19,27,20,15,9,23,18
12,5,24,0,25,16,9,6,23,4,21,27,20,11,1,7,2,26,10,3,18,13,19,14,8,22,17,12,5,24,0,25,16,9,6,23,4,21,27,20,11,1,7,2,26,10,3,18,13,19,14,8,22,17
11,4,23,26,24,15,8,5,22,3,20,14,19,10,0,6,1,25,9,2,17,12,18,13,7,21,27,11,4,23,26,24,15,8,5,22,3,20,14,19,10,0,6,1,25,9,2,17,12,18,13,7,21,27
10,3,22,25,23,14,7,4,21,2,19,13,18,9,26,5,0,24,8,1,16,11,27,12,6,20,15,10,3,22,25,23,14,7,4,21,2,19,13,18,9,26,5,0,24,8,1,16,11,27,12,6,20,15
9,2,21,24,22,13,6,3,20,1,27,12,17,8,25,4,26,23,7,0,15,10,16,11,5,19,14,9,2,21,24,22,13,6,3,20,1,27,12,17,8,25,4,26,23,7,0,15,10,16,11,5,19,14
8,1,20,23,21,12,5,2,27,0,17,11,16,7,24,3,25,22,6,26,14,9,15,10,4,18,13,8,1,20,23,21,12,5,2,27,0,17,11,16,7,24,3,25,22,6,26,14,9,15,10,4,18,13
7,0,19,22,27,11,4,1,18,26,16,10,15,6,23,2,24,21,5,25,13,8,14,9,3,17,12,7,0,19,22,27,11,4,1,18,26,16,10,15,6,23,2,24,21,5,25,13,8,14,9,3,17,12
6,26,18,27,19,10,3,0,17,25,15,9,14,5,22,1,23,20,4,24,12,7,13,8,2,16,11,6,26,18,27,19,10,3,0,17,25,15,9,14,5,22,1,23,20,4,24,12,7,13,8,2,16,11
5,25,17,20,18,9,2,26,16,24,14,8,13,4,21,0,27,19,3,23,11,6,12,7,1,15,10,5,25,17,20,18,9,2,26,16,24,14,8,13,4,21,0,27,19,3,23,11,6,12,7,1,15,10
4,24,16,19,17,8,1,25,15,27,13,7,12,3,20,26,21,18,2,22,10,5,11,6,0,14,9,4,24,16,19,17,8,1,25,15,27,13,7,12,3,20,26,21,18,2,22,10,5,11,6,0,14,9
3,23,15,18,16,7,0,27,14,22,12,6,11,2,19,25,20,17,1,21,9,4,10,5,26,13,8,3,23,15,18,16,7,0,27,14,22,12,6,11,2,19,25,20,17,1,21,9,4,10,5,26,13,8
2,22,14,17,15,6,26,23,13,21,11,5,10,1,18,24,19,16,0,20,8,3,9,4,27,12,7,2,22,14,17,15,6,26,23,13,21,11,5,10,1,18,24,19,16,0,20,8,3,9,4,27,12,7
1,21,13,16,14,5,25,22,12,20,10,4,9,0,17,23,18,15,27,19,7,2,8,3,24,11,6,1,21,13,16,14,5,25,22,12,20,10,4,9,0,17,23,18,15,27,19,7,2,8,3,24,11,6
0,10,6,21,20,2,12,24,19,23,18,15,4,13,8,11,22,7,26,9,3,14,17,1,25,5,16,0,10,6,21,20,2,12,24,19,23,18,15,4,13,8,11,22,7,26,9,3,14,17,1,25,5,16
