0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
35,32,8,27,20,34,2,12,5,25,14,1,4,9,7,19,36,13,6,24,11,26,37,30,22,16,18,3,33,31,10,21,29,17,23,15,28,35,32,8,27,20,34,2,12,5,25,14,1,4,9,7,19,36,13,6,24,11,26,37,30,22,16,18,3,33,31,10,21,29,17,23,15,28
34,31,7,26,19,33,37,11,4,24,13,0,3,8,6,18,35,12,5,23,10,25,36,29,21,15,17,2,32,30,9,20,28,16,22,14,27,34,31,7,26,19,33,37,11,4,24,13,0,3,8,6,18,35,12,5,23,10,25,36,29,21,15,17,2,32,30,9,20,28,16,22,14,27
33,30,6,25,18,32,0,10,3,23,12,36,37,7,5,17,34,11,4,22,9,24,35,28,20,14,16,1,31,29,8,19,27,15,21,13,26,33,30,6,25,18,32,0,10,3,23,12,36,37,7,5,17,34,11,4,22,9,24,35,28,20,14,16,1,31,29,8,19,27,15,21,13,26
32,29,5,24,17,31,36,9,2,22,11,35,1,6,4,16,33,10,37,21,8,23,34,27,19,13,15,0,30,28,7,18,26,14,20,12,25,32,29,5,24,17,31,36,9,2,22,11,35,1,6,4,16,33,10,37,21,8,23,34,27,19,13,15,0,30,28,7,18,26,14,20,12,25
31,28,37,23,16,30,35,8,1,21,10,34,0,5,3,15,32,9,2,20,7,22,33,26,18,12,14,36,29,27,6,17,25,13,19,11,24,31,28,37,23,16,30,35,8,1,21,10,34,0,5,3,15,32,9,2,20,7,22,33,26,18,12,14,36,29,27,6,17,25,13,19,11,24
30,27,3,22,15,29,34,7,0,20,9,33,36,4,2,14,31,8,1,19,6,21,32,25,17,11,13,35,28,26,37,16,24,12,18,10,23,30,27,3,22,15,29,34,7,0,20,9,33,36,4,2,14,31,8,1,19,6,21,32,25,17,11,13,35,28,26,37,16,24,12,18,10,23
29,26,2,21,14,28,33,37,36,19,8,32,35,3,1,13,30,7,0,18,5,20,31,24,16,10,12,34,27,25,4,15,23,11,17,9,22,29,26,2,21,14,28,33,37,36,19,8,32,35,3,1,13,30,7,0,18,5,20,31,24,16,10,12,34,27,25,4,15,23,11,17,9,22
28,25,1,20,13,27,32,5,35,18,37,31,34,2,0,12,29,6,36,17,4,19,30,23,15,9,11,33,26,24,3,14,22,10,16,8,21,28,25,1,20,13,27,32,5,35,18,37,31,34,2,0,12,29,6,36,17,4,19,30,23,15,9,11,33,26,24,3,14,22,10,16,8,21
27,24,0,19,12,26,31,4,34,17,6,30,33,1,36,11,28,5,35,16,3,18,29,22,14,37,10,32,25,23,2,13,21,9,15,7,20,27,24,0,19,12,26,31,4,34,17,6,30,33,1,36,11,28,5,35,16,3,18,29,22,14,37,10,32,25,23,2,13,21,9,15,7,20
26,23,36,18,11,25,30,3,33,16,5,29,32,0,35,10,27,4,34,15,2,17,28,21,13,7,37,31,24,22,1,12,20,8,14,6,19,26,23,36,18,11,25,30,3,33,16,5,29,32,0,35,10,27,4,34,15,2,17,28,21,13,7,37,31,24,22,1,12,20,8,14,6,19
25,22,35,17,37,24,29,2,32,15,4,28,31,36,34,9,26,3,33,14,1,16,27,20,12,6,8,30,23,21,0,11,19,7,13,5,18,25,22,35,17,37,24,29,2,32,15,4,28,31,36,34,9,26,3,33,14,1,16,27,20,12,6,8,30,23,21,0,11,19,7,13,5,18
24,21,34,16,9,23,28,1,31,14,3,27,30,35,33,8,25,2,32,13,0,15,26,19,37,5,7,29,22,20,36,10,18,6,12,4,17,24,21,34,16,9,23,28,1,31,14,3,27,30,35,33,8,25,2,32,13,0,15,26,19,37,5,7,29,22,20,36,10,18,6,12,4,17
23,20,33,15,8,22,27,0,30,13,2,26,29,34,32,7,24,1,31,37,36,14,25,18,10,4,6,28,21,19,35,9,17,5,11,3,16,23,20,33,15,8,22,27,0,30,13,2,26,29,34,32,7,24,1,31,37,36,14,25,18,10,4,6,28,21,19,35,9,17,5,11,3,16
