0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
24,14,9,27,10,15,26,1,22,13,5,2,11,7,25,17,20,3,4,21,18,16,6,12,19,23,8,24,14,9,27,10,15,26,1,22,13,5,2,11,7,25,17,20,3,4,21,18,16,6,12,19,23,8
23,13,8,26,9,14,25,0,21,12,4,27,10,6,24,16,19,2,3,20,17,15,5,11,18,22,7,23,13,8,26,9,14,25,0,21,12,4,27,10,6,24,16,19,2,3,20,17,15,5,11,18,22,7
22,12,7,25,8,13,24,26,20,11,3,0,9,5,23,15,18,1,27,19,16,14,4,10,17,21,6,22,12,7,25,8,13,24,26,20,11,3,0,9,5,23,15,18,1,27,19,16,14,4,10,17,21,6
21,11,6,24,7,12,23,25,19,10,2,26,8,4,22,14,17,0,1,18,15,13,27,9,16,20,5,21,11,6,24,7,12,23,25,19,10,2,26,8,4,22,14,17,0,1,18,15,13,27,9,16,20,5
20,10,5,23,6,11,22,24,18,9,1,25,7,3,21,13,16,26,0,17,14,12,2,8,15,19,27,20,10,5,23,6,11,22,24,18,9,1,25,7,3,21,13,16,26,0,17,14,12,2,8,15,19,27
19,9,4,22,27,10,21,23,17,8,0,24,6,2,20,12,15,25,26,16,13,11,1,7,14,18,3,19,9,4,22,27,10,21,23,17,8,0,24,6,2,20,12,15,25,26,16,13,11,1,7,14,18,3
18,8,3,21,4,9,20,22,16,7,26,23,5,1,19,11,14,24,25,15,12,10,0,27,13,17,2,18,8,3,21,4,9,20,22,16,7,26,23,5,1,19,11,14,24,25,15,12,10,0,27,13,17,2
17,27,2,20,3,8,19,21,15,6,25,22,4,0,18,10,13,23,24,14,11,9,26,5,12,16,1,17,27,2,20,3,8,19,21,15,6,25,22,4,0,18,10,13,23,24,14,11,9,26,5,12,16,1
16,6,1,19,2,7,18,20,14,5,24,21,3,26,17,9,12,22,23,13,10,27,25,4,11,15,0,16,6,1,19,2,7,18,20,14,5,24,21,3,26,17,9,12,22,23,13,10,27,25,4,11,15,0
15,5,0,18,1,6,17,19,13,4,23,20,2,25,16,8,11,21,22,12,27,7,24,3,10,14,26,15,5,0,18,1,6,17,19,13,4,23,20,2,25,16,8,11,21,22,12,27,7,24,3,10,14,26
14,4,26,17,0,5,16,18,12,3,22,19,1,24,15,7,27,20,21,11,8,6,23,2,9,13,25,14,4,26,17,0,5,16,18,12,3,22,19,1,24,15,7,27,20,21,11,8,6,23,2,9,13,25
13,3,25,16,26,4,15,17,27,2,21,18,0,23,14,6,9,19,20,10,7,5,22,1,8,12,24,13,3,25,16,26,4,15,17,27,2,21,18,0,23,14,6,9,19,20,10,7,5,22,1,8,12,24
27,2,24,15,25,3,14,16,10,1,20,17,26,22,13,5,8,18,19,9,6,4,21,0,7,11,23,27,2,24,15,25,3,14,16,10,1,20,17,26,22,13,5,8,18,19,9,6,4,21,0,7,11,23
11,1,23,14,24,2,27,15,9,0,19,16,25,21,12,4,7,17,18,8,5,3,20,26,6,10,22,11,1,23,14,24,2,27,15,9,0,19,16,25,21,12,4,7,17,18,8,5,3,20,26,6,10,22
10,0,22,13,23,1,12,27,8,26,18,15,24,20,11,3,6,16,17,7,4,2,19,25,5,9,21,10,0,22,13,23,1,12,27,8,26,18,15,24,20,11,3,6,16,17,7,4,2,19,25,5,9,21
9,26,21,12,22,0,11,13,7,25,17,14,23,19,10,2,5,27,16,6,3,1,18,24,4,8,20,9,26,21,12,22,0,11,13,7,25,17,14,23,19,10,2,5,27,16,6,3,1,18,24,4,8,20
8,25,20,11,21,26,10,12,6,24,27,13,22,18,9,1,4,14,15,5,2,0,17,23,3,7,19,8,25,20,11,21,26,10,12,6,24,27,13,22,18,9,1,4,14,15,5,2,0,17,23,3,7,19
7,24,19,10,20,25,9,11,5,23,15,12,21,27,8,0,3,13,14,4,1,26,16,22,2,6,18,7,24,19,10,20,25,9,11,5,23,15,12,21,27,8,0,3,13,14,4,1,26,16,22,2,6,18
6,23,27,9,19,24,8,10,4,22,14,11,20,16,7,26,2,12,13,3,0,25,15,21,1,5,17,6,23,27,9,19,24,8,10,4,22,14,11,20,16,7,26,2,12,13,3,0,25,15,21,1,5,17
5,22,17,8,18,23,7,9,3,21,13,10,27,15,6,25,1,11,12,2,26,24,14,20,0,4,16,5,22,17,8,18,23,7,9,3,21,13,10,27,15,6,25,1,11,12,2,26,24,14,20,0,4,16
4,21,16,7,17,22,6,8,2,27,12,9,18,14,5,24,0,10,11,1,25,23,13,19,26,3,15,4,21,16,7,17,22,6,8,2,27,12,9,18,14,5,24,0,10,11,1,25,23,13,19,26,3,15
3,20,15,6,16,27,5,7,1,19,11,8,17,13,4,23,26,9,10,0,24,22,12,18,25,2,14,3,20,15,6,16,27,5,7,1,19,11,8,17,13,4,23,26,9,10,0,24,22,12,18,25,2,14
2,19,14,5,15,20,4,6,0,18,10,7,16,12,3,27,25,8,9,26,23,21,11,17,24,1,13,2,19,14,5,15,20,4,6,0,18,10,7,16,12,3,27,25,8,9,26,23,21,11,17,24,1,13
1,18,13,4,14,19,3,5,26,17,9,6,15,11,2,21,24,7,8,25,22,20,10,16,27,0,12,1,18,13,4,14,19,3,5,26,17,9,6,15,11,2,21,24,7,8,25,22,20,10,16,27,0,12
0,17,12,3,13,18,2,4,25,16,8,5,14,10,1,20,23,6,7,27,21,19,9,15,22,26,11,0,17,12,3,13,18,2,4,25,16,8,5,14,10,1,20,23,6,7,27,21,19,9,15,22,26,11
26,16,11,2,12,17,1,3,24,15,7,4,13,9,0,19,22,5,6,23,20,18,8,14,21,27,10,26,16,11,2,12,17,1,3,24,15,7,4,13,9,0,19,22,5,6,23,20,18,8,14,21,27,10
25,15,10,1,11,16,0,2,23,14,6,3,12,8,27,18,21,4,5,22,19,17,7,13,20,24,9,25,15,10,1,11,16,0,2,23,14,6,3,12,8,27,18,21,4,5,22,19,17,7,13,20,24,9
