0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
2,17,16,12,9,4,1,5,3,13,14,11,8,7,15,6,10,2,17,16,12,9,4,1,5,3,13,14,11,8,7,15,6,10
17,16,15,11,8,3,0,4,2,12,13,10,7,6,14,5,9,17,16,15,11,8,3,0,4,2,12,13,10,7,6,14,5,9
0,15,14,10,7,17,16,3,1,11,12,9,6,5,13,4,8,0,15,14,10,7,17,16,3,1,11,12,9,6,5,13,4,8
16,14,13,9,6,1,15,2,0,10,11,8,5,4,12,17,7,16,14,13,9,6,1,15,2,0,10,11,8,5,4,12,17,7
15,13,12,8,5,0,14,1,16,9,10,7,17,3,11,2,6,15,13,12,8,5,0,14,1,16,9,10,7,17,3,11,2,6
14,12,11,7,4,16,13,0,15,8,9,6,3,2,10,1,17,14,12,11,7,4,16,13,0,15,8,9,6,3,2,10,1,17
13,11,10,17,3,15,12,16,14,7,8,5,2,1,9,0,4,13,11,10,17,3,15,12,16,14,7,8,5,2,1,9,0,4
12,10,9,5,2,14,11,15,13,6,17,4,1,0,8,16,3,12,10,9,5,2,14,11,15,13,6,17,4,1,0,8,16,3
11,9,17,4,1,13,10,14,12,5,6,3,0,16,7,15,2,11,9,17,4,1,13,10,14,12,5,6,3,0,16,7,15,2
10,8,7,3,0,12,17,13,11,4,5,2,16,15,6,14,1,10,8,7,3,0,12,17,13,11,4,5,2,16,15,6,14,1
9,7,6,2,16,11,8,12,17,3,4,1,15,14,5,13,0,9,7,6,2,16,11,8,12,17,3,4,1,15,14,5,13,0
8,6,5,1,15,10,7,17,9,2,3,0,14,13,4,12,16,8,6,5,1,15,10,7,17,9,2,3,0,14,13,4,12,16
7,5,4,0,14,9,6,10,8,1,2,16,13,17,3,11,15,7,5,4,0,14,9,6,10,8,1,2,16,13,17,3,11,15
6,4,3,16,17,8,5,9,7,0,1,15,12,11,2,10,14,6,4,3,16,17,8,5,9,7,0,1,15,12,11,2,10,14
5,3,2,15,12,7,4,8,6,16,0,17,11,10,1,9,13,5,3,2,15,12,7,4,8,6,16,0,17,11,10,1,9,13
4,2,1,14,11,6,3,7,5,17,16,13,10,9,0,8,12,4,2,1,14,11,6,3,7,5,17,16,13,10,9,0,8,12
3,1,0,13,10,5,2,6,4,14,15,12,9,8,17,7,11,3,1,0,13,10,5,2,6,4,14,15,12,9,8,17,7,11
1,0,8,6,13,2,9,11,10,15,7,14,4,12,16,3,5,1,0,8,6,13,2,9,11,10,15,7,14,4,12,16,3,5
