0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
39,13,38,27,15,17,9,31,35,30,43,4,16,18,33,3,34,20,40,24,32,28,25,21,1,41,10,6,12,8,26,7,23,37,2,22,5,29,42,19,14,11,36,39,13,38,27,15,17,9,31,35,30,43,4,16,18,33,3,34,20,40,24,32,28,25,21,1,41,10,6,12,8,26,7,23,37,2,22,5,29,42,19,14,11,36
38,12,37,26,14,16,8,30,34,29,42,3,15,17,32,2,33,19,39,23,31,27,24,20,0,40,9,5,11,7,25,6,22,36,43,21,4,28,41,18,13,10,35,38,12,37,26,14,16,8,30,34,29,42,3,15,17,32,2,33,19,39,23,31,27,24,20,0,40,9,5,11,7,25,6,22,36,43,21,4,28,41,18,13,10,35
37,11,36,25,13,15,7,29,33,28,41,43,14,16,31,1,32,18,38,22,30,26,23,19,42,39,8,4,10,6,24,5,21,35,0,20,3,27,40,17,12,9,34,37,11,36,25,13,15,7,29,33,28,41,43,14,16,31,1,32,18,38,22,30,26,23,19,42,39,8,4,10,6,24,5,21,35,0,20,3,27,40,17,12,9,34
36,10,35,24,12,14,6,28,32,27,40,1,13,15,30,0,31,17,37,21,29,25,22,18,41,38,7,43,9,5,23,4,20,34,42,19,2,26,39,16,11,8,33,36,10,35,24,12,14,6,28,32,27,40,1,13,15,30,0,31,17,37,21,29,25,22,18,41,38,7,43,9,5,23,4,20,34,42,19,2,26,39,16,11,8,33
35,9,34,23,11,13,5,27,31,26,39,0,12,14,29,42,30,16,36,20,28,24,21,17,40,37,6,2,8,43,22,3,19,33,41,18,1,25,38,15,10,7,32,35,9,34,23,11,13,5,27,31,26,39,0,12,14,29,42,30,16,36,20,28,24,21,17,40,37,6,2,8,43,22,3,19,33,41,18,1,25,38,15,10,7,32
34,8,33,22,10,12,4,26,30,25,38,42,11,13,28,41,29,15,35,19,27,23,20,16,39,36,43,1,7,3,21,2,18,32,40,17,0,24,37,14,9,6,31,34,8,33,22,10,12,4,26,30,25,38,42,11,13,28,41,29,15,35,19,27,23,20,16,39,36,43,1,7,3,21,2,18,32,40,17,0,24,37,14,9,6,31
33,7,32,21,9,11,3,25,29,24,37,41,10,12,27,40,28,14,34,18,26,22,19,15,38,35,4,0,43,2,20,1,17,31,39,16,42,23,36,13,8,5,30,33,7,32,21,9,11,3,25,29,24,37,41,10,12,27,40,28,14,34,18,26,22,19,15,38,35,4,0,43,2,20,1,17,31,39,16,42,23,36,13,8,5,30
32,6,31,20,8,10,2,24,28,23,36,40,9,11,26,39,27,13,33,17,25,21,18,14,37,34,3,42,5,1,19,0,16,30,38,15,41,22,35,12,43,4,29,32,6,31,20,8,10,2,24,28,23,36,40,9,11,26,39,27,13,33,17,25,21,18,14,37,34,3,42,5,1,19,0,16,30,38,15,41,22,35,12,43,4,29
31,5,30,19,7,9,1,23,27,22,35,39,43,10,25,38,26,12,32,16,24,20,17,13,36,33,2,41,4,0,18,42,15,29,37,14,40,21,34,11,6,3,28,31,5,30,19,7,9,1,23,27,22,35,39,43,10,25,38,26,12,32,16,24,20,17,13,36,33,2,41,4,0,18,42,15,29,37,14,40,21,34,11,6,3,28
30,4,29,18,6,8,0,22,26,21,34,38,7,43,24,37,25,11,31,15,23,19,16,12,35,32,1,40,3,42,17,41,14,28,36,13,39,20,33,10,5,2,27,30,4,29,18,6,8,0,22,26,21,34,38,7,43,24,37,25,11,31,15,23,19,16,12,35,32,1,40,3,42,17,41,14,28,36,13,39,20,33,10,5,2,27
