0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
16,19,13,1,4,15,17,12,3,18,7,8,9,10,2,14,11,5,6,16,19,13,1,4,15,17,12,3,18,7,8,9,10,2,14,11,5,6
15,18,12,0,3,14,16,11,2,17,6,7,8,9,19,13,10,4,5,15,18,12,0,3,14,16,11,2,17,6,7,8,9,19,13,10,4,5
14,17,11,18,19,13,15,10,1,16,5,6,7,8,0,12,9,3,4,14,17,11,18,19,13,15,10,1,16,5,6,7,8,0,12,9,3,4
13,16,10,17,1,12,14,9,0,15,4,5,6,7,18,11,8,2,19,13,16,10,17,1,12,14,9,0,15,4,5,6,7,18,11,8,2,19
12,15,9,16,0,11,13,8,18,14,3,19,5,6,17,10,7,1,2,12,15,9,16,0,11,13,8,18,14,3,19,5,6,17,10,7,1,2
11,14,8,15,18,10,12,7,17,13,2,3,4,19,16,9,6,0,1,11,14,8,15,18,10,12,7,17,13,2,3,4,19,16,9,6,0,1
10,13,7,14,17,9,11,19,16,12,1,2,3,4,15,8,5,18,0,10,13,7,14,17,9,11,19,16,12,1,2,3,4,15,8,5,18,0
9,12,6,13,16,8,10,5,15,11,0,1,2,3,14,19,4,17,18,9,12,6,13,16,8,10,5,15,11,0,1,2,3,14,19,4,17,18
19,11,5,12,15,7,9,4,14,10,18,0,1,2,13,6,3,16,17,19,11,5,12,15,7,9,4,14,10,18,0,1,2,13,6,3,16,17
7,10,4,11,14,6,8,3,13,19,17,18,0,1,12,5,2,15,16,7,10,4,11,14,6,8,3,13,19,17,18,0,1,12,5,2,15,16
6,9,3,19,13,5,7,2,12,8,16,17,18,0,11,4,1,14,15,6,9,3,19,13,5,7,2,12,8,16,17,18,0,11,4,1,14,15
5,8,2,9,12,4,6,1,19,7,15,16,17,18,10,3,0,13,14,5,8,2,9,12,4,6,1,19,7,15,16,17,18,10,3,0,13,14
4,7,1,8,11,3,5,0,10,6,14,15,16,17,9,2,18,19,13,4,7,1,8,11,3,5,0,10,6,14,15,16,17,9,2,18,19,13
3,6,0,7,10,2,4,18,9,5,19,14,15,16,8,1,17,11,12,3,6,0,7,10,2,4,18,9,5,19,14,15,16,8,1,17,11,12
2,5,18,6,9,1,3,17,8,4,12,13,19,15,7,0,16,10,11,2,5,18,6,9,1,3,17,8,4,12,13,19,15,7,0,16,10,11
1,4,17,5,8,0,2,16,7,3,11,12,13,14,6,18,19,9,10,1,4,17,5,8,0,2,16,7,3,11,12,13,14,6,18,19,9,10
0,3,19,4,7,18,1,15,6,2,10,11,12,13,5,17,14,8,9,0,3,19,4,7,18,1,15,6,2,10,11,12,13,5,17,14,8,9
18,2,15,3,6,19,0,14,5,1,9,10,11,12,4,16,13,7,8,18,2,15,3,6,19,0,14,5,1,9,10,11,12,4,16,13,7,8
17,1,14,2,5,16,19,13,4,0,8,9,10,11,3,15,12,6,7,17,1,14,2,5,16,19,13,4,0,8,9,10,11,3,15,12,6,7
8,0,16,10,2,17,18,6,11,9,13,4,14,5,1,7,15,12,3,8,0,16,10,2,17,18,6,11,9,13,4,14,5,1,7,15,12,3
