0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
16,2,23,19,15,6,12,5,3,17,18,4,13,7,14,8,21,10,11,1,9,20,22,16,2,23,19,15,6,12,5,3,17,18,4,13,7,14,8,21,10,11,1,9,20,22
15,23,22,18,14,5,11,4,2,16,17,3,12,6,13,7,20,9,10,0,8,19,21,15,23,22,18,14,5,11,4,2,16,17,3,12,6,13,7,20,9,10,0,8,19,21
14,0,21,17,13,4,10,3,1,15,16,23,11,5,12,6,19,8,9,22,7,18,20,14,0,21,17,13,4,10,3,1,15,16,23,11,5,12,6,19,8,9,22,7,18,20
13,22,20,16,12,23,9,2,0,14,15,1,10,4,11,5,18,7,8,21,6,17,19,13,22,20,16,12,23,9,2,0,14,15,1,10,4,11,5,18,7,8,21,6,17,19
12,21,19,15,11,2,8,1,22,13,14,0,9,3,10,23,17,6,7,20,5,16,18,12,21,19,15,11,2,8,1,22,13,14,0,9,3,10,23,17,6,7,20,5,16,18
11,20,18,14,10,1,7,0,21,12,13,22,8,2,9,3,16,23,6,19,4,15,17,11,20,18,14,10,1,7,0,21,12,13,22,8,2,9,3,16,23,6,19,4,15,17
10,19,17,13,9,0,23,22,20,11,12,21,7,1,8,2,15,4,5,18,3,14,16,10,19,17,13,9,0,23,22,20,11,12,21,7,1,8,2,15,4,5,18,3,14,16
9,18,16,12,8,22,5,21,19,10,11,20,6,0,23,1,14,3,4,17,2,13,15,9,18,16,12,8,22,5,21,19,10,11,20,6,0,23,1,14,3,4,17,2,13,15
23,17,15,11,7,21,4,20,18,9,10,19,5,22,6,0,13,2,3,16,1,12,14,23,17,15,11,7,21,4,20,18,9,10,19,5,22,6,0,13,2,3,16,1,12,14
7,16,14,10,6,20,3,19,17,8,23,18,4,21,5,22,12,1,2,15,0,11,13,7,16,14,10,6,20,3,19,17,8,23,18,4,21,5,22,12,1,2,15,0,11,13
6,15,13,9,5,19,2,18,16,7,8,17,3,20,4,21,11,0,1,14,22,23,12,6,15,13,9,5,19,2,18,16,7,8,17,3,20,4,21,11,0,1,14,22,23,12
5,14,12,8,4,18,1,17,15,6,7,16,2,19,3,20,10,22,0,13,21,9,23,5,14,12,8,4,18,1,17,15,6,7,16,2,19,3,20,10,22,0,13,21,9,23
4,13,11,7,3,17,0,16,14,5,6,15,1,18,2,19,9,21,22,23,20,8,10,4,13,11,7,3,17,0,16,14,5,6,15,1,18,2,19,9,21,22,23,20,8,10
3,12,10,6,2,16,22,15,23,4,5,14,0,17,1,18,8,20,21,11,19,7,9,3,12,10,6,2,16,22,15,23,4,5,14,0,17,1,18,8,20,21,11,19,7,9
2,11,9,5,1,15,21,23,12,3,4,13,22,16,0,17,7,19,20,10,18,6,8,2,11,9,5,1,15,21,23,12,3,4,13,22,16,0,17,7,19,20,10,18,6,8
1,10,8,4,0,14,20,13,11,2,3,12,21,23,22,16,6,18,19,9,17,5,7,1,10,8,4,0,14,20,13,11,2,3,12,21,23,22,16,6,18,19,9,17,5,7
0,9,7,3,22,13,19,12,10,1,2,11,20,14,21,15,5,17,18,8,23,4,6,0,9,7,3,22,13,19,12,10,1,2,11,20,14,21,15,5,17,18,8,23,4,6
22,8,6,2,21,12,18,11,9,0,1,10,19,13,20,14,4,16,23,7,15,3,5,22,8,6,2,21,12,18,11,9,0,1,10,19,13,20,14,4,16,23,7,15,3,5
21,7,5,1,20,11,17,10,8,22,0,9,23,12,19,13,3,15,16,6,14,2,4,21,7,5,1,20,11,17,10,8,22,0,9,23,12,19,13,3,15,16,6,14,2,4
20,6,4,0,23,10,16,9,7,21,22,8,17,11,18,12,2,14,15,5,13,1,3,20,6,4,0,23,10,16,9,7,21,22,8,17,11,18,12,2,14,15,5,13,1,3
19,5,3,22,18,9,15,8,6,23,21,7,16,10,17,11,1,13,14,4,12,0,2,19,5,3,22,18,9,15,8,6,23,21,7,16,10,17,11,1,13,14,4,12,0,2
18,4,2,23,17,8,14,7,5,19,20,6,15,9,16,10,0,12,13,3,11,22,1,18,4,2,23,17,8,14,7,5,19,20,6,15,9,16,10,0,12,13,3,11,22,1
17,3,1,20,16,7,13,6,4,18,19,5,14,8,15,9,23,11,12,2,10,21,0,17,3,1,20,16,7,13,6,4,18,19,5,14,8,15,9,23,11,12,2,10,21,0
8,1,0,21,19,3,6,14,13,20,9,2,18,15,7,4,22,5,17,12,16,10,11,8,1,0,21,19,3,6,14,13,20,9,2,18,15,7,4,22,5,17,12,16,10,11
