0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,9,10,3,13,8,25,12,19,18,5,1,22,16,7,20,23,21,4,24,15,11,14,6,2,17,9,10,3,13,8,25,12,19,18,5,1,22,16,7,20,23,21,4,24,15,11,14,6,2
16,8,9,2,12,7,24,11,18,17,4,0,21,15,6,19,22,20,3,23,14,10,13,5,25,16,8,9,2,12,7,24,11,18,17,4,0,21,15,6,19,22,20,3,23,14,10,13,5,25
15,7,8,1,11,6,23,10,17,16,3,24,20,14,5,18,21,19,25,22,13,9,12,4,0,15,7,8,1,11,6,23,10,17,16,3,24,20,14,5,18,21,19,25,22,13,9,12,4,0
14,6,7,0,10,5,22,9,16,15,2,23,19,13,4,17,20,18,1,21,12,8,11,25,24,14,6,7,0,10,5,22,9,16,15,2,23,19,13,4,17,20,18,1,21,12,8,11,25,24
13,5,6,24,9,25,21,8,15,14,1,22,18,12,3,16,19,17,0,20,11,7,10,2,23,13,5,6,24,9,25,21,8,15,14,1,22,18,12,3,16,19,17,0,20,11,7,10,2,23
12,4,25,23,8,3,20,7,14,13,0,21,17,11,2,15,18,16,24,19,10,6,9,1,22,12,4,25,23,8,3,20,7,14,13,0,21,17,11,2,15,18,16,24,19,10,6,9,1,22
11,3,4,22,7,2,19,25,13,12,24,20,16,10,1,14,17,15,23,18,9,5,8,0,21,11,3,4,22,7,2,19,25,13,12,24,20,16,10,1,14,17,15,23,18,9,5,8,0,21
10,2,3,21,6,1,18,5,12,11,23,19,15,9,0,13,16,14,22,17,8,4,25,24,20,10,2,3,21,6,1,18,5,12,11,23,19,15,9,0,13,16,14,22,17,8,4,25,24,20
9,1,2,20,5,0,17,4,11,10,22,18,14,25,24,12,15,13,21,16,7,3,6,23,19,9,1,2,20,5,0,17,4,11,10,22,18,14,25,24,12,15,13,21,16,7,3,6,23,19
8,0,1,19,4,24,16,3,10,25,21,17,13,7,23,11,14,12,20,15,6,2,5,22,18,8,0,1,19,4,24,16,3,10,25,21,17,13,7,23,11,14,12,20,15,6,2,5,22,18
7,24,0,18,3,23,15,2,9,8,20,16,12,6,22,25,13,11,19,14,5,1,4,21,17,7,24,0,18,3,23,15,2,9,8,20,16,12,6,22,25,13,11,19,14,5,1,4,21,17
6,23,24,17,2,22,14,1,8,7,19,15,25,5,21,9,12,10,18,13,4,0,3,20,16,6,23,24,17,2,22,14,1,8,7,19,15,25,5,21,9,12,10,18,13,4,0,3,20,16
5,22,23,16,1,21,13,0,7,6,18,14,10,4,20,8,11,9,17,25,3,24,2,19,15,5,22,23,16,1,21,13,0,7,6,18,14,10,4,20,8,11,9,17,25,3,24,2,19,15
4,21,22,15,0,20,12,24,6,5,17,25,9,3,19,7,10,8,16,11,2,23,1,18,14,4,21,22,15,0,20,12,24,6,5,17,25,9,3,19,7,10,8,16,11,2,23,1,18,14
3,20,21,25,24,19,11,23,5,4,16,12,8,2,18,6,9,7,15,10,1,22,0,17,13,3,20,21,25,24,19,11,23,5,4,16,12,8,2,18,6,9,7,15,10,1,22,0,17,13
2,19,20,13,23,18,10,22,4,3,25,11,7,1,17,5,8,6,14,9,0,21,24,16,12,2,19,20,13,23,18,10,22,4,3,25,11,7,1,17,5,8,6,14,9,0,21,24,16,12
1,18,19,12,22,17,9,21,3,2,14,10,6,0,25,4,7,5,13,8,24,20,23,15,11,1,18,19,12,22,17,9,21,3,2,14,10,6,0,25,4,7,5,13,8,24,20,23,15,11
0,25,18,11,21,16,8,20,2,1,13,9,5,24,15,3,6,4,12,7,23,19,22,14,10,0,25,18,11,21,16,8,20,2,1,13,9,5,24,15,3,6,4,12,7,23,19,22,14,10
24,16,17,10,20,15,7,19,1,0,12,8,4,23,14,2,5,3,11,6,22,25,21,13,9,24,16,17,10,20,15,7,19,1,0,12,8,4,23,14,2,5,3,11,6,22,25,21,13,9
23,15,16,9,25,14,6,18,0,24,11,7,3,22,13,1,4,2,10,5,21,17,20,12,8,23,15,16,9,25,14,6,18,0,24,11,7,3,22,13,1,4,2,10,5,21,17,20,12,8
22,14,15,8,18,13,5,17,24,23,10,6,2,21,12,0,3,1,9,4,25,16,19,11,7,22,14,15,8,18,13,5,17,24,23,10,6,2,21,12,0,3,1,9,4,25,16,19,11,7
25,13,14,7,17,12,4,16,23,22,9,5,1,20,11,24,2,0,8,3,19,15,18,10,6,25,13,14,7,17,12,4,16,23,22,9,5,1,20,11,24,2,0,8,3,19,15,18,10,6
20,12,13,6,16,11,3,15,25,21,8,4,0,19,10,23,1,24,7,2,18,14,17,9,5,20,12,13,6,16,11,3,15,25,21,8,4,0,19,10,23,1,24,7,2,18,14,17,9,5
19,11,12,5,15,10,2,14,21,20,7,3,24,18,9,22,0,25,6,1,17,13,16,8,4,19,11,12,5,15,10,2,14,21,20,7,3,24,18,9,22,0,25,6,1,17,13,16,8,4
18,10,11,4,14,9,1,13,20,19,6,2,23,17,8,21,25,22,5,0,16,12,15,7,3,18,10,11,4,14,9,1,13,20,19,6,2,23,17,8,21,25,22,5,0,16,12,15,7,3
21,17,5,14,19,4,0,6,22,9,15,13,11,8,16,10,24,23,2,12,20,18,7,3,1,21,17,5,14,19,4,0,6,22,9,15,13,11,8,16,10,24,23,2,12,20,18,7,3,1
