0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
17,18,11,6,8,2,15,7,4,12,3,19,1,16,9,14,10,5,13,17,18,11,6,8,2,15,7,4,12,3,19,1,16,9,14,10,5,13
16,17,10,5,7,19,14,6,3,11,2,18,0,15,8,13,9,4,12,16,17,10,5,7,19,14,6,3,11,2,18,0,15,8,13,9,4,12
15,16,9,4,6,0,13,5,19,10,1,17,18,14,7,12,8,3,11,15,16,9,4,6,0,13,5,19,10,1,17,18,14,7,12,8,3,11
14,15,8,19,5,18,12,4,1,9,0,16,17,13,6,11,7,2,10,14,15,8,19,5,18,12,4,1,9,0,16,17,13,6,11,7,2,10
13,14,7,2,19,17,11,3,0,8,18,15,16,12,5,10,6,1,9,13,14,7,2,19,17,11,3,0,8,18,15,16,12,5,10,6,1,9
12,13,6,1,3,16,10,2,18,7,17,14,15,11,4,9,19,0,8,12,13,6,1,3,16,10,2,18,7,17,14,15,11,4,9,19,0,8
11,12,5,0,2,15,9,1,17,19,16,13,14,10,3,8,4,18,7,11,12,5,0,2,15,9,1,17,19,16,13,14,10,3,8,4,18,7
10,11,4,18,1,14,8,0,16,5,15,12,13,9,2,19,3,17,6,10,11,4,18,1,14,8,0,16,5,15,12,13,9,2,19,3,17,6
9,10,3,17,0,13,7,18,15,4,14,11,12,19,1,6,2,16,5,9,10,3,17,0,13,7,18,15,4,14,11,12,19,1,6,2,16,5
8,19,2,16,18,12,6,17,14,3,13,10,11,7,0,5,1,15,4,8,19,2,16,18,12,6,17,14,3,13,10,11,7,0,5,1,15,4
7,8,1,15,17,11,5,16,13,2,12,9,19,6,18,4,0,14,3,7,8,1,15,17,11,5,16,13,2,12,9,19,6,18,4,0,14,3
6,7,0,14,16,10,4,15,12,1,19,8,9,5,17,3,18,13,2,6,7,0,14,16,10,4,15,12,1,19,8,9,5,17,3,18,13,2
5,6,18,13,15,9,3,14,11,0,10,7,8,4,16,2,17,19,1,5,6,18,13,15,9,3,14,11,0,10,7,8,4,16,2,17,19,1
4,5,17,12,14,8,2,19,10,18,9,6,7,3,15,1,16,11,0,4,5,17,12,14,8,2,19,10,18,9,6,7,3,15,1,16,11,0
3,4,16,11,13,7,1,12,9,17,8,5,6,2,19,0,15,10,18,3,4,16,11,13,7,1,12,9,17,8,5,6,2,19,0,15,10,18
2,3,19,10,12,6,0,11,8,16,7,4,5,1,13,18,14,9,17,2,3,19,10,12,6,0,11,8,16,7,4,5,1,13,18,14,9,17
1,2,14,9,11,5,18,10,7,15,6,3,4,0,12,17,13,8,19,1,2,14,9,11,5,18,10,7,15,6,3,4,0,12,17,13,8,19
0,1,13,8,10,4,19,9,6,14,5,2,3,18,11,16,12,7,15,0,1,13,8,10,4,19,9,6,14,5,2,3,18,11,16,12,7,15
19,0,12,7,9,3,16,8,5,13,4,1,2,17,10,15,11,6,14,19,0,12,7,9,3,16,8,5,13,4,1,2,17,10,15,11,6,14
18,9,15,3,4,1,17,13,2,6,11,0,10,8,14,7,5,12,16,18,9,15,3,4,1,17,13,2,6,11,0,10,8,14,7,5,12,16
